nm,SCAN
380,92.99
381,93.13
382,93.22
383,93.41
384,93.67
385,93.76
386,93.76
387,94.01
388,93.99
389,94.28
390,94.57
391,94.61
392,94.72
393,95
394,94.85
395,94.96
396,95.03
397,94.99
398,95.04
399,95
400,95.17
401,95.32
402,95.4
403,95.36
404,95.46
405,95.59
406,95.52
407,95.62
408,95.56
409,95.39
410,95.28
411,95.1
412,95.05
413,95.02
414,95.04
415,95.07
416,95.04
417,95.08
418,95
419,95.05
420,95.02
421,95
422,95.1
423,95.12
424,95.1
425,95.14
426,95.13
427,95.13
428,95.11
429,95.1
430,95.12
431,95.05
432,95.06
433,95.17
434,95.07
435,95.17
436,95.14
437,95.11
438,95.11
439,95.02
440,95.07
441,95
442,95.06
443,95.05
444,95.01
445,94.97
446,94.98
447,95.03
448,95.15
449,95.24
450,95.25
451,95.25
452,95.21
453,95.12
454,95.19
455,95.18
456,95.17
457,95.22
458,95.21
459,95.23
460,95.3
461,95.22
462,95.26
463,95.31
464,95.23
465,95.32
466,95.24
467,95.22
468,95.23
469,95.21
470,95.28
471,95.29
472,95.3
473,95.37
474,95.38
475,95.32
476,95.31
477,95.27
478,95.24
479,95.31
480,95.29
481,95.32
482,95.41
483,95.42
484,95.45
485,95.52
486,95.52
487,95.59
488,95.6
489,95.64
490,95.59
491,95.57
492,95.57
493,95.59
494,95.63
495,95.67
496,95.68
497,95.69
498,95.72
499,95.73
500,95.79
501,95.78
502,95.81
503,95.82
504,95.81
505,95.85
506,95.82
507,95.82
508,95.81
509,95.9
510,95.91
511,95.9
512,95.91
513,95.91
514,95.89
515,95.9
516,95.89
517,95.9
518,95.93
519,95.94
520,96
521,96.02
522,96
523,95.97
524,95.97
525,95.94
526,95.94
527,95.95
528,95.95
529,95.94
530,95.95
531,95.96
532,96.01
533,95.98
534,95.95
535,95.95
536,95.94
537,95.96
538,95.97
539,96.01
540,95.97
541,95.98
542,95.97
543,95.96
544,95.94
545,95.91
546,95.95
547,95.93
548,95.95
549,95.93
550,95.91
551,95.89
552,95.84
553,95.87
554,95.89
555,95.87
556,95.92
557,95.93
558,95.93
559,95.92
560,95.93
561,95.89
562,95.92
563,95.94
564,95.94
565,95.99
566,96.04
567,96.01
568,96.02
569,96.03
570,95.98
571,96.01
572,96.02
573,96.02
574,96.05
575,96.08
576,96.07
577,96.11
578,96.1
579,96.1
580,96.08
581,96.08
582,96.13
583,96.15
584,96.17
585,96.17
586,96.12
587,96.14
588,96.19
589,96.19
590,96.19
591,96.17
592,96.16
593,96.21
594,96.18
595,96.22
596,96.23
597,96.21
598,96.26
599,96.26
600,96.23
601,96.22
602,96.18
603,96.21
604,96.24
605,96.21
606,96.25
607,96.19
608,96.2
609,96.24
610,96.26
611,96.31
612,96.3
613,96.28
614,96.28
615,96.24
616,96.23
617,96.26
618,96.24
619,96.29
620,96.33
621,96.34
622,96.35
623,96.33
624,96.32
625,96.3
626,96.28
627,96.28
628,96.24
629,96.26
630,96.24
631,96.25
632,96.28
633,96.3
634,96.28
635,96.25
636,96.23
637,96.21
638,96.25
639,96.28
640,96.29
641,96.26
642,96.26
643,96.24
644,96.24
645,96.25
646,96.26
647,96.22
648,96.2
649,96.2
650,96.2
651,96.23
652,96.22
653,96.2
654,96.2
655,96.22
656,96.23
657,96.26
658,96.27
659,96.21
660,96.26
661,96.24
662,96.22
663,96.21
664,96.15
665,96.12
666,96.13
667,96.15
668,96.17
669,96.2
670,96.15
671,96.11
672,96.07
673,96.11
674,96.12
675,96.13
676,96.09
677,95.99
678,96
679,96.01
680,96.03
681,96.02
682,96.03
683,95.94
684,95.93
685,95.96
686,95.95
687,95.98
688,95.94
689,95.88
690,95.82
691,95.77
692,95.76
693,95.78
694,95.75
695,95.71
696,95.71
697,95.68
698,95.76
699,95.78
700,95.77
701,95.71
702,95.63
703,95.61
704,95.59
705,95.57
706,95.6
707,95.59
708,95.54
709,95.47
710,95.36
711,95.33
712,95.32
713,95.36
714,95.4
715,95.4
716,95.32
717,95.3
718,95.31
719,95.26
720,95.26
721,95.25
722,95.15
723,95.17
724,95.17
725,95.22
726,95.27
727,95.22
728,95.23
729,95.11
730,94.98
731,95.03
732,95.01
733,94.98
734,95.04
735,95.02
736,95.03
737,95.02
738,94.98
739,94.92
740,94.8
741,94.8
742,94.8
743,94.79
744,94.85
745,94.78
746,94.76
747,94.79
748,94.78
749,94.79
750,94.74
751,94.7
752,94.68
753,94.68
754,94.66
755,94.64
756,94.66
757,94.65
758,94.62
759,94.67
760,94.69
761,94.66
762,94.67
763,94.59
764,94.59
765,94.55
766,94.63
767,94.63
768,94.55
769,94.59
770,94.55
771,94.54
772,94.53
773,94.52
774,94.52
775,94.53
776,94.55
777,94.4
778,94.36
779,94.33
780,94.32
781,94.39
782,94.33
783,94.27
784,94.16
785,94.13
786,94.24
787,94.21
788,94.31
789,94.23
790,94.18
791,94.14
792,94.13
793,94.01
794,93.98
795,93.91
796,93.86
797,93.94
798,93.95
799,93.94
800,93.92
