nm,SCAN
380,91.97
381,92.07
382,91.77
383,91.86
384,91.82
385,91.94
386,92
387,91.99
388,92.13
389,92.04
390,92.14
391,92.18
392,92.23
393,92.37
394,92.28
395,92.28
396,92.23
397,92.46
398,92.42
399,92.33
400,92.46
401,92.37
402,92.34
403,92.31
404,92.32
405,92.41
406,92.51
407,92.66
408,92.56
409,92.52
410,92.35
411,92.24
412,92.28
413,92.34
414,92.39
415,92.39
416,92.32
417,92.38
418,92.43
419,92.41
420,92.38
421,92.36
422,92.4
423,92.53
424,92.4
425,92.43
426,92.43
427,92.44
428,92.48
429,92.39
430,92.32
431,92.21
432,92.32
433,92.38
434,92.38
435,92.42
436,92.39
437,92.44
438,92.45
439,92.43
440,92.47
441,92.43
442,92.46
443,92.43
444,92.47
445,92.48
446,92.45
447,92.52
448,92.55
449,92.47
450,92.46
451,92.45
452,92.4
453,92.46
454,92.56
455,92.57
456,92.55
457,92.53
458,92.56
459,92.57
460,92.58
461,92.53
462,92.55
463,92.51
464,92.46
465,92.54
466,92.52
467,92.46
468,92.5
469,92.45
470,92.5
471,92.57
472,92.57
473,92.61
474,92.68
475,92.65
476,92.62
477,92.57
478,92.54
479,92.51
480,92.53
481,92.55
482,92.59
483,92.64
484,92.63
485,92.65
486,92.69
487,92.72
488,92.71
489,92.72
490,92.66
491,92.64
492,92.68
493,92.72
494,92.75
495,92.74
496,92.72
497,92.69
498,92.69
499,92.69
500,92.75
501,92.71
502,92.77
503,92.8
504,92.74
505,92.73
506,92.72
507,92.72
508,92.72
509,92.76
510,92.76
511,92.75
512,92.76
513,92.78
514,92.78
515,92.77
516,92.79
517,92.77
518,92.8
519,92.85
520,92.9
521,92.93
522,92.95
523,92.92
524,92.93
525,92.93
526,92.91
527,92.92
528,92.92
529,92.93
530,92.95
531,92.98
532,93
533,93.01
534,92.98
535,92.96
536,92.97
537,92.96
538,92.99
539,93.02
540,92.98
541,92.99
542,93.03
543,93.04
544,93.08
545,93.07
546,93.05
547,93.03
548,93.04
549,93.05
550,93.05
551,93.04
552,93.04
553,93.04
554,93.05
555,93.06
556,93.07
557,93.1
558,93.11
559,93.06
560,93.08
561,93.05
562,93.05
563,93.1
564,93.09
565,93.1
566,93.08
567,93.04
568,93.05
569,93.06
570,93.08
571,93.13
572,93.11
573,93.11
574,93.09
575,93.08
576,93.1
577,93.11
578,93.11
579,93.1
580,93.09
581,93.06
582,93.07
583,93.09
584,93.08
585,93.1
586,93.08
587,93.1
588,93.12
589,93.14
590,93.15
591,93.14
592,93.1
593,93.1
594,93.08
595,93.09
596,93.1
597,93.12
598,93.15
599,93.14
600,93.14
601,93.09
602,93.08
603,93.08
604,93.07
605,93.1
606,93.1
607,93.11
608,93.1
609,93.08
610,93.08
611,93.09
612,93.14
613,93.19
614,93.22
615,93.22
616,93.21
617,93.19
618,93.14
619,93.17
620,93.19
621,93.19
622,93.23
623,93.21
624,93.19
625,93.19
626,93.18
627,93.17
628,93.16
629,93.16
630,93.17
631,93.19
632,93.21
633,93.24
634,93.18
635,93.17
636,93.14
637,93.08
638,93.07
639,93.07
640,93.07
641,93.08
642,93.12
643,93.1
644,93.12
645,93.11
646,93.1
647,93.06
648,93.04
649,93.06
650,93.07
651,93.09
652,93.08
653,93.03
654,93.06
655,93.09
656,93.11
657,93.17
658,93.11
659,93.05
660,93.07
661,93.03
662,93.02
663,93.04
664,92.97
665,92.96
666,92.99
667,93.04
668,93.07
669,93.1
670,93.07
671,92.97
672,92.94
673,92.94
674,92.95
675,92.98
676,92.97
677,92.95
678,92.98
679,93.01
680,93.03
681,93
682,93.01
683,92.94
684,92.96
685,92.98
686,92.97
687,93
688,93
689,92.94
690,92.89
691,92.88
692,92.9
693,92.99
694,92.99
695,92.97
696,92.93
697,92.9
698,92.96
699,92.97
700,92.98
701,92.98
702,92.93
703,92.91
704,92.9
705,92.85
706,92.87
707,92.85
708,92.85
709,92.82
710,92.79
711,92.83
712,92.83
713,92.86
714,92.9
715,92.89
716,92.9
717,92.88
718,92.85
719,92.81
720,92.8
721,92.77
722,92.74
723,92.75
724,92.73
725,92.79
726,92.81
727,92.84
728,92.88
729,92.84
730,92.82
731,92.84
732,92.85
733,92.86
734,92.86
735,92.84
736,92.81
737,92.8
738,92.84
739,92.85
740,92.81
741,92.79
742,92.75
743,92.72
744,92.72
745,92.69
746,92.68
747,92.72
748,92.74
749,92.72
750,92.7
751,92.65
752,92.65
753,92.66
754,92.66
755,92.7
756,92.72
757,92.72
758,92.72
759,92.72
760,92.75
761,92.74
762,92.72
763,92.68
764,92.66
765,92.68
766,92.73
767,92.75
768,92.76
769,92.78
770,92.77
771,92.78
772,92.75
773,92.74
774,92.76
775,92.83
776,92.79
777,92.78
778,92.74
779,92.64
780,92.67
781,92.73
782,92.7
783,92.72
784,92.69
785,92.66
786,92.76
787,92.7
788,92.74
789,92.76
790,92.76
791,92.76
792,92.78
793,92.71
794,92.67
795,92.66
796,92.66
797,92.64
798,92.74
799,92.73
800,92.71
