nm,SCAN
380,91.21
381,91.2
382,91.23
383,91.07
384,91.1
385,91.03
386,91.07
387,91.23
388,91.46
389,91.39
390,91.58
391,91.53
392,91.55
393,91.65
394,91.75
395,91.79
396,91.91
397,91.8
398,91.82
399,91.92
400,91.99
401,92.11
402,91.99
403,92.01
404,91.83
405,91.74
406,91.8
407,91.84
408,91.8
409,91.86
410,91.98
411,91.95
412,91.98
413,92.02
414,92.05
415,91.92
416,91.87
417,91.92
418,91.89
419,91.93
420,92.02
421,91.94
422,91.94
423,91.88
424,91.94
425,92.06
426,92.12
427,92.19
428,92.14
429,92.13
430,92.16
431,92.21
432,92.29
433,92.35
434,92.41
435,92.31
436,92.3
437,92.28
438,92.3
439,92.32
440,92.36
441,92.43
442,92.27
443,92.34
444,92.32
445,92.29
446,92.3
447,92.35
448,92.41
449,92.36
450,92.41
451,92.39
452,92.38
453,92.37
454,92.33
455,92.36
456,92.38
457,92.37
458,92.3
459,92.32
460,92.28
461,92.31
462,92.45
463,92.43
464,92.42
465,92.43
466,92.43
467,92.41
468,92.4
469,92.38
470,92.28
471,92.3
472,92.34
473,92.39
474,92.43
475,92.51
476,92.45
477,92.47
478,92.44
479,92.43
480,92.46
481,92.49
482,92.46
483,92.51
484,92.51
485,92.48
486,92.53
487,92.52
488,92.48
489,92.52
490,92.47
491,92.46
492,92.51
493,92.49
494,92.53
495,92.53
496,92.53
497,92.54
498,92.53
499,92.5
500,92.5
501,92.48
502,92.48
503,92.5
504,92.5
505,92.48
506,92.48
507,92.52
508,92.48
509,92.47
510,92.42
511,92.43
512,92.44
513,92.44
514,92.48
515,92.51
516,92.5
517,92.49
518,92.55
519,92.52
520,92.53
521,92.55
522,92.57
523,92.58
524,92.59
525,92.58
526,92.58
527,92.55
528,92.56
529,92.56
530,92.53
531,92.55
532,92.51
533,92.54
534,92.53
535,92.53
536,92.53
537,92.53
538,92.56
539,92.53
540,92.49
541,92.51
542,92.5
543,92.49
544,92.48
545,92.45
546,92.45
547,92.45
548,92.45
549,92.46
550,92.44
551,92.43
552,92.48
553,92.45
554,92.45
555,92.44
556,92.39
557,92.38
558,92.37
559,92.36
560,92.35
561,92.32
562,92.31
563,92.36
564,92.37
565,92.37
566,92.37
567,92.31
568,92.29
569,92.27
570,92.23
571,92.21
572,92.21
573,92.2
574,92.22
575,92.19
576,92.19
577,92.18
578,92.16
579,92.14
580,92.16
581,92.15
582,92.15
583,92.17
584,92.17
585,92.11
586,92.15
587,92.12
588,92.09
589,92.12
590,92.06
591,92.07
592,92.07
593,92.06
594,92.08
595,92.07
596,92.02
597,91.97
598,91.93
599,91.93
600,91.96
601,91.94
602,91.94
603,91.94
604,91.91
605,91.9
606,91.89
607,91.85
608,91.86
609,91.87
610,91.84
611,91.82
612,91.77
613,91.75
614,91.78
615,91.79
616,91.81
617,91.84
618,91.82
619,91.82
620,91.78
621,91.77
622,91.78
623,91.77
624,91.78
625,91.8
626,91.77
627,91.74
628,91.71
629,91.65
630,91.66
631,91.65
632,91.64
633,91.66
634,91.64
635,91.64
636,91.65
637,91.63
638,91.57
639,91.55
640,91.47
641,91.43
642,91.41
643,91.37
644,91.41
645,91.4
646,91.41
647,91.37
648,91.33
649,91.32
650,91.31
651,91.33
652,91.32
653,91.31
654,91.31
655,91.28
656,91.26
657,91.25
658,91.25
659,91.25
660,91.27
661,91.25
662,91.21
663,91.18
664,91.13
665,91.07
666,91.02
667,91.01
668,91
669,91.03
670,91.04
671,91.03
672,91.04
673,91
674,90.98
675,90.97
676,90.94
677,90.93
678,90.92
679,90.88
680,90.87
681,90.87
682,90.82
683,90.82
684,90.8
685,90.75
686,90.77
687,90.75
688,90.71
689,90.73
690,90.72
691,90.72
692,90.67
693,90.63
694,90.6
695,90.58
696,90.62
697,90.58
698,90.56
699,90.57
700,90.61
701,90.61
702,90.61
703,90.54
704,90.49
705,90.46
706,90.44
707,90.41
708,90.37
709,90.38
710,90.43
711,90.44
712,90.43
713,90.4
714,90.34
715,90.29
716,90.29
717,90.28
718,90.29
719,90.29
720,90.25
721,90.23
722,90.2
723,90.2
724,90.18
725,90.18
726,90.2
727,90.16
728,90.15
729,90.06
730,90.07
731,90.07
732,90.14
733,90.19
734,90.11
735,90.13
736,90.08
737,90.05
738,90.15
739,90.08
740,90.08
741,90.06
742,89.99
743,90
744,90.01
745,90.02
746,90.02
747,89.94
748,89.97
749,89.91
750,89.92
751,89.84
752,89.83
753,89.88
754,89.89
755,89.93
756,89.92
757,89.85
758,89.86
759,89.86
760,89.84
761,89.83
762,89.83
763,89.75
764,89.76
765,89.77
766,89.81
767,89.82
768,89.74
769,89.74
770,89.67
771,89.64
772,89.71
773,89.67
774,89.7
775,89.68
776,89.68
777,89.73
778,89.76
779,89.8
780,89.77
