nm,SCAN
380,0.72
381,0.61
382,0.49
383,0.57
384,0.58
385,0.76
386,0.76
387,0.83
388,0.84
389,0.81
390,0.85
391,0.87
392,0.88
393,0.82
394,0.77
395,0.79
396,0.76
397,0.84
398,0.88
399,0.96
400,0.99
401,0.93
402,0.9
403,0.87
404,0.89
405,0.9
406,0.95
407,0.95
408,0.97
409,0.99
410,0.97
411,1.05
412,1.05
413,1.1
414,1.11
415,1.11
416,1.09
417,1.06
418,1.05
419,1.02
420,1.05
421,1.04
422,1.03
423,1.05
424,1.01
425,1.07
426,1.08
427,1.07
428,1.08
429,1.06
430,1.1
431,1.09
432,1.09
433,1.07
434,1.07
435,1.07
436,1.08
437,1.11
438,1.08
439,1.12
440,1.1
441,1.11
442,1.11
443,1.11
444,1.16
445,1.18
446,1.17
447,1.17
448,1.19
449,1.21
450,1.2
451,1.2
452,1.2
453,1.21
454,1.24
455,1.25
456,1.26
457,1.23
458,1.2
459,1.2
460,1.22
461,1.27
462,1.32
463,1.33
464,1.33
465,1.34
466,1.29
467,1.31
468,1.3
469,1.28
470,1.3
471,1.3
472,1.32
473,1.34
474,1.33
475,1.34
476,1.34
477,1.33
478,1.35
479,1.35
480,1.36
481,1.36
482,1.38
483,1.4
484,1.42
485,1.43
486,1.43
487,1.43
488,1.43
489,1.45
490,1.46
491,1.46
492,1.47
493,1.48
494,1.49
495,1.49
496,1.5
497,1.5
498,1.51
499,1.52
500,1.53
501,1.54
502,1.55
503,1.56
504,1.57
505,1.59
506,1.6
507,1.61
508,1.61
509,1.61
510,1.62
511,1.64
512,1.64
513,1.65
514,1.66
515,1.67
516,1.67
517,1.69
518,1.7
519,1.72
520,1.73
521,1.74
522,1.74
523,1.75
524,1.76
525,1.78
526,1.8
527,1.81
528,1.8
529,1.81
530,1.81
531,1.81
532,1.84
533,1.85
534,1.86
535,1.86
536,1.87
537,1.88
538,1.89
539,1.91
540,1.91
541,1.93
542,1.94
543,1.94
544,1.95
545,1.96
546,1.97
547,1.97
548,1.97
549,1.98
550,1.99
551,2.02
552,2.04
553,2.05
554,2.05
555,2.06
556,2.06
557,2.06
558,2.08
559,2.09
560,2.09
561,2.11
562,2.12
563,2.13
564,2.14
565,2.15
566,2.17
567,2.17
568,2.19
569,2.19
570,2.2
571,2.2
572,2.21
573,2.21
574,2.22
575,2.23
576,2.24
577,2.26
578,2.27
579,2.28
580,2.29
581,2.29
582,2.3
583,2.31
584,2.32
585,2.33
586,2.33
587,2.34
588,2.35
589,2.37
590,2.37
591,2.38
592,2.38
593,2.39
594,2.38
595,2.4
596,2.41
597,2.43
598,2.45
599,2.45
600,2.45
601,2.46
602,2.46
603,2.46
604,2.47
605,2.48
606,2.48
607,2.48
608,2.49
609,2.49
610,2.5
611,2.51
612,2.53
613,2.54
614,2.54
615,2.55
616,2.55
617,2.56
618,2.57
619,2.58
620,2.59
621,2.6
622,2.61
623,2.62
624,2.62
625,2.63
626,2.63
627,2.63
628,2.63
629,2.63
630,2.64
631,2.65
632,2.65
633,2.67
634,2.68
635,2.68
636,2.69
637,2.69
638,2.69
639,2.7
640,2.7
641,2.71
642,2.71
643,2.72
644,2.73
645,2.74
646,2.75
647,2.75
648,2.75
649,2.75
650,2.74
651,2.73
652,2.74
653,2.74
654,2.76
655,2.77
656,2.78
657,2.78
658,2.77
659,2.78
660,2.78
661,2.79
662,2.8
663,2.8
664,2.8
665,2.8
666,2.81
667,2.81
668,2.81
669,2.81
670,2.82
671,2.81
672,2.82
673,2.83
674,2.82
675,2.83
676,2.83
677,2.82
678,2.83
679,2.83
680,2.85
681,2.85
682,2.85
683,2.87
684,2.85
685,2.86
686,2.86
687,2.86
688,2.87
689,2.87
690,2.87
691,2.87
692,2.87
693,2.87
694,2.87
695,2.87
696,2.87
697,2.87
698,2.88
699,2.87
700,2.87
701,2.88
702,2.88
703,2.89
704,2.91
705,2.91
706,2.9
707,2.9
708,2.89
709,2.9
710,2.91
711,2.92
712,2.92
713,2.92
714,2.92
715,2.92
716,2.91
717,2.92
718,2.92
719,2.92
720,2.92
721,2.93
722,2.94
723,2.92
724,2.93
725,2.92
726,2.91
727,2.93
728,2.93
729,2.93
730,2.94
731,2.93
732,2.93
733,2.92
734,2.92
735,2.92
736,2.92
737,2.92
738,2.9
739,2.9
740,2.89
741,2.89
742,2.91
743,2.92
744,2.92
745,2.93
746,2.95
747,2.93
748,2.94
749,2.93
750,2.93
751,2.94
752,2.95
753,2.93
754,2.92
755,2.9
756,2.9
757,2.91
758,2.91
759,2.93
760,2.93
761,2.93
762,2.92
763,2.92
764,2.93
765,2.93
766,2.93
767,2.92
768,2.9
769,2.91
770,2.93
771,2.93
772,2.94
773,2.94
774,2.92
775,2.92
776,2.93
777,2.93
778,2.91
779,2.9
780,2.89
