nm,SCAN
380,1.06
381,1.09
382,1.06
383,1.03
384,1.09
385,1
386,1.03
387,1.1
388,1.03
389,0.96
390,1
391,1.06
392,1
393,1.04
394,1.12
395,1.17
396,1.21
397,1.2
398,1.15
399,1.07
400,1
401,1.09
402,1.06
403,1.1
404,1.21
405,1.14
406,1.16
407,1.16
408,1.18
409,1.14
410,1.18
411,1.16
412,1.19
413,1.18
414,1.18
415,1.21
416,1.19
417,1.18
418,1.14
419,1.14
420,1.14
421,1.16
422,1.24
423,1.22
424,1.27
425,1.23
426,1.19
427,1.18
428,1.16
429,1.19
430,1.23
431,1.24
432,1.29
433,1.31
434,1.3
435,1.28
436,1.25
437,1.27
438,1.29
439,1.3
440,1.34
441,1.3
442,1.32
443,1.26
444,1.26
445,1.3
446,1.32
447,1.32
448,1.37
449,1.42
450,1.41
451,1.43
452,1.46
453,1.45
454,1.42
455,1.42
456,1.4
457,1.39
458,1.4
459,1.42
460,1.4
461,1.4
462,1.42
463,1.43
464,1.43
465,1.46
466,1.46
467,1.43
468,1.43
469,1.43
470,1.43
471,1.46
472,1.47
473,1.47
474,1.48
475,1.5
476,1.49
477,1.52
478,1.53
479,1.53
480,1.54
481,1.54
482,1.54
483,1.57
484,1.57
485,1.58
486,1.59
487,1.59
488,1.6
489,1.6
490,1.61
491,1.62
492,1.62
493,1.62
494,1.64
495,1.67
496,1.68
497,1.69
498,1.7
499,1.7
500,1.7
501,1.71
502,1.72
503,1.74
504,1.75
505,1.75
506,1.77
507,1.77
508,1.79
509,1.8
510,1.82
511,1.83
512,1.83
513,1.83
514,1.83
515,1.85
516,1.85
517,1.87
518,1.88
519,1.89
520,1.91
521,1.92
522,1.93
523,1.94
524,1.95
525,1.97
526,1.97
527,1.99
528,1.99
529,2
530,2.01
531,2.03
532,2.04
533,2.05
534,2.06
535,2.06
536,2.08
537,2.1
538,2.12
539,2.12
540,2.13
541,2.13
542,2.15
543,2.15
544,2.16
545,2.18
546,2.19
547,2.2
548,2.2
549,2.21
550,2.23
551,2.24
552,2.25
553,2.26
554,2.29
555,2.3
556,2.31
557,2.32
558,2.33
559,2.34
560,2.35
561,2.36
562,2.36
563,2.37
564,2.37
565,2.38
566,2.4
567,2.41
568,2.43
569,2.44
570,2.44
571,2.45
572,2.46
573,2.46
574,2.48
575,2.5
576,2.5
577,2.52
578,2.53
579,2.53
580,2.55
581,2.55
582,2.56
583,2.58
584,2.59
585,2.59
586,2.61
587,2.62
588,2.63
589,2.64
590,2.64
591,2.65
592,2.64
593,2.65
594,2.65
595,2.67
596,2.68
597,2.69
598,2.7
599,2.71
600,2.73
601,2.73
602,2.74
603,2.75
604,2.75
605,2.76
606,2.78
607,2.78
608,2.79
609,2.79
610,2.8
611,2.81
612,2.83
613,2.83
614,2.84
615,2.85
616,2.84
617,2.85
618,2.85
619,2.86
620,2.87
621,2.88
622,2.89
623,2.9
624,2.91
625,2.92
626,2.93
627,2.94
628,2.94
629,2.94
630,2.95
631,2.95
632,2.96
633,2.97
634,2.97
635,2.98
636,2.98
637,2.98
638,2.99
639,3
640,3.01
641,3.02
642,3.03
643,3.03
644,3.04
645,3.05
646,3.04
647,3.05
648,3.06
649,3.05
650,3.07
651,3.07
652,3.06
653,3.07
654,3.07
655,3.07
656,3.08
657,3.08
658,3.1
659,3.1
660,3.1
661,3.1
662,3.1
663,3.11
664,3.11
665,3.11
666,3.12
667,3.12
668,3.14
669,3.14
670,3.13
671,3.14
672,3.14
673,3.15
674,3.17
675,3.18
676,3.17
677,3.18
678,3.18
679,3.18
680,3.2
681,3.19
682,3.19
683,3.18
684,3.18
685,3.18
686,3.18
687,3.19
688,3.2
689,3.2
690,3.21
691,3.22
692,3.21
693,3.2
694,3.2
695,3.19
696,3.2
697,3.21
698,3.21
699,3.22
700,3.22
701,3.22
702,3.22
703,3.22
704,3.23
705,3.23
706,3.24
707,3.24
708,3.24
709,3.23
710,3.23
711,3.22
712,3.23
713,3.24
714,3.24
715,3.24
716,3.25
717,3.26
718,3.25
719,3.24
720,3.24
721,3.23
722,3.23
723,3.22
724,3.23
725,3.23
726,3.24
727,3.24
728,3.25
729,3.25
730,3.24
731,3.23
732,3.23
733,3.23
734,3.25
735,3.26
736,3.28
737,3.28
738,3.26
739,3.27
740,3.27
741,3.26
742,3.26
743,3.26
744,3.26
745,3.25
746,3.26
747,3.25
748,3.24
749,3.25
750,3.26
751,3.27
752,3.27
753,3.27
754,3.27
755,3.25
756,3.26
757,3.25
758,3.26
759,3.25
760,3.24
761,3.26
762,3.26
763,3.27
764,3.28
765,3.26
766,3.26
767,3.25
768,3.22
769,3.22
770,3.2
771,3.22
772,3.24
773,3.24
774,3.27
775,3.26
776,3.26
777,3.25
778,3.24
779,3.23
780,3.22
