nm,SCAN
380,5.92
381,5.87
382,5.8
383,5.7
384,5.68
385,5.66
386,5.69
387,5.75
388,5.73
389,5.67
390,5.68
391,5.82
392,5.84
393,5.88
394,5.91
395,5.92
396,6.01
397,6.04
398,6.01
399,5.98
400,5.88
401,5.91
402,5.89
403,5.86
404,5.87
405,5.87
406,5.84
407,5.86
408,5.92
409,5.86
410,5.87
411,5.82
412,5.81
413,5.83
414,5.88
415,5.91
416,5.96
417,5.97
418,5.91
419,5.86
420,5.82
421,5.83
422,5.82
423,5.85
424,5.92
425,5.9
426,5.92
427,5.93
428,5.88
429,5.95
430,5.99
431,5.97
432,6
433,5.99
434,5.95
435,5.93
436,5.93
437,5.97
438,6.01
439,6.01
440,6
441,5.95
442,5.96
443,5.95
444,5.97
445,5.98
446,5.97
447,5.97
448,5.97
449,6
450,5.99
451,6.01
452,6.02
453,6.02
454,5.98
455,5.98
456,5.97
457,5.97
458,5.98
459,6
460,6.02
461,6.02
462,6.01
463,6.04
464,6.05
465,6.04
466,6.06
467,6.05
468,6.03
469,6.05
470,6.03
471,6.04
472,6.05
473,6.03
474,6.04
475,6.06
476,6.05
477,6.09
478,6.09
479,6.1
480,6.11
481,6.1
482,6.11
483,6.12
484,6.12
485,6.14
486,6.15
487,6.14
488,6.15
489,6.16
490,6.17
491,6.17
492,6.18
493,6.18
494,6.18
495,6.19
496,6.2
497,6.21
498,6.22
499,6.22
500,6.23
501,6.25
502,6.27
503,6.29
504,6.29
505,6.3
506,6.31
507,6.32
508,6.33
509,6.34
510,6.35
511,6.36
512,6.37
513,6.37
514,6.38
515,6.38
516,6.4
517,6.42
518,6.43
519,6.45
520,6.46
521,6.46
522,6.47
523,6.48
524,6.48
525,6.49
526,6.51
527,6.52
528,6.53
529,6.55
530,6.56
531,6.58
532,6.6
533,6.6
534,6.62
535,6.63
536,6.64
537,6.65
538,6.65
539,6.66
540,6.67
541,6.68
542,6.69
543,6.69
544,6.7
545,6.71
546,6.73
547,6.73
548,6.74
549,6.75
550,6.77
551,6.8
552,6.81
553,6.82
554,6.83
555,6.84
556,6.84
557,6.85
558,6.85
559,6.85
560,6.88
561,6.88
562,6.89
563,6.91
564,6.91
565,6.92
566,6.93
567,6.94
568,6.96
569,6.98
570,6.98
571,6.99
572,7.01
573,7.01
574,7.02
575,7.04
576,7.05
577,7.06
578,7.07
579,7.07
580,7.08
581,7.09
582,7.1
583,7.11
584,7.11
585,7.12
586,7.13
587,7.15
588,7.16
589,7.16
590,7.16
591,7.16
592,7.17
593,7.18
594,7.18
595,7.19
596,7.2
597,7.22
598,7.22
599,7.22
600,7.23
601,7.23
602,7.25
603,7.25
604,7.26
605,7.27
606,7.27
607,7.27
608,7.28
609,7.29
610,7.29
611,7.31
612,7.32
613,7.33
614,7.34
615,7.35
616,7.36
617,7.37
618,7.38
619,7.38
620,7.4
621,7.41
622,7.43
623,7.44
624,7.44
625,7.44
626,7.43
627,7.43
628,7.43
629,7.44
630,7.45
631,7.45
632,7.47
633,7.47
634,7.48
635,7.49
636,7.49
637,7.48
638,7.49
639,7.5
640,7.51
641,7.52
642,7.52
643,7.51
644,7.5
645,7.51
646,7.51
647,7.52
648,7.53
649,7.52
650,7.53
651,7.55
652,7.55
653,7.56
654,7.55
655,7.53
656,7.55
657,7.55
658,7.56
659,7.55
660,7.54
661,7.54
662,7.54
663,7.55
664,7.56
665,7.56
666,7.57
667,7.56
668,7.56
669,7.57
670,7.57
671,7.56
672,7.56
673,7.56
674,7.58
675,7.59
676,7.59
677,7.59
678,7.59
679,7.58
680,7.58
681,7.58
682,7.58
683,7.59
684,7.59
685,7.59
686,7.59
687,7.6
688,7.61
689,7.6
690,7.58
691,7.58
692,7.58
693,7.58
694,7.59
695,7.58
696,7.58
697,7.58
698,7.6
699,7.58
700,7.6
701,7.6
702,7.59
703,7.59
704,7.59
705,7.59
706,7.59
707,7.58
708,7.59
709,7.58
710,7.58
711,7.58
712,7.57
713,7.57
714,7.57
715,7.57
716,7.57
717,7.57
718,7.56
719,7.56
720,7.57
721,7.57
722,7.56
723,7.55
724,7.55
725,7.56
726,7.57
727,7.56
728,7.55
729,7.54
730,7.54
731,7.56
732,7.57
733,7.56
734,7.57
735,7.57
736,7.57
737,7.58
738,7.58
739,7.58
740,7.59
741,7.58
742,7.58
743,7.58
744,7.56
745,7.54
746,7.54
747,7.54
748,7.53
749,7.53
750,7.53
751,7.54
752,7.54
753,7.54
754,7.54
755,7.53
756,7.53
757,7.52
758,7.53
759,7.53
760,7.53
761,7.54
762,7.54
763,7.51
764,7.52
765,7.51
766,7.52
767,7.52
768,7.5
769,7.5
770,7.48
771,7.49
772,7.5
773,7.5
774,7.51
775,7.5
776,7.48
777,7.47
778,7.47
779,7.46
780,7.46
