nm,SCAN
380,0.81
381,0.84
382,0.86
383,0.78
384,0.84
385,0.92
386,0.89
387,0.91
388,0.96
389,0.97
390,1.01
391,1.14
392,1.08
393,0.98
394,0.93
395,1.04
396,1.08
397,1.05
398,1.01
399,1.04
400,0.98
401,0.98
402,1.08
403,1.07
404,1.1
405,1.11
406,1.08
407,1.12
408,1.08
409,1.1
410,1.21
411,1.21
412,1.18
413,1.19
414,1.11
415,1.14
416,1.18
417,1.2
418,1.25
419,1.23
420,1.23
421,1.22
422,1.21
423,1.19
424,1.23
425,1.2
426,1.21
427,1.23
428,1.22
429,1.24
430,1.24
431,1.22
432,1.23
433,1.25
434,1.31
435,1.3
436,1.3
437,1.3
438,1.29
439,1.3
440,1.33
441,1.37
442,1.36
443,1.37
444,1.38
445,1.44
446,1.43
447,1.46
448,1.46
449,1.42
450,1.39
451,1.39
452,1.39
453,1.4
454,1.41
455,1.47
456,1.48
457,1.5
458,1.55
459,1.52
460,1.55
461,1.53
462,1.53
463,1.55
464,1.55
465,1.54
466,1.57
467,1.58
468,1.6
469,1.62
470,1.63
471,1.64
472,1.65
473,1.66
474,1.68
475,1.69
476,1.7
477,1.71
478,1.73
479,1.75
480,1.76
481,1.79
482,1.8
483,1.81
484,1.83
485,1.82
486,1.83
487,1.83
488,1.84
489,1.84
490,1.85
491,1.88
492,1.89
493,1.9
494,1.91
495,1.92
496,1.94
497,1.96
498,1.98
499,1.99
500,2
501,2.02
502,2.03
503,2.04
504,2.06
505,2.07
506,2.08
507,2.1
508,2.12
509,2.14
510,2.15
511,2.16
512,2.17
513,2.17
514,2.18
515,2.21
516,2.22
517,2.24
518,2.25
519,2.27
520,2.28
521,2.3
522,2.31
523,2.31
524,2.33
525,2.36
526,2.38
527,2.4
528,2.41
529,2.41
530,2.43
531,2.45
532,2.47
533,2.49
534,2.5
535,2.52
536,2.53
537,2.54
538,2.55
539,2.56
540,2.57
541,2.58
542,2.59
543,2.6
544,2.62
545,2.63
546,2.65
547,2.68
548,2.69
549,2.7
550,2.71
551,2.72
552,2.73
553,2.76
554,2.77
555,2.79
556,2.8
557,2.8
558,2.81
559,2.82
560,2.83
561,2.85
562,2.87
563,2.88
564,2.9
565,2.92
566,2.93
567,2.94
568,2.95
569,2.96
570,2.98
571,3
572,3.02
573,3.04
574,3.04
575,3.04
576,3.05
577,3.06
578,3.07
579,3.09
580,3.09
581,3.11
582,3.12
583,3.13
584,3.14
585,3.15
586,3.17
587,3.18
588,3.2
589,3.2
590,3.21
591,3.23
592,3.23
593,3.24
594,3.26
595,3.27
596,3.29
597,3.31
598,3.32
599,3.33
600,3.34
601,3.35
602,3.35
603,3.36
604,3.38
605,3.39
606,3.39
607,3.4
608,3.4
609,3.41
610,3.42
611,3.45
612,3.46
613,3.48
614,3.48
615,3.48
616,3.48
617,3.48
618,3.51
619,3.52
620,3.53
621,3.55
622,3.55
623,3.57
624,3.58
625,3.59
626,3.59
627,3.59
628,3.59
629,3.59
630,3.61
631,3.62
632,3.63
633,3.65
634,3.65
635,3.66
636,3.66
637,3.67
638,3.68
639,3.68
640,3.69
641,3.69
642,3.69
643,3.68
644,3.69
645,3.7
646,3.71
647,3.72
648,3.73
649,3.74
650,3.74
651,3.76
652,3.76
653,3.75
654,3.76
655,3.77
656,3.77
657,3.79
658,3.8
659,3.81
660,3.81
661,3.81
662,3.81
663,3.82
664,3.82
665,3.84
666,3.84
667,3.84
668,3.86
669,3.86
670,3.86
671,3.86
672,3.85
673,3.85
674,3.85
675,3.86
676,3.87
677,3.88
678,3.89
679,3.87
680,3.88
681,3.88
682,3.88
683,3.9
684,3.91
685,3.92
686,3.91
687,3.91
688,3.91
689,3.9
690,3.91
691,3.92
692,3.92
693,3.92
694,3.93
695,3.93
696,3.94
697,3.94
698,3.94
699,3.93
700,3.93
701,3.93
702,3.94
703,3.93
704,3.94
705,3.94
706,3.95
707,3.96
708,3.96
709,3.95
710,3.94
711,3.95
712,3.95
713,3.95
714,3.97
715,3.97
716,3.97
717,3.98
718,3.97
719,3.97
720,3.98
721,3.97
722,4
723,4
724,3.99
725,3.98
726,3.97
727,3.97
728,3.96
729,3.95
730,3.94
731,3.96
732,3.95
733,3.96
734,3.97
735,3.97
736,3.97
737,3.98
738,3.96
739,3.96
740,3.98
741,3.97
742,3.99
743,3.99
744,3.99
745,3.99
746,3.99
747,4
748,4
749,4
750,4
751,4
752,3.99
753,4
754,3.99
755,3.97
756,3.96
757,3.96
758,3.96
759,3.95
760,3.94
761,3.93
762,3.95
763,3.95
764,3.97
765,3.95
766,3.94
767,3.94
768,3.94
769,3.93
770,3.95
771,3.94
772,3.96
773,3.94
774,3.94
775,3.93
776,3.93
777,3.94
778,3.93
779,3.96
780,3.94
