nm,R_dia,R_tra,R_bri
400,4.662404,8.404983,8.538094
405,4.749584,8.05054,8.458391
410,4.824562,7.723583,8.390323
415,4.887849,7.42291,8.323911
420,4.940553,7.148124,8.267979
425,4.984599,6.899911,8.218173
430,5.020542,6.676083,8.177128
435,5.049568,6.475633,8.144751
440,5.073622,6.298666,8.122941
445,5.093183,6.142958,8.107907
450,5.109068,6.007017,8.099544
455,5.122146,5.889567,8.101869
460,5.133186,5.789333,8.10837
465,5.14431,5.706732,8.14223
470,5.154712,5.63877,8.178592
475,5.164868,5.584251,8.215746
480,5.175169,5.542024,8.2557
485,5.185934,5.510994,8.271798
490,5.19741,5.490125,8.288294
495,5.209787,5.47844,8.301615
500,5.223201,5.475022,8.313268
505,5.239266,5.480266,8.343418
510,5.256509,5.492033,8.373261
515,5.274939,5.509585,8.407014
520,5.29454,5.532242,8.439143
525,5.315275,5.559381,8.460988
530,5.337088,5.590427,8.479846
535,5.359913,5.624856,8.493199
540,5.383674,5.662191,8.505319
545,5.408287,5.701995,8.508296
550,5.434377,5.744301,8.509948
555,5.461315,5.788397,8.508485
560,5.488806,5.833836,8.503766
565,5.516759,5.88033,8.49498
570,5.545088,5.927619,8.482293
575,5.573706,5.975471,8.475824
580,5.602534,6.023679,8.467478
585,5.632036,6.07232,8.48787
590,5.661573,6.12094,8.505752
595,5.691077,6.169396,8.515866
600,5.720489,6.217562,8.522846
605,5.749752,6.265327,8.482438
610,5.778815,6.312597,8.441189
615,5.807632,6.359286,8.395604
620,5.836163,6.405324,8.348733
625,5.864715,6.450782,8.327974
630,5.89289,6.49546,8.305014
635,5.920658,6.539314,8.285959
640,5.947998,6.582311,8.266544
645,5.974888,6.624422,8.250247
650,6.001313,6.665626,8.233113
655,6.027258,6.705905,8.208933
660,6.052713,6.745249,8.183543
665,6.077855,6.783705,8.128666
670,6.102478,6.821208,8.072906
675,6.12658,6.857755,8.02047
680,6.15016,6.893351,7.968634
685,6.173217,6.928001,7.938841
690,6.195756,6.961712,7.90871
695,6.217778,6.994495,7.920284
700,6.239289,7.02636,7.930466
