Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
0,0,93.80662775,2.759964084,1.521511948,0.01516161,0.267193822,0.116585326,0.459649601,0.127457757,0,0,0.925848101,0
1,0.004500978,93.81957871,2.53561099,1.365620073,0.078500296,0.464161974,0.127110536,0.354525199,0.143742547,0,0,1.111149676,0
2,0.009001957,93.38319658,2.853943467,1.368003617,0.088736652,0.620444183,0.124680047,0.321437684,0.114994038,0,0,1.124563737,0
3,0.013502935,92.73072046,3.104430069,1.373861162,0.174476779,0.876832858,0.110103898,0.23101712,0.114994038,0,0,1.28356362,0
4,0.018003914,92.54520279,3.050218696,1.436207018,0.184669449,1.006025881,0.111075196,0.17626623,0.105206658,0,0,1.385128076,0
5,0.022504892,92.16278773,3.061911127,1.543327817,0.2128064,1.083850406,0.146655281,0.145738598,0.038519384,0,0,1.604403255,0
6,0.027005871,91.9640431,3.250548736,1.69438905,0.218528477,0.872837121,0.152545367,0.175042743,0,0,0,1.672065405,0
7,0.031506849,92.22416315,2.999562525,1.653227011,0.246742773,0.623722517,0.129553749,0.137225218,0,0,0,1.985803056,0
8,0.036007828,93.03145004,2.669683444,1.427304953,0.245860677,0.324261248,0.129553749,0.119956141,0,0,0,2.051929749,0
9,0.040508806,93.85416971,2.255433408,1.145962222,0.267349337,0.147409285,0.139565515,0.165511749,0,0,0,2.024598772,0
10,0.045009785,94.61818971,1.983279538,0.881918931,0.272384113,0,0.182360351,0.2346941,0,0,0,1.82717326,0
11,0.049510763,95.11164316,1.719120849,0.610927076,0.212958766,0,0.19850184,0.206403663,0,0,0,1.940444642,0
12,0.054011742,95.24063472,1.837478795,0.454518316,0.187107929,0,0.215226328,0.305436425,0,0,0,1.759597483,0
13,0.05851272,94.83439425,2.199103557,0.54006566,0.102249898,0,0.215226328,0.339461277,0,0,0,1.769499032,0
14,0.063013699,94.33795519,2.587469967,0.773171437,0.061471602,0,0.202799284,0.400211438,0,0,0,1.636921083,0
15,0.067514677,94.06373799,2.82848708,0.947824361,0.028299874,0,0.121765432,0.351710861,0,0,0,1.658174399,0
16,0.072015656,93.91005183,3.222202365,1.10698923,0.028299874,0,0.096579368,0.46275253,0,0,0,1.173124801,0
17,0.076516634,94.23791684,3.142849145,1.138592524,0,0,0.137445204,0.420555876,0,0,0,0.922640414,0
18,0.081017613,94.46120022,3.025749469,1.192363178,0,0,0.21452825,0.41331638,0.062370306,0,0,0.6304722,0
19,0.085518591,94.26288321,3.095190118,1.21606524,0,0,0.288016346,0.290135042,0.137280447,0,0,0.710429598,0
20,0.090019569,94.272149,3.105898641,1.162770363,0,0.11424364,0.297821718,0.261248048,0.193587828,0,0,0.592280766,0
21,0.094520548,94.13549587,3.012149068,1.152350244,0.033632848,0.224370044,0.276692525,0.141362273,0.193587828,0,0,0.830359303,0
22,0.099021526,93.6621219,3.192715716,1.258754366,0.083531522,0.289724743,0.219102201,0.084526165,0.20253545,0,0,1.006987935,0
