nm,n
392.879,2.3219
396.025,2.30189
398.882,2.2827
401.455,2.26596
405.758,2.24839
409.483,2.23042
414.072,2.21164
419.243,2.19611
424.124,2.17895
428.718,2.16384
435.334,2.14953
441.086,2.13646
445.687,2.12583
450.867,2.11684
457.772,2.10294
465.543,2.08986
472.738,2.07759
483.395,2.0645
498.951,2.04813
510.474,2.03544
524.593,2.02275
534.391,2.01456
546.783,2.00473
560.331,1.99571
575.607,1.98505
592.324,1.97357
608.177,1.9621
624.899,1.9543
634.123,1.94774
737.911,1.89357
750.31,1.88863
764.148,1.88084
782.602,1.87262
794.131,1.86443
806.818,1.85908
817.195,1.85293
828.441,1.848
841.414,1.84143
850.063,1.83651
860.154,1.83158
871.974,1.82502
881.486,1.81887
892.154,1.81353
901.667,1.80779
910.602,1.80205
922.135,1.79631
933.376,1.78852
946.638,1.78195
958.745,1.77416
972.872,1.76718
984.98,1.76021
1000.55,1.75118
1014.1,1.74298
1028.79,1.73233
1040.61,1.72535
1055.03,1.71633
1066.27,1.70773
1078.09,1.70157
1091.35,1.69256
1103.16,1.68354
1115.27,1.67494
1129.97,1.66632
1140.06,1.65976
1152.45,1.65034
1164.56,1.64337
1176.95,1.63394
1189.92,1.62411
1204.91,1.61142
1221.91,1.59912
1236.9,1.58806
1251.88,1.57618
1262.26,1.56676
1273.21,1.55898
1283.3,1.54997
1292.23,1.54178
1299.72,1.53482
1307.79,1.52826
1317.3,1.52048
1327.67,1.51066
1338.04,1.50165
1348.13,1.49223
1355.62,1.48527
1366.28,1.47585
1374.93,1.46807
1383.28,1.46111
1391.93,1.45251
1399.99,1.44514
1408.35,1.43737
1415.55,1.42959
1423.91,1.42222
1433.7,1.41199
1440.91,1.40584
1447.82,1.39848
1454.45,1.39111
1461.94,1.38374
1470.01,1.37596
1478.94,1.36737
1486.43,1.35918
1494.49,1.34936
1502.56,1.34077
1511.49,1.33176
1519.27,1.32235
1526.47,1.31539
1534.24,1.30558
1541.16,1.2978
1550.95,1.28757
1559.59,1.27693
1566.5,1.26793
1574.86,1.25811
1585.8,1.24584
1593.87,1.23643
1602.51,1.2262
1613.74,1.21106
1623.24,1.1992
1631.89,1.18897
1639.95,1.17915
1646.28,1.16975
1652.33,1.16075
1659.82,1.15134
1665.86,1.14316
1673.93,1.13212
1683.14,1.11984
1689.76,1.10962
1698.4,1.09776
1708.19,1.08304
1720.28,1.06545
1727.19,1.05564
1734.68,1.04419
1742.74,1.0311
1751.38,1.01843
1758.86,1.0082
1767.5,0.994706
1776.71,0.977945
1783.91,0.96772
1789.66,0.956275
1796.57,0.946051
1804.92,0.933374
1812.12,0.921925
1819.31,0.908843
1826.5,0.895761
1831.4,0.887584
1840.03,0.87409
1847.8,0.86019
1854.13,0.848335
1860.18,0.837706
1868.81,0.823396
1876.01,0.810314
1883.49,0.797231
1889.82,0.785376
1897.01,0.772294
1905.36,0.757985
1916.01,0.738771
1923.78,0.725687
1934.14,0.708923
1942.49,0.693797
1949.11,0.681941
1955.44,0.672127
1964.94,0.655774
1973.58,0.644729
1982.79,0.629192
