nb1,nb2,si1,si2
2.606928,2.337569,1.724165,1.566357
2.637186,2.334984,1.720372,1.56603
2.667656,2.332419,1.716684,1.565702
2.698162,2.329875,1.713099,1.565375
2.728537,2.327351,1.709612,1.565047
2.758616,2.324847,1.70622,1.564719
2.788244,2.322363,1.70292,1.564391
2.81727,2.319899,1.699708,1.564063
2.845549,2.317454,1.696582,1.563735
2.872944,2.31503,1.693539,1.563407
2.899324,2.312625,1.690576,1.563079
2.92457,2.310239,1.68769,1.562751
2.948567,2.307873,1.684878,1.562423
2.971216,2.305526,1.682139,1.562095
2.992425,2.303198,1.67947,1.561768
3.012115,2.300889,1.676869,1.56144
3.030222,2.298599,1.674333,1.561113
3.046689,2.296328,1.67186,1.560786
3.061479,2.294075,1.669449,1.56046
3.074562,2.291841,1.667097,1.560134
3.085925,2.289625,1.664803,1.559808
3.095567,2.287428,1.662565,1.559483
3.103497,2.285249,1.66038,1.559159
3.109737,2.283088,1.658248,1.558835
3.11432,2.280945,1.656167,1.558511
3.117288,2.27882,1.654135,1.558188
3.118692,2.276713,1.652151,1.557866
3.118589,2.274623,1.650213,1.557545
3.117045,2.272551,1.64832,1.557224
3.114129,2.270497,1.646471,1.556904
3.109915,2.26846,1.644664,1.556585
3.104481,2.26644,1.642898,1.556267
3.097906,2.264437,1.641172,1.55595
3.090271,2.262452,1.639485,1.555633
3.081657,2.260483,1.637835,1.555318
3.072145,2.258531,1.636222,1.555004
3.061814,2.256596,1.634645,1.55469
3.050743,2.254678,1.633102,1.554378
3.039007,2.252776,1.631592,1.554067
3.026682,2.25089,1.630115,1.553758
3.013838,2.249021,1.62867,1.553449
3.000543,2.247168,1.627256,1.553142
2.986861,2.245331,1.625872,1.552836
2.972855,2.24351,1.624516,1.552532
2.958583,2.241706,1.62319,1.552229
2.944099,2.239917,1.62189,1.551927
2.929456,2.238143,1.620618,1.551627
2.914701,2.236386,1.619372,1.551329
2.89988,2.234643,1.618151,1.551032
2.885035,2.232917,1.616955,1.550737
2.870204,2.231205,1.615784,1.550443
2.855423,2.229509,1.614635,1.550151
2.840727,2.227828,1.61351,1.549862
