,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k
0,0.025491392,2.373204252,3.01556936,0.026500732,-18.20494516,2.406243551,0.643398916,276.5648611,295.6949887,0.31,1.553923347,0.31,5.00E-05,0.401047791,2.06348,0.401047791,0.01245
1,0.024506539,0.041397838,0.43680385,0.024999989,37.54041568,0.025657379,-0.048043627,279.4918757,299.8604628,0.3529,1.544418816,0.32,1.38E-05,0.402637024,2.06099,0.402637024,0.011971
2,0.02316994,-0.573670527,6.014206096,0.024343429,21.84989348,-1.325906173,-0.319364245,283.2070263,301.9993668,0.3958,1.537794371,0.33,6.28E-06,0.404226227,2.05855,0.404226227,0.011515
3,0.022067848,-1.91711523,-1.334833441,0.023147549,4.44979184,-0.093656342,0.090130984,286.5843138,305.8269019,0.4387,1.532976444,0.34,2.71E-06,0.40581543,2.056157,0.40581543,0.011082
4,0.020895419,-0.030723886,-0.144466462,0.022022031,-0.143835762,-0.055972486,-0.073007589,290.4118236,309.7668976,0.4816,1.529347097,0.35,1.12E-06,0.407404633,2.053809,0.407404633,0.010669
5,0.019769911,1.719292858,0.79008414,0.020919959,17.34133403,1.641744173,1.402739063,294.5768924,313.5943314,0.5245,1.52653023,0.36,5.42E-07,0.408993835,2.051504,0.408993835,0.010277
6,0.019136809,-0.015173069,-0.41023708,0.020028946,0.022553617,0.025630849,0.0075657,296.8283076,317.1964641,0.5674,1.524286299,0.37,4.06E-07,0.410583008,2.04924,0.410583008,0.009903
7,0.01840994,,,0.019184827,,,,299.9801168,320.573473,0.6103,1.522456865,0.38,5.94E-07,0.41217218,2.047016,0.41217218,0.009547
8,0.017472033,,,0.01836417,,,,303.8073733,324.1755297,0.6532,1.520933742,0.39,2.83E-07,0.413761383,2.04483,0.413761383,0.009208
9,0.016487249,,,0.017520072,,,,308.1973633,328.0026849,0.6961,1.519641015,0.4,2.05E-07,0.415350525,2.04268,0.415350525,0.008885
10,0.01561972,,,0.016793214,,,,312.47469,331.3795671,0.739,1.518524145,0.41,2.18E-07,0.416939636,2.040565,0.416939636,0.008577
