,Acrylic_k,Acrylic_SE,OC_SE,OC_k,ITO_SE,SiN_SE,SiO2_SE,Acrylic_wk,OC_wk,sodalime_w,sodalime_n,sodalime_wk,sodalime_k,ITO_2_w,ITO_2_n,ITO_2_wk,ITO_2_k,OC_LENS_n,OC_LENS_k,OC_LENS_w,OC_LENS_wk,OC_HRI_LENS_n,OC_HRI_LENS_k,OC_HRI_LENS_w,OC_HRI_LENS_wk,SiN_INFO_n,SiN_INFO_k,SiN_INFO_w,SiN_INFO_wk,ITO_INFO_n,ITO_INFO_k,ITO_INFO_w,ITO_INFO_wk,SiN_LENS_SE,ITO_LENS_SE,ITO_LENS_k,ITO_LENS_wk,SiO2_LENS_SE,SiO2_Nanya_n,SiO2_Nanya_k,SiO2_Nanya_w,SiO2_Nanya_wk,Nb2O5_Nanya_n,Nb2O5_Nanya_k,Nb2O5_Nanya_w,Nb2O5_Nanya_wk,ITO_Nanya_n,ITO_Nanya_k,ITO_Nanya_w,ITO_Nanya_wk,OC_Nanya_n,OC_Nanya_k,OC_Nanya_w,OC_Nanya_wk,SiO2_NSNT_SE,Corning1737_NSNT_SE,ITO1_Nanya_n,ITO1_Nanya_k,ITO1_Nanya_w,ITO1_Nanya_wk,ITO_LT_Nanya_n,ITO_LT_Nanya_k,ITO_LT_Nanya_w,ITO_LT_Nanya_wk,sodalime_Nanya_n,sodalime_Nanya_k,sodalime_Nanya_w,Unnamed: 68,Unnamed: 69,Nanya_sodalime_n,Nanya_sodalime_k,Nanya_sodalime_w,Nanya_sodalime_wk
0,0.025491392,2.373204252,3.01556936,0.026500732000000003,-18.20494516,2.406243551,0.643398916,276.56486110000003,295.6949887,0.31,1.5539233469999998,0.31,5e-05,0.401047791,2.06348,0.401047791,0.01245,1.7094,0.0,246.077,246.077,1.75673037,0.0,300.0,300.0,2.191,0.0,0.25,0.25,2.31717213,0.0,0.25157,0.25157,3.464791825,-16.16909098,0.0482,400.0,0.5932504670000001,1.501737626,0.028341346,330.0,330.0,2.503944724,0.025015709,330.0,330.0,2.005241511,0.06917925400000001,330.0,330.0,1.4891163,0.006656961,381.37625,381.37625,2.649001531,2.384764111,2.363521173,0.103094615,300,300,2.473709688,1.19688551,300,300,1.55277,0.0,300.0,,,1.5755709999999998,0.0,245.89743,245.89742999999999
1,0.024506539,0.041397838,0.43680385,0.024999989,37.54041568,0.025657379,-0.048043627,279.4918757,299.8604628,0.3529,1.544418816,0.32,1.3800000000000007e-05,0.402637024,2.0609900000000003,0.402637024,0.011971,1.7068,0.0,247.679,247.679,1.75531837,0.0,301.0,301.0,2.157,0.0,0.26,0.26,2.33168536,0.0,0.25316,0.25316,-0.108232354,12.10209544,0.04772244900000002,406.122449,0.5632560000000001,1.502030723,0.027779831,331.0,331.0,2.500961456,0.024972663,331.0,331.0,2.005873819,0.069525703,331.0,331.0,1.4887857,0.006640869000000001,382.54877,382.54877,8.573906424,-0.511146718,2.348184362,0.097445409,301,301,2.498753549,1.129759035,301,301,1.54942,0.0,310.0,,,1.574964,0.0,247.487381,247.487381
2,0.02316994,-0.573670527,6.0142060960000014,0.024343429,21.84989348,-1.325906173,-0.319364245,283.20702630000005,301.9993668,0.3958,1.537794371,0.33,6.28e-06,0.4042262270000001,2.05855,0.4042262270000001,0.011515,1.7024,0.0,249.28,249.28,1.75375941,0.0,302.0,302.0,2.129,0.0,0.27,0.27,2.34626565,0.0,0.25475,0.25475,-0.969854126,-0.328194027,0.047244898,412.244898,0.002494054,1.502309238,0.027234983,332.0,332.0,2.497997395,0.024928381,332.0,332.0,2.006439995,0.069869747,332.0,332.0,1.4884583,0.006624816,383.72852,383.72852,-5.179562431,-0.612533286,2.333990735,0.092272757,302,302,2.518018113,1.064867977,302,302,1.54643,0.0,320.0,,,1.574358,0.0,249.077316,249.07731600000002
3,0.022067848,-1.91711523,-1.334833441,0.023147549,4.44979184,-0.093656342,0.090130984,286.5843138,305.8269019,0.4387,1.532976444,0.34,2.71e-06,0.40581543,2.056157,0.40581543,0.011082,1.6982,0.0,250.882,250.882,1.75207765,0.0,303.0,303.0,2.105,0.0,0.28,0.28,2.36067795,0.0,0.25634,0.25634,-0.018208574,18.11542546,0.046767347,418.3673469,0.560276523,1.502573872,0.026706242,333.0,333.0,2.4950524030000003,0.024882906,333.0,333.0,2.006941839,0.07021129400000001,333.0,333.0,1.4881338,0.006608802,384.91556,384.91556,-1.159289219,0.028608309,2.320835769,0.08752376699999999,303,303,2.532197994,1.002696802,303,303,1.54273,0.0,334.1,,,1.573753,0.0,250.667236,250.66723599999997
4,0.020895419,-0.030723886,-0.144466462,0.022022031,-0.143835762,-0.055972486,-0.073007589,290.4118236,309.76689760000005,0.4816,1.5293470969999998,0.35,1.12e-06,0.407404633,2.053809,0.407404633,0.010669,1.6951,0.0,252.483,252.483,1.75029643,0.0,304.0,304.0,2.085,0.0,0.29,0.29,2.37467908,0.0,0.25793,0.25793,1.465627358,0.008528475,0.046289796,424.4897959,0.002502967,1.502825286,0.026193067,334.0,334.0,2.492126344,0.024836281,334.0,334.0,2.007381104,0.070550254,334.0,334.0,1.4878123,0.006592826,386.11,386.11,-0.173153379,4.928474252,2.308626089,0.083152767,304,304,2.541984878,0.94356848,304,304,1.53917,0.0,350.0,,,1.57315,0.0,252.25717200000003,252.25717200000003
5,0.019769911,1.7192928580000002,0.79008414,0.020919959,17.34133403,1.6417441730000002,1.402739063,294.5768924,313.5943314,0.5245,1.52653023,0.36,5.420000000000001e-07,0.408993835,2.051504,0.408993835,0.010277,1.693,0.0,254.085,254.085,1.74843783,0.0,305.0,305.0,2.067,0.0,0.3,0.3,2.38802531,0.0,0.25952,0.25952,0.503350352,-13.69257619,0.045812245,430.6122449,0.557947385,1.5030641000000002,0.025694931,335.0,335.0,2.489219081,0.024788546,335.0,335.0,2.007759494,0.070886537,335.0,335.0,1.4874938,0.006576889,387.31183,387.31183,0.665826841,0.444681934,2.297278064,0.079120144,305,305,2.548038176,0.88766884,305,305,1.53627,0.0,365.0,,,1.572548,0.0,253.847092,253.847092
6,0.019136809,-0.015173069,-0.41023708,0.020028946,0.022553617,0.025630849,0.0075657,296.8283076,317.1964641,0.5674,1.524286299,0.37,4.06e-07,0.410583008,2.04924,0.410583008,0.009903,1.6901,0.0,255.686,255.686,1.7465223,0.0,306.0,306.0,2.051,0.0,0.31,0.31,2.40048438,0.0,0.26112,0.26112,0.047192786,-0.546183448,0.045334694,436.73469389999985,0.002489848,1.503290895,0.025211324,336.0,336.0,2.486330478,0.024739742,336.0,336.0,2.008078672,0.071220057,336.0,336.0,1.4871781000000002,0.006560991,388.52118,388.52118,1.480079027,-1.086588099,2.2867166080000003,0.075391396,306,306,2.550966144,0.8350726829999999,306,306,1.53539,0.0,370.0,,,1.571949,0.0,255.437012,255.437012
7,0.01840994,,,0.019184827,,,,299.9801168,320.573473,0.6103,1.522456865,0.38,5.939999999999999e-07,0.41217218,2.047016,0.41217218,0.009547,1.6865,0.0,257.288,257.288,1.74456844,0.0,307.0,307.0,2.037,0.0,0.32,0.32,2.41184546,0.0,0.26271,0.26271,,,0.044857143,442.85714289999993,,1.503506219,0.024741751,337.0,337.0,2.483460402,0.024689909,337.0,337.0,2.008340253,0.07155073099999999,337.0,337.0,1.4868655000000002,0.006545131,389.73813,389.73813,,,2.276874157,0.071936353,307,307,2.551315605,0.785768824,307,307,1.53374,0.0,380.0,,,1.571352,0.0,257.026917,257.02691699999997
8,0.017472033,,,0.01836417,,,,303.8073733,324.1755297,0.6532,1.520933742,0.39,2.8300000000000003e-07,0.413761383,2.04483,0.413761383,0.009208,1.6826,0.0,258.889,258.889,1.74259284,0.0,308.0,308.0,2.025,0.0,0.33,0.33,2.42192779,0.0,0.2643,0.2643,,,0.044379592,448.9795918,,1.5037105869999998,0.024285732,338.0,338.0,2.480608719,0.024639085,338.0,338.0,2.008545812,0.071878477,338.0,338.0,1.4865556999999998,0.0065293090000000005,390.9627,390.9627,,,2.2676897780000003,0.06872853400000001,308,308,2.549568181,0.739682429,308,308,1.53224,0.0,390.0,,,1.570758,0.0,258.616821,258.616821
9,0.016487249,,,0.017520072,,,,308.1973633,328.0026849,0.6961,1.519641015,0.4,2.05e-07,0.415350525,2.04268,0.415350525,0.008884999999999999,1.6796,0.0,260.49,260.49,1.74060999,0.0,309.0,309.0,2.014,0.0,0.34,0.34,2.43058781,0.0,0.26589,0.26589,,,0.043902041,455.1020408,,1.503904484,0.023842803,339.0,339.0,2.477775297,0.024587308,339.0,339.0,2.0086968780000003,0.072203214,339.0,339.0,1.486249,0.006513525,392.195,392.195,,,2.25910841,0.065744618,309,309,2.546141079,0.696693901,309,309,1.53085,0.0,400.0,,,1.570166,0.0,260.206726,260.206726
10,0.01561972,,,0.016793214,,,,312.47469,331.3795671000001,0.7390000000000001,1.518524145,0.41,2.18e-07,0.416939636,2.040565,0.416939636,0.008577,1.6769,0.0,262.092,262.092,1.73863234,0.0,310.0,310.0,2.004,0.0,0.35,0.35,2.43772396,0.0,0.26748,0.26748,,,0.04342449,461.2244898,,1.504088366,0.023412516,340.0,340.0,2.474960005,0.024534616,340.0,340.0,2.008794944,0.072524867,340.0,340.0,1.485945,0.00649778,393.43512,393.43512,,,2.251080201,0.06296399400000001,310,310,2.54139079,0.656654186,310,310,1.53023,0.0,404.7,,,1.569577,0.0,261.7966,261.7966
11,0.014588068,,,0.016066371,,,,317.6524867,335.0940591,0.7819,1.517543129,0.42,2.28e-07,0.418528809,2.038484,0.418528809,0.008284,1.6749,0.0,263.693,263.693,1.73667032,0.0,311.0,311.0,1.995,0.0,0.36,0.36,2.44327819,0.0,0.26907,0.26907,,,0.042946939,467.3469388,,1.5042626630000002,0.022994438,341.0,341.0,2.472162712,0.024481045,341.0,341.0,2.008841461,0.072843361,341.0,341.0,1.4856439,0.0064820730000000005,394.68307,394.68307,,,2.243559932,0.06036839099999999,311,311,2.535618427,0.619396741,311,311,1.52839,0.0,420.0,,,1.568991,0.0,263.386505,263.386505
12,0.0137909,,,0.015011273,,,,322.042274,340.38441760000006,0.8248,1.5166680890000002,0.43,2.4e-07,0.42011792,2.036436,0.42011792,0.008004,1.6727,0.0,265.295,265.295,1.73473245,0.0,312.0,312.0,1.987,0.0,0.37,0.37,2.44723468,0.0,0.27067,0.27067,,,0.042469388,473.46938780000005,,1.504427781,0.02258815,342.0,342.0,2.469383289,0.024426632,342.0,342.0,2.008837842,0.07315862299999999,342.0,342.0,1.4853456,0.006466404,395.939,395.939,,,2.236506516,0.057941562,312,312,2.529075824,0.584746596,312,312,1.52669,0.0,435.8,,,1.568409,0.0,264.976379,264.976379
13,0.013134435,,,0.014284467,,,,326.2068363,344.8866656,0.8677,1.515876346,0.44,2.34e-07,0.421707092,2.03442,0.421707092,0.007737000000000002,1.6705,0.0,266.896,266.896,1.73282552,0.0,313.0,313.0,1.98,0.0,0.38,0.38,2.4496167,0.0,0.27226,0.27226,,,0.041991837,479.5918367,,1.5045841030000002,0.022193249,343.0,343.0,2.466621607,0.02437141,343.0,343.0,2.008785462,0.07347058299999999,343.0,343.0,1.4850502,0.006450772,397.2029,397.2029,,,2.229882561,0.05566902,313,313,2.521971746,0.552527006,313,313,1.52443,0.0,460.0,,,1.5678299999999998,0.0,266.566223,266.566223
