,wl_ITO,k_ITO,wl_sodalime,k_sodalime,wl_Acrylic,k_Acrylic,wl_OC,k_OC
0.0,0.276564861,0.025491392,0.31,5e-05,0.2765648611339775,0.025491392009567085,0.2956949886652904,0.026500731909855052
1.0,0.27949187600000003,0.024506539,0.32,1.3800000000000003e-05,0.27949187573612283,0.02450653883809495,0.2998604627600967,0.024999989443100314
2.0,0.28320702600000003,0.02316994,0.33,6.28e-06,0.2832070262534669,0.023169940326068846,0.3019993667760033,0.024343429459535295
3.0,0.286584314,0.022067848,0.34,2.71e-06,0.2865843137751548,0.0220678475051618,0.30582690188827394,0.02314754914184018
4.0,0.290411824,0.020895419,0.35,1.12e-06,0.2904118235584655,0.020895419340113536,0.30976689758235076,0.022022030560535477
5.0,0.294576892,0.019769911,0.36,5.420000000000001e-07,0.294576892389914,0.01976991131570852,0.31359433137878195,0.02091995885342779
6.0,0.296828308,0.019136809,0.37,4.06e-07,0.2968283076455465,0.0191368087632402,0.31719646407720264,0.020028945963242138
7.0,0.299980117,0.01840994,0.38,5.939999999999999e-07,0.2999801167665049,0.018409939827783186,0.32057347298033206,0.01918482682145052
8.0,0.303807373,0.017472033,0.39,2.8300000000000003e-07,0.30380737326021706,0.017472033189203498,0.3241755296918732,0.018364170389205445
9.0,0.308197363,0.016487249,0.4,2.05e-07,0.30819736325527786,0.016487248637579312,0.3280026848697458,0.01752007236121319
10.0,0.31247469,0.01561972,0.41,2.18e-07,0.3124746900368536,0.015619719570739562,0.33137956712807587,0.016793213982655854
11.0,0.317652487,0.014588068,0.42,2.28e-07,0.31765248667063484,0.014588067662970557,0.3350940590924633,0.01606637143944805
12.0,0.322042274,0.0137909,0.43,2.4e-07,0.32204227403401675,0.013790900332521224,0.34038441762389027,0.015011272657482021
13.0,0.326206836,0.013134435,0.44,2.34e-07,0.3262068362862679,0.013134435361053355,0.3448866655690783,0.014284467063423107
14.0,0.331609529,0.012266959,0.45,1.93e-07,0.3316095287547017,0.012266959078712029,0.35085211686782075,0.013346660715390413
15.0,0.337349755,0.011469855,0.46,1.67e-07,0.3373497549423133,0.0114698550896608,0.35591704765643795,0.012619881513580712
16.0,0.343089905,0.010743108,0.47,1.7e-07,0.3430899051430453,0.010743107558550149,0.3596313623181064,0.012057204038900909
17.0,0.349055154,0.009992918,0.48,1.68e-07,0.3490551538101088,0.00999291843169232,0.3662718810552045,0.011260142277448412
18.0,0.355808158,0.009242766,0.49,1.55e-07,0.3558081584579729,0.00924276625398338,0.3716743708919593,0.010580283216281947
19.0,0.364474386,0.008398895,0.5,1.49e-07,0.3644743860893352,0.008398895199334323,0.37944030597383516,0.009736369934034154
20.0,0.373928319,0.007601965,0.51,1.5e-07,0.3739283190435784,0.007601965399127872,0.3859680855105685,0.009126920115306678
21.0,0.385407986,0.006734774000000001,0.52,1.58e-07,0.3854079862210458,0.006734774153078001,0.39170805840858147,0.00856433765272403
22.0,0.398012994,0.005891088,0.53,1.7699999999999996e-07,0.39801299375641136,0.005891087844173401,0.39699773305809194,0.008142446992223152
23.0,0.409267335,0.005258408000000001,0.54,1.99e-07,0.4092673345069085,0.005258407567692424,0.4037505097453173,0.0076033641883359315
24.0,0.418158179,0.004836686,0.55,2.2e-07,0.4181581793543648,0.004836685817586482,0.4102781119793315,0.007158079438136459
25.0,0.432338496,0.004180690999999999,0.56,2.53e-07,0.4323384962196527,0.004180690628154533,0.41759352085206614,0.006665927331792165
26.0,0.44618095,0.003759201,0.57,3.05e-07,0.4461809500892846,0.003759201129841624,0.42569676169248105,0.00610345571665619
27.0,0.465875508,0.003150369,0.58,3.56e-07,0.4658755081622574,0.003150368889745639,0.43334970428439357,0.0056816759036019925
28.0,0.478817593,0.002799194,0.59,4e-07,0.4788175934955231,0.002799193621774575,0.44561687415306284,0.005049043133169586
29.0,0.497273971,0.002448277,0.6,4.55e-07,0.4972739706943934,0.00244827699784576,0.4549578399463027,0.004650794649509873
30.0,0.516630691,0.002050498,0.61,5.22e-07,0.51663069110067,0.002050498296221958,0.46531160952875467,0.004276045824545591
31.0,0.53598731,0.0017465279999999998,0.62,5.970000000000001e-07,0.535987310191107,0.0017465282051855882,0.4766782335583389,0.0038778923529830256
32.0,0.5579321939999999,0.0015130360000000002,0.63,6.909999999999999e-07,0.5579321943744381,0.00151303597643615,0.49333417763199555,0.003386178357975597
33.0,0.5734624429999999,0.0013261470000000002,0.64,7.75e-07,0.5734624434847582,0.0013261471813394536,0.5087521181342688,0.002988214910607339
34.0,0.603622447,0.001139945,0.65,8.37e-07,0.6036224465242335,0.0011399445847221773,0.5196684439153506,0.002730753241126555
35.0,0.628718355,0.0009066,0.66,9.11e-07,0.6287183546307671,0.000906600152568316,0.5337358189485949,0.002449987215594484
36.0,0.652351186,0.000766996,0.67,1.01e-06,0.6523511860285457,0.0007669957111539304,0.5505040463013385,0.0021928000255054675
37.0,0.6709197960000001,0.00069751,0.68,1.1e-06,0.6709197958485835,0.0006975101974372455,0.5706484467015361,0.0018654147309711301
38.0,0.691401603,0.000557758,0.69,1.16e-06,0.6914016033231595,0.0005577579594273005,0.58876703689163,0.0016786473402207944
39.0,0.704906017,0.000534939,0.7,1.23e-06,0.7049060168944162,0.0005349392207614455,0.6076734083914844,0.0014684647459724878
40.0,0.7243748940000001,0.000488948,0.71,1.35e-06,0.7243748939349804,0.000488948087290355,0.6289430478337408,0.0012583929991708577
41.0,0.745756918,0.000419595,0.72,1.47e-06,0.7457569179721635,0.0004195945348197151,0.6544890262281379,0.0010954261387569296
42.0,0.7625248920000001,0.000396929,0.73,1.59e-06,0.7625248920353085,0.0003969288711992737,0.6801474905333011,0.0009793688620865597
43.0,0.7836818179999999,0.000351017,0.74,1.71e-06,0.7836818176061601,0.0003510169144758102,0.6939895391395752,0.0009331138061233757
44.0,0.80180023,0.000328415,0.75,1.83e-06,0.8018002304935348,0.00032841459225346764,0.7173973227289421,0.0007700466551624589
45.0,0.825432961,0.000282619,0.76,1.96e-06,0.8254329605754741,0.0002826187614265209,0.7364161041526829,0.0006771301025982786
,,,0.77,2.09e-06,,,,
,,,0.78,2.21e-06,,,,
,,,0.79,2.35e-06,,,,
,,,0.8,2.48e-06,,,,
,,,0.81,2.62e-06,,,,
,,,0.82,2.76e-06,,,,
,,,0.83,2.89e-06,,,,
,,,0.84,3.02e-06,,,,
,,,0.85,3.15e-06,,,,
,,,0.86,3.27e-06,,,,
,,,0.87,3.39e-06,,,,
,,,0.88,3.51e-06,,,,
,,,0.89,3.62e-06,,,,
,,,0.9,3.73e-06,,,,
,,,0.91,3.82e-06,,,,
,,,0.92,3.91e-06,,,,
,,,0.93,4e-06,,,,
,,,0.94,4.08e-06,,,,
,,,0.95,4.17e-06,,,,
,,,0.96,4.26e-06,,,,
,,,0.97,4.35e-06,,,,
,,,0.98,4.43e-06,,,,
,,,0.99,4.51e-06,,,,
,,,1.0,4.59e-06,,,,
,,,1.1,5.11e-06,,,,
,,,1.2,5.37e-06,,,,
,,,1.3,5.35e-06,,,,
,,,1.4,4.94e-06,,,,
,,,1.5,4.23e-06,,,,
,,,1.6,3.68e-06,,,,
,,,1.7,3.66e-06,,,,
,,,1.8,3.92e-06,,,,
,,,1.9,4.19e-06,,,,
,,,2.0,4.42e-06,,,,
,,,2.1,4.48e-06,,,,
,,,2.2,5.37e-06,,,,
,,,2.3,5.08e-06,,,,
,,,2.4,5.37e-06,,,,
,,,2.5,6.32e-06,,,,
,,,2.6,6.88e-06,,,,
,,,2.7,1.02e-05,,,,
,,,2.8,6.500000000000001e-05,,,,
,,,2.9,7.929999999999999e-05,,,,
,,,3.0,7.43e-05,,,,
,,,3.1,7.42e-05,,,,
,,,3.2,8.190000000000001e-05,,,,
,,,3.3,9.34e-05,,,,
,,,3.4,9.96e-05,,,,
,,,3.5,0.000107,,,,
,,,3.6,0.000107,,,,
,,,3.7,0.000105,,,,
,,,3.8,0.000103,,,,
,,,3.9,0.000103,,,,
,,,4.0,0.000106,,,,
,,,4.1,0.000122,,,,
,,,4.2,0.000144,,,,
,,,4.3,0.000178,,,,
,,,4.4,0.000225,,,,
,,,4.5,0.000298,,,,
,,,4.6,0.0007440000000000001,,,,
