nm,SCAN
400,7.35
401,7.61
402,7.62
403,7.7
404,7.74
405,7.68
406,7.71
407,7.7
408,7.61
409,7.5
410,7.32
411,7.17
412,7.06
413,6.92
414,6.74
415,6.63
416,6.51
417,6.4
418,6.36
419,6.29
420,6.22
421,6.2
422,6.24
423,6.31
424,6.4
425,6.45
426,6.6
427,6.74
428,6.9
429,7.02
430,7.15
431,7.21
432,7.29
433,7.39
434,7.45
435,7.53
436,7.59
437,7.56
438,7.53
439,7.54
440,7.5
441,7.41
442,7.36
443,7.25
444,7.19
445,7.1
446,7.02
447,6.91
448,6.81
449,6.7
450,6.64
451,6.56
452,6.48
453,6.45
454,6.41
455,6.39
456,6.35
457,6.37
458,6.39
459,6.45
460,6.5
461,6.55
462,6.62
463,6.67
464,6.72
465,6.83
466,6.91
467,6.97
468,7.02
469,7.05
470,7.08
471,7.13
472,7.17
473,7.18
474,7.2
475,7.21
476,7.2
477,7.21
478,7.21
479,7.19
480,7.18
481,7.14
482,7.1
483,7.07
484,7.04
485,7.03
486,7
487,6.95
488,6.89
489,6.83
490,6.77
491,6.74
492,6.71
493,6.67
494,6.66
495,6.64
496,6.61
497,6.6
498,6.56
499,6.53
500,6.52
501,6.52
502,6.51
503,6.52
504,6.51
505,6.51
506,6.53
507,6.54
508,6.56
509,6.59
510,6.61
511,6.62
512,6.64
513,6.65
514,6.68
515,6.71
516,6.76
517,6.78
518,6.81
519,6.83
520,6.86
521,6.9
522,6.95
523,6.99
524,7.03
525,7.05
526,7.09
527,7.1
528,7.12
529,7.16
530,7.18
531,7.22
532,7.23
533,7.24
534,7.24
535,7.23
536,7.23
537,7.22
538,7.21
539,7.2
540,7.17
541,7.15
542,7.12
543,7.07
544,7.04
545,6.99
546,6.94
547,6.89
548,6.83
549,6.75
550,6.7
551,6.64
552,6.6
553,6.55
554,6.51
555,6.47
556,6.42
557,6.38
558,6.34
559,6.3
560,6.27
561,6.24
562,6.22
563,6.2
564,6.2
565,6.21
566,6.22
567,6.26
568,6.29
569,6.32
570,6.36
571,6.41
572,6.45
573,6.51
574,6.57
575,6.64
576,6.72
577,6.8
578,6.88
579,6.95
580,7.02
581,7.08
582,7.14
583,7.22
584,7.28
585,7.36
586,7.42
587,7.47
588,7.5
589,7.54
590,7.56
591,7.58
592,7.61
593,7.64
594,7.65
595,7.66
596,7.65
597,7.63
598,7.61
599,7.58
600,7.54
601,7.5
602,7.44
603,7.39
604,7.32
605,7.23
606,7.16
607,7.08
608,7
609,6.93
610,6.84
611,6.75
612,6.68
613,6.58
614,6.51
615,6.44
616,6.36
617,6.28
618,6.2
619,6.13
620,6.08
621,6.03
622,5.98
623,5.92
624,5.88
625,5.86
626,5.84
627,5.83
628,5.83
629,5.82
630,5.83
631,5.85
632,5.87
633,5.9
634,5.94
635,5.99
636,6.05
637,6.1
638,6.19
639,6.25
640,6.32
641,6.4
642,6.47
643,6.56
644,6.63
645,6.71
646,6.78
647,6.9
648,6.99
649,7.08
650,7.16
651,7.26
652,7.34
653,7.42
654,7.49
655,7.56
656,7.61
657,7.66
658,7.71
659,7.77
660,7.82
661,7.84
662,7.87
663,7.88
664,7.89
665,7.9
666,7.9
667,7.88
668,7.87
669,7.85
670,7.82
671,7.8
672,7.76
673,7.7
674,7.63
675,7.57
676,7.5
677,7.44
678,7.37
679,7.3
680,7.24
681,7.15
682,7.06
683,6.98
684,6.86
685,6.79
686,6.71
687,6.61
688,6.54
689,6.43
690,6.34
691,6.25
692,6.16
693,6.08
694,6.02
695,5.96
696,5.87
697,5.81
698,5.73
699,5.67
700,5.62
