nm,SCAN
400,0.14
401,0.14
402,0.15
403,0.17
404,0.19
405,0.12
406,0.07
407,0.1
408,0.14
409,0.19
410,0.23
411,0.31
412,0.27
413,0.18
414,0.09
415,0.04
416,0.03
417,0.08
418,0.13
419,0.17
420,0.06
421,0.07
422,0.05
423,0.02
424,0.07
425,0.1
426,0.12
427,0.14
428,0.09
429,0.1
430,0.12
431,0.18
432,0.17
433,0.2
434,0.19
435,0.12
436,0.09
437,0.08
438,0.12
439,0.16
440,0.17
441,0.19
442,0.16
443,0.14
444,0.1
445,0.11
446,0.1
447,0.08
448,0.12
449,0.09
450,0.07
451,0.13
452,0.13
453,0.16
454,0.18
455,0.16
456,0.17
457,0.17
458,0.13
459,0.09
460,0.09
461,0.09
462,0.09
463,0.11
464,0.1
465,0.1
466,0.09
467,0.11
468,0.11
469,0.09
470,0.1
471,0.1
472,0.08
473,0.09
474,0.1
475,0.09
476,0.09
477,0.09
478,0.08
479,0.1
480,0.12
481,0.13
482,0.13
483,0.13
484,0.13
485,0.12
486,0.11
487,0.09
488,0.08
489,0.08
490,0.08
491,0.11
492,0.12
493,0.14
494,0.15
495,0.14
496,0.12
497,0.12
498,0.11
499,0.1
500,0.12
501,0.1
502,0.11
503,0.11
504,0.12
505,0.13
506,0.14
507,0.15
508,0.14
509,0.13
510,0.12
511,0.12
512,0.12
513,0.12
514,0.12
515,0.13
516,0.12
517,0.12
518,0.12
519,0.1
520,0.11
521,0.11
522,0.11
523,0.11
524,0.1
525,0.11
526,0.1
527,0.11
528,0.11
529,0.1
530,0.1
531,0.1
532,0.11
533,0.11
534,0.1
535,0.11
536,0.11
537,0.11
538,0.11
539,0.11
540,0.12
541,0.12
542,0.12
543,0.11
544,0.11
545,0.11
546,0.12
547,0.12
548,0.12
549,0.12
550,0.11
551,0.12
552,0.12
553,0.11
554,0.11
555,0.11
556,0.11
557,0.12
558,0.12
559,0.13
560,0.12
561,0.12
562,0.12
563,0.12
564,0.11
565,0.11
566,0.11
567,0.1
568,0.1
569,0.11
570,0.1
571,0.11
572,0.12
573,0.11
574,0.11
575,0.11
576,0.11
577,0.11
578,0.12
579,0.12
580,0.12
581,0.13
582,0.12
583,0.12
584,0.12
585,0.11
586,0.11
587,0.11
588,0.1
589,0.1
590,0.1
591,0.1
592,0.1
593,0.11
594,0.11
595,0.11
596,0.12
597,0.11
598,0.12
599,0.11
600,0.11
601,0.1
602,0.1
603,0.11
604,0.11
605,0.11
606,0.12
607,0.11
608,0.11
609,0.11
610,0.11
611,0.12
612,0.12
613,0.11
614,0.1
615,0.11
616,0.12
617,0.12
618,0.12
619,0.11
620,0.1
621,0.09
622,0.09
623,0.09
624,0.1
625,0.11
626,0.11
627,0.11
628,0.11
629,0.1
630,0.1
631,0.11
632,0.11
633,0.11
634,0.11
635,0.1
636,0.11
637,0.1
638,0.1
639,0.11
640,0.11
641,0.11
642,0.11
643,0.1
644,0.09
645,0.1
646,0.11
647,0.12
648,0.12
649,0.11
650,0.1
651,0.1
652,0.1
653,0.09
654,0.09
655,0.1
656,0.09
657,0.11
658,0.12
659,0.11
660,0.13
661,0.12
662,0.11
663,0.12
664,0.11
665,0.11
666,0.12
667,0.11
668,0.1
669,0.1
670,0.09
671,0.09
672,0.09
673,0.09
674,0.1
675,0.11
676,0.12
677,0.13
678,0.13
679,0.12
680,0.12
681,0.12
682,0.12
683,0.11
684,0.1
685,0.09
686,0.09
687,0.09
688,0.1
689,0.09
690,0.1
691,0.09
692,0.09
693,0.1
694,0.09
695,0.1
696,0.11
697,0.1
698,0.11
699,0.11
700,0.11
