PRINT DATE :2020/4/30 上午 10:36:19,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :0.27 , 410.5nm    MIN :0 , 422.9nm    AVERAGE :0.1",
,
,
nm,SCAN
400,0.14
401,0.19
402,0.16
403,0.09
404,0.07
405,0.02
406,0.05
407,0.17
408,0.23
409,0.22
410,0.26
411,0.24
412,0.22
413,0.22
414,0.17
415,0.13
416,0.12
417,0.15
418,0.18
419,0.2
420,0.09
421,0.07
422,0
423,0
424,0.06
425,0.06
426,0.08
427,0.16
428,0.17
429,0.19
430,0.16
431,0.17
432,0.1
433,0.03
434,0.01
435,0
436,0.03
437,0.11
438,0.15
439,0.19
440,0.15
441,0.15
442,0.12
443,0.11
444,0.1
445,0.09
446,0.06
447,0.05
448,0.07
449,0.07
450,0.07
451,0.1
452,0.07
453,0.1
454,0.09
455,0.11
456,0.14
457,0.12
458,0.1
459,0.09
460,0.11
461,0.14
462,0.16
463,0.17
464,0.12
465,0.09
466,0.07
467,0.07
468,0.1
469,0.09
470,0.1
471,0.09
472,0.09
473,0.1
474,0.12
475,0.11
476,0.1
477,0.1
478,0.09
479,0.11
480,0.12
481,0.11
482,0.13
483,0.12
484,0.15
485,0.15
486,0.14
487,0.11
488,0.11
489,0.12
490,0.12
491,0.14
492,0.12
493,0.11
494,0.11
495,0.1
496,0.11
497,0.12
498,0.13
499,0.12
500,0.14
501,0.12
502,0.12
503,0.13
504,0.12
505,0.13
506,0.13
507,0.14
508,0.13
509,0.14
510,0.14
511,0.13
512,0.14
513,0.12
514,0.13
515,0.13
516,0.11
517,0.12
518,0.13
519,0.13
520,0.13
521,0.13
522,0.12
523,0.13
524,0.13
525,0.12
526,0.12
527,0.11
528,0.1
529,0.1
530,0.11
531,0.11
532,0.12
533,0.12
534,0.12
535,0.12
536,0.12
537,0.12
538,0.12
539,0.13
540,0.13
541,0.13
542,0.12
543,0.12
544,0.12
545,0.12
546,0.12
547,0.12
548,0.11
549,0.11
550,0.11
551,0.12
552,0.12
553,0.12
554,0.13
555,0.13
556,0.12
557,0.12
558,0.13
559,0.12
560,0.12
561,0.12
562,0.12
563,0.13
564,0.13
565,0.13
566,0.13
567,0.12
568,0.12
569,0.12
570,0.12
571,0.13
572,0.13
573,0.13
574,0.12
575,0.11
576,0.12
577,0.12
578,0.12
579,0.13
580,0.12
581,0.13
582,0.13
583,0.14
584,0.14
585,0.14
586,0.13
587,0.12
588,0.12
589,0.12
590,0.12
591,0.12
592,0.12
593,0.13
594,0.13
595,0.13
596,0.13
597,0.14
598,0.13
599,0.13
600,0.12
601,0.12
602,0.12
603,0.12
604,0.13
605,0.14
606,0.14
607,0.13
608,0.12
609,0.12
610,0.12
611,0.13
612,0.13
613,0.13
614,0.13
615,0.13
616,0.13
617,0.14
618,0.14
619,0.13
620,0.12
621,0.11
622,0.11
623,0.11
624,0.12
625,0.12
626,0.13
627,0.13
628,0.13
629,0.12
630,0.12
631,0.11
632,0.11
633,0.12
634,0.11
635,0.12
636,0.12
637,0.11
638,0.11
639,0.11
640,0.11
641,0.11
642,0.12
643,0.12
644,0.11
645,0.12
646,0.12
647,0.12
648,0.13
649,0.13
650,0.13
651,0.14
652,0.14
653,0.13
654,0.13
655,0.12
656,0.11
657,0.11
658,0.11
659,0.11
660,0.11
661,0.11
662,0.1
663,0.11
664,0.11
665,0.11
666,0.12
667,0.11
668,0.1
669,0.1
670,0.1
671,0.09
672,0.09
673,0.11
674,0.12
675,0.13
676,0.13
677,0.13
678,0.13
679,0.13
680,0.13
681,0.12
682,0.1
683,0.1
684,0.09
685,0.1
686,0.12
687,0.11
688,0.11
689,0.1
690,0.1
691,0.1
692,0.09
693,0.1
694,0.11
695,0.11
696,0.13
697,0.12
698,0.12
699,0.12
700,0.12
