nm,SCAN
400,5.69
401,5.66
402,5.62
403,5.51
404,5.46
405,5.26
406,5.17
407,4.95
408,4.75
409,4.48
410,4.18
411,4.03
412,3.94
413,3.82
414,3.75
415,3.71
416,3.75
417,3.81
418,3.86
419,3.93
420,4.02
421,4.12
422,4.23
423,4.41
424,4.58
425,4.66
426,4.81
427,4.94
428,5.11
429,5.25
430,5.36
431,5.43
432,5.46
433,5.43
434,5.43
435,5.39
436,5.33
437,5.24
438,5.16
439,4.99
440,4.89
441,4.74
442,4.59
443,4.49
444,4.32
445,4.23
446,4.16
447,4.09
448,4.03
449,4.01
450,4.01
451,4
452,4.03
453,4.07
454,4.08
455,4.13
456,4.2
457,4.26
458,4.28
459,4.34
460,4.42
461,4.51
462,4.62
463,4.71
464,4.79
465,4.86
466,4.9
467,4.97
468,4.99
469,5.04
470,5.04
471,5.03
472,5.04
473,5.02
474,4.99
475,4.97
476,4.94
477,4.9
478,4.87
479,4.82
480,4.76
481,4.69
482,4.66
483,4.61
484,4.56
485,4.53
486,4.5
487,4.45
488,4.4
489,4.36
490,4.32
491,4.29
492,4.27
493,4.25
494,4.25
495,4.21
496,4.21
497,4.2
498,4.19
499,4.2
500,4.2
501,4.2
502,4.21
503,4.21
504,4.21
505,4.22
506,4.25
507,4.27
508,4.29
509,4.32
510,4.33
511,4.36
512,4.42
513,4.45
514,4.5
515,4.54
516,4.57
517,4.63
518,4.68
519,4.73
520,4.79
521,4.83
522,4.87
523,4.92
524,4.97
525,5.02
526,5.05
527,5.07
528,5.08
529,5.09
530,5.1
531,5.09
532,5.09
533,5.07
534,5.04
535,5.02
536,4.98
537,4.94
538,4.9
539,4.83
540,4.77
541,4.69
542,4.61
543,4.54
544,4.46
545,4.39
546,4.31
547,4.22
548,4.15
549,4.04
550,3.97
551,3.9
552,3.84
553,3.79
554,3.77
555,3.73
556,3.69
557,3.69
558,3.68
559,3.69
560,3.7
561,3.72
562,3.74
563,3.78
564,3.83
565,3.9
566,3.97
567,4.06
568,4.14
569,4.23
570,4.33
571,4.42
572,4.53
573,4.63
574,4.73
575,4.83
576,4.94
577,5.04
578,5.12
579,5.24
580,5.31
581,5.39
582,5.47
583,5.53
584,5.58
585,5.63
586,5.66
587,5.69
588,5.7
589,5.7
590,5.68
591,5.66
592,5.62
593,5.58
594,5.53
595,5.47
596,5.41
597,5.32
598,5.22
599,5.13
600,5.03
601,4.91
602,4.8
603,4.69
604,4.57
605,4.44
606,4.32
607,4.21
608,4.1
609,3.99
610,3.87
611,3.74
612,3.64
613,3.55
614,3.49
615,3.41
616,3.35
617,3.3
618,3.25
619,3.22
620,3.19
621,3.19
622,3.17
623,3.19
624,3.21
625,3.23
626,3.27
627,3.32
628,3.38
629,3.45
630,3.52
631,3.61
632,3.7
633,3.82
634,3.94
635,4.05
636,4.17
637,4.28
638,4.43
639,4.55
640,4.67
641,4.78
642,4.89
643,5.03
644,5.15
645,5.27
646,5.38
647,5.51
648,5.59
649,5.68
650,5.75
651,5.83
652,5.89
653,5.95
654,6
655,6.06
656,6.11
657,6.12
658,6.15
659,6.14
660,6.14
661,6.11
662,6.08
663,6.05
664,6
665,5.96
666,5.9
667,5.8
668,5.73
669,5.65
670,5.56
671,5.48
672,5.38
673,5.28
674,5.15
675,5.02
676,4.92
677,4.78
678,4.67
679,4.55
680,4.4
681,4.27
682,4.15
683,4.04
684,3.9
685,3.81
686,3.72
687,3.61
688,3.52
689,3.43
690,3.32
691,3.23
692,3.17
693,3.08
694,3.02
695,2.97
696,2.91
697,2.88
698,2.86
699,2.83
700,2.82
