nm,SCAN
400,5.01
401,5.17
402,5.22
403,5.35
404,5.43
405,5.39
406,5.37
407,5.3
408,5.23
409,5.09
410,4.95
411,4.79
412,4.57
413,4.35
414,4.17
415,4
416,3.77
417,3.72
418,3.63
419,3.58
420,3.55
421,3.57
422,3.6
423,3.62
424,3.69
425,3.83
426,3.97
427,4.12
428,4.3
429,4.43
430,4.56
431,4.67
432,4.79
433,4.93
434,4.99
435,5.08
436,5.18
437,5.18
438,5.16
439,5.17
440,5.08
441,4.95
442,4.92
443,4.8
444,4.7
445,4.61
446,4.49
447,4.35
448,4.23
449,4.14
450,4.02
451,3.93
452,3.86
453,3.77
454,3.73
455,3.69
456,3.67
457,3.69
458,3.71
459,3.75
460,3.81
461,3.91
462,4
463,4.07
464,4.18
465,4.28
466,4.34
467,4.42
468,4.5
469,4.54
470,4.59
471,4.67
472,4.72
473,4.75
474,4.8
475,4.81
476,4.81
477,4.8
478,4.78
479,4.76
480,4.73
481,4.7
482,4.65
483,4.62
484,4.56
485,4.52
486,4.47
487,4.43
488,4.39
489,4.34
490,4.3
491,4.26
492,4.22
493,4.17
494,4.13
495,4.08
496,4.05
497,4.01
498,3.99
499,3.97
500,3.94
501,3.93
502,3.94
503,3.94
504,3.94
505,3.95
506,3.96
507,3.98
508,3.99
509,4
510,4.01
511,4.03
512,4.05
513,4.07
514,4.12
515,4.15
516,4.18
517,4.23
518,4.26
519,4.32
520,4.36
521,4.4
522,4.44
523,4.47
524,4.51
525,4.55
526,4.6
527,4.65
528,4.69
529,4.74
530,4.76
531,4.78
532,4.81
533,4.82
534,4.84
535,4.84
536,4.84
537,4.83
538,4.8
539,4.78
540,4.74
541,4.71
542,4.67
543,4.62
544,4.57
545,4.5
546,4.45
547,4.39
548,4.31
549,4.23
550,4.16
551,4.09
552,4.03
553,3.97
554,3.9
555,3.82
556,3.76
557,3.7
558,3.65
559,3.62
560,3.59
561,3.56
562,3.56
563,3.55
564,3.54
565,3.54
566,3.54
567,3.56
568,3.61
569,3.65
570,3.7
571,3.76
572,3.81
573,3.89
574,3.98
575,4.06
576,4.16
577,4.25
578,4.34
579,4.46
580,4.54
581,4.63
582,4.72
583,4.8
584,4.89
585,4.97
586,5.05
587,5.11
588,5.18
589,5.23
590,5.27
591,5.31
592,5.33
593,5.36
594,5.36
595,5.36
596,5.36
597,5.34
598,5.31
599,5.27
600,5.22
601,5.17
602,5.12
603,5.04
604,4.96
605,4.85
606,4.75
607,4.66
608,4.58
609,4.46
610,4.37
611,4.24
612,4.13
613,4.03
614,3.94
615,3.83
616,3.72
617,3.61
618,3.51
619,3.43
620,3.37
621,3.3
622,3.25
623,3.19
624,3.14
625,3.11
626,3.09
627,3.08
628,3.08
629,3.09
630,3.09
631,3.1
632,3.13
633,3.17
634,3.23
635,3.29
636,3.36
637,3.43
638,3.53
639,3.62
640,3.71
641,3.8
642,3.9
643,4.02
644,4.12
645,4.23
646,4.34
647,4.48
648,4.6
649,4.71
650,4.81
651,4.92
652,5.01
653,5.12
654,5.2
655,5.31
656,5.39
657,5.46
658,5.53
659,5.6
660,5.65
661,5.69
662,5.72
663,5.76
664,5.77
665,5.79
666,5.78
667,5.77
668,5.74
669,5.71
670,5.69
671,5.65
672,5.61
673,5.56
674,5.48
675,5.41
676,5.34
677,5.25
678,5.16
679,5.07
680,4.95
681,4.86
682,4.76
683,4.67
684,4.55
685,4.45
686,4.35
687,4.23
688,4.12
689,4.01
690,3.88
691,3.76
692,3.66
693,3.56
694,3.46
695,3.38
696,3.28
697,3.21
698,3.13
699,3.07
700,3
