nm,RT
400.408,86.6281
403.284,86.5983
406.093,86.5992
410.239,86.6005
416.391,86.7553
419.936,86.7564
425.553,86.6969
435.852,86.7001
443.409,86.6718
456.65,86.6453
459.659,86.7074
461.464,87.1669
465.544,87.0152
471.496,87.0782
476.31,87.1103
481.727,87.0507
489.084,87.0836
495.637,87.0856
502.927,87.0878
508.477,87.1507
511.954,87.5496
516.568,87.5204
521.651,87.5525
529.141,87.5242
534.023,87.6175
540.844,87.589
552.881,87.5315
556.224,88.0833
567.058,87.9336
579.163,87.9373
587.254,88.0622
594.477,88.0338
600.562,87.9745
605.578,88.0678
607.985,88.2828
613.201,88.2538
622.163,88.2565
627.111,88.2274
636.273,88.1996
642.426,88.1403
648.11,88.1726
653.928,88.2356
656.067,88.6953
660.481,88.7272
669.175,88.6687
679.34,88.6718
687.833,88.705
693.986,88.5845
698.533,88.6777
