nm,RT
401.27,15.6012
407.123,14.9247
411.024,14.7117
415.94,14.2134
421.948,13.8582
426.396,13.574
431.623,13.3614
436.461,12.9345
442.859,12.865
448.711,12.724
453.314,12.654
459.01,12.5487
465.173,12.6219
473.444,12.5531
480.621,12.5553
488.033,12.6289
495.055,12.524
505.588,12.6343
513.78,12.6011
524.469,12.6401
533.987,12.7501
542.335,12.7884
550.684,12.7195
559.032,12.7578
569.721,12.761
582.828,12.765
589.46,12.7671
597.106,12.698
613.412,12.703
631.045,12.7084
649.145,12.7496
664.047,12.897
672.473,12.8282
699.156,12.8363
