nm,n
400.597,2.3266
402.456,2.32457
404.443,2.32313
406.878,2.32197
408.929,2.32081
411.941,2.31907
414.889,2.31733
416.876,2.31618
418.991,2.31502
421.811,2.31328
424.567,2.31154
427.643,2.31038
430.912,2.30923
433.86,2.30749
437.642,2.30575
440.91,2.30459
443.73,2.30286
447.127,2.3017
450.652,2.30025
454.177,2.29851
458.407,2.29823
461.227,2.29678
465.136,2.29562
469.302,2.29447
472.891,2.29302
476.929,2.29244
480.71,2.291
484.748,2.28984
488.849,2.28868
492.246,2.28869
496.604,2.28666
500.065,2.28725
504.679,2.28522
509.486,2.28493
514.229,2.28407
518.971,2.28291
523.778,2.28263
529.482,2.28205
534.737,2.2809
540.185,2.28032
544.799,2.27917
549.414,2.27917
555.502,2.2786
561.142,2.27773
564.859,2.27802
568.256,2.27687
571.973,2.27687
576.267,2.27629
580.753,2.27572
585.88,2.27543
590.88,2.27399
595.814,2.27428
601.262,2.274
606.261,2.27458
609.786,2.27372
614.464,2.27314
618.694,2.27256
624.206,2.27257
629.077,2.27257
635.55,2.272
639.972,2.27229
645.676,2.27172
649.841,2.27114
653.751,2.27115
659.198,2.27144
664.646,2.27029
669.837,2.27087
676.246,2.2703
680.476,2.27088
685.603,2.27031
691.179,2.27031
694.704,2.26974
699.831,2.27003
