nm,RT
400.883,13.4234
407.125,13.4967
413.757,13.4273
421.637,13.4297
426.24,13.5025
430.921,13.4326
437.007,13.4701
442.078,13.4003
445.824,12.973
452.845,13.0466
460.57,12.9775
466.499,12.9436
473.287,13.0171
482.337,13.0556
489.905,13.0579
493.65,12.8806
498.41,12.6321
505.822,12.563
515.965,12.6018
523.299,12.604
529.384,12.6416
535.704,12.6792
540.229,12.6449
543.038,12.2531
550.606,12.2554
555.99,12.257
566.601,12.1532
573.856,12.1911
582.283,12.2294
585.638,12.2304
589.071,11.8745
593.986,11.876
599.526,11.8777
608.498,11.8804
616.456,11.9185
625.038,11.8855
633.621,11.9238
637.6,11.568
642.828,11.4625
651.644,11.5009
661.865,11.5397
672.007,11.4714
679.263,11.5094
689.952,11.5483
692.371,11.085
698.769,11.1583
