nm,RT
400.935,84.6086
404.68,84.6812
408.191,85.0035
411.077,85.29
413.573,85.3622
415.914,85.6842
419.112,85.9708
423.013,86.2576
426.289,86.2229
428.708,86.5092
431.984,86.5816
436.432,86.6187
439.63,86.8696
443.609,86.8708
449.07,86.9795
452.581,86.9092
456.716,87.3746
461.553,87.3761
468.419,87.3782
474.583,87.3443
482.853,87.4183
493.854,87.2788
500.017,87.3164
507.117,87.2472
511.096,87.534
515.543,87.464
528.26,87.6107
535.828,87.5059
542.226,87.5435
548.546,87.4741
554.397,87.5473
561.81,87.1568
572.265,87.0529
583.109,87.1634
593.33,87.1308
606.047,87.099
612.757,87.101
621.885,87.2109
630.936,87.0709
638.66,87.1447
650.051,87.0767
663.783,87.0809
681.103,87.1219
689.061,87.0887
693.508,87.2328
698.345,87.627
