nm,n
400.197,2.1627
406.703,2.15208
412.872,2.14145
416.798,2.13639
421.509,2.1288
425.098,2.12324
430.818,2.11413
434.856,2.10755
440.352,2.09946
445.736,2.09289
451.568,2.0848
454.82,2.08076
459.867,2.07469
464.017,2.06862
468.167,2.06357
472.204,2.05903
476.129,2.05448
478.559,2.05195
481.924,2.04723
486.186,2.04218
489.326,2.03915
492.765,2.03545
495.905,2.03276
498.821,2.0294
501.288,2.0267
504.428,2.02401
507.568,2.02099
510.185,2.01863
512.577,2.0156
515.119,2.01358
517.8,2.01084
520.171,2.00883
522.157,2.00652
525.297,2.00364
528.117,2.00104
530.552,1.99903
533.243,1.99701
536.383,1.99384
539.395,1.99154
541.894,1.98894
544.457,1.98722
546.828,1.9852
550.096,1.98232
554.389,1.97886
557.209,1.97656
560.798,1.9731
564.065,1.9708
567.205,1.96879
570.729,1.9662
574.126,1.96274
577.586,1.96102
581.302,1.95785
585.723,1.95556
589.44,1.95239
592.9,1.9498
596.552,1.9475
599.884,1.94607
603.088,1.94377
605.523,1.94204
608.983,1.93974
612.827,1.93745
616.736,1.93457
620.26,1.93343
623.079,1.93113
626.155,1.92941
629.423,1.92711
632.882,1.92539
635.958,1.92396
639.738,1.92195
644.287,1.91966
648.132,1.91765
652.104,1.91506
656.333,1.91306
660.113,1.91192
664.47,1.90876
669.212,1.90647
673.504,1.90447
677.925,1.90304
681.833,1.90133
685.614,1.89961
690.163,1.89761
693.815,1.89618
696.121,1.89446
699.773,1.89332
