nm,R
413.926,0.199801
415.232,0.194361
415.211,0.187984
415.52,0.181512
416.821,0.174853
417.795,0.169132
418.765,0.162191
418.412,0.15572
420.046,0.149436
419.693,0.142965
421.326,0.136493
422.632,0.130866
424.592,0.123081
423.91,0.117454
425.548,0.112014
426.519,0.105542
427.164,0.100477
429.13,0.0943807
430.773,0.0908163
433.07,0.0846258
440.711,0.0920329
443.373,0.0956898
444.717,0.101598
446.061,0.107131
448.071,0.114165
450.076,0.11951
451.752,0.125324
454.751,0.130763
454.771,0.136765
455.452,0.142299
457.794,0.149238
459.475,0.156834
461.477,0.161242
462.491,0.167338
464.17,0.174184
465.846,0.179998
467.853,0.186187
469.536,0.193971
471.879,0.20138
473.224,0.207476
474.234,0.212258
476.241,0.218354
479.578,0.225762
481.577,0.229326
484.903,0.233639
492.861,0.237107
504.772,0.23429
514.694,0.230723
516.65,0.221813
523.236,0.21112
526.193,0.204085
534.103,0.193485
537.062,0.187106
538.036,0.181479
540.993,0.174819
545.281,0.16966
547.578,0.163751
548.881,0.157373
551.177,0.151088
553.806,0.144992
555.774,0.139458
557.411,0.134205
563.023,0.129045
564.989,0.123136
567.951,0.117696
567.934,0.112819
571.893,0.10841
575.517,0.102969
577.154,0.097529
579.127,0.0936832
583.09,0.0903995
586.719,0.0866471
595.308,0.0806424
606.236,0.0807332
613.199,0.0835449
618.839,0.0868259
626.802,0.091513
631.789,0.0974202
635.449,0.102578
645.752,0.113735
655.064,0.125456
665.036,0.136895
674.014,0.147866
683.981,0.157523
696.592,0.165961
705.224,0.172617
713.853,0.178242
724.463,0.182366
736.392,0.184801
745.334,0.185455
755.93,0.185452
765.197,0.184043
776.446,0.181414
786.037,0.177941
795.295,0.173999
805.544,0.169307
816.123,0.164146
824.381,0.158329
834.957,0.152418
847.188,0.146318
855.776,0.140313
864.364,0.13384
875.932,0.127647
885.515,0.121923
896.424,0.11648
906.007,0.110851
915.592,0.10569
925.51,0.100904
936.422,0.0964928
945.681,0.0930202
955.934,0.0894535
966.189,0.0864495
974.459,0.0841025
986.039,0.0813796
997.952,0.0790316
1005.56,0.0774352
1015.82,0.0764007
1024.76,0.0753666
1036.68,0.0749882
1045.62,0.0742355
1055.55,0.0737638
1064.16,0.0735739
1073.76,0.0739464
1084.69,0.0739434
1095.95,0.0741279
1102.57,0.0744075
1113.83,0.0745919
1124.76,0.0748703
1133.04,0.0748681
1144.63,0.0754276
1154.56,0.0759876
1164.17,0.075985
1172.78,0.0759826
1183.7,0.0758859
1194.3,0.0755078
1204.56,0.075505
1212.84,0.0747524
1224.09,0.0742804
1234.03,0.0735274
1243.96,0.0734309
1252.23,0.0718343
1262.83,0.0710811
1274.08,0.0700463
1283.68,0.0697624
1293.94,0.068259
1303.21,0.0669434
1312.81,0.0657216
1323.4,0.0640305
1332.66,0.0626212
1342.92,0.0611178
1352.85,0.0594269
1363.44,0.0579234
1372.38,0.0562328
1382.64,0.0541667
1391.9,0.052476
1403.48,0.0507846
1412.75,0.0491877
1422.68,0.0472155
1431.61,0.0455249
1442.86,0.0439274
1453.13,0.0427992
1463.05,0.0409207
1472.65,0.0396989
1483.91,0.0388517
1491.85,0.0375365
1503.1,0.036408
1512.7,0.0357489
1522.97,0.0349958
1533.56,0.0343364
1542.17,0.0338651
1553.43,0.0335806
1562.04,0.0336721
1572.3,0.0340444
1583.23,0.034229
1593.17,0.0348828
1601.78,0.0358183
1613.04,0.0362841
1622.31,0.0376884
1632.25,0.0389049
1642.52,0.0406841
1652.46,0.0425571
1662.4,0.0442425
1673.01,0.0470532
1681.63,0.0494893
1693.22,0.0519246
1703.17,0.0549231
1712.78,0.058203
1722.4,0.0615767
1732.67,0.0648564
1742.62,0.0690741
1752.57,0.0731042
1760.86,0.0769472
1773.12,0.0811643
1782.08,0.0856636
1791.7,0.0899751
1802.31,0.0951305
1812.59,0.10038
1823.2,0.104785
1833.49,0.110409
1841.78,0.115378
1852.73,0.120721
1863.02,0.126908
1871.31,0.131876
1882.26,0.138344
1893.21,0.14425
1903.16,0.149781
1912.78,0.155874
1923.07,0.162436
1932.69,0.16853
1943.97,0.174529
1952.94,0.181279
1964.21,0.187279
1972.85,0.193748
1983.47,0.200497
1993.75,0.206591
2004.7,0.213528
2012.67,0.219997
2023.95,0.227216
2030.93,0.23331
2041.22,0.240247
2052.5,0.246997
2061.79,0.253559
2072.41,0.260309
2083.36,0.267246
2091.99,0.273715
2102.94,0.280277
2112.9,0.286746
2123.19,0.293308
2133.14,0.300058
2142.77,0.306714
2152.39,0.312902
2161.68,0.319277
2172.96,0.325463
2181.59,0.331745
2193.2,0.337463
2202.83,0.344025
2213.44,0.349837
2221.74,0.356025
2232.69,0.361649
2242.64,0.366992
2253.26,0.372804
2260.89,0.378898
2272.5,0.384241
2283.12,0.38949
2292.74,0.395208
