,wl_ITO,k_ITO,wl_Acrylic,k_Acrylic,wl_OC,k_OC,wl_sodalime,k_sodalime
0,0.276564861,0.025491392,0.276564861,0.025491392,0.295694989,0.026500732,0.31,5.00E-05
1,0.279491876,0.024506539,0.279491876,0.024506539,0.299860463,0.024999989,0.32,1.38E-05
2,0.283207026,0.02316994,0.283207026,0.02316994,0.301999367,0.024343429,0.33,6.28E-06
3,0.286584314,0.022067848,0.286584314,0.022067848,0.305826902,0.023147549,0.34,2.71E-06
4,0.290411824,0.020895419,0.290411824,0.020895419,0.309766898,0.022022031,0.35,1.12E-06
5,0.294576892,0.019769911,0.294576892,0.019769911,0.313594331,0.020919959,0.36,5.42E-07
6,0.296828308,0.019136809,0.296828308,0.019136809,0.317196464,0.020028946,0.37,4.06E-07
7,0.299980117,0.01840994,0.299980117,0.01840994,0.320573473,0.019184827,0.38,5.94E-07
8,0.303807373,0.017472033,0.303807373,0.017472033,0.32417553,0.01836417,0.39,2.83E-07
9,0.308197363,0.016487249,0.308197363,0.016487249,0.328002685,0.017520072,0.4,2.05E-07
10,0.31247469,0.01561972,0.31247469,0.01561972,0.331379567,0.016793214,0.41,2.18E-07
11,0.317652487,0.014588068,0.317652487,0.014588068,0.335094059,0.016066371,0.42,2.28E-07
12,0.322042274,0.0137909,0.322042274,0.0137909,0.340384418,0.015011273,0.43,2.40E-07
13,0.326206836,0.013134435,0.326206836,0.013134435,0.344886666,0.014284467,0.44,2.34E-07
14,0.331609529,0.012266959,0.331609529,0.012266959,0.350852117,0.013346661,0.45,1.93E-07
15,0.337349755,0.011469855,0.337349755,0.011469855,0.355917048,0.012619882,0.46,1.67E-07
16,0.343089905,0.010743108,0.343089905,0.010743108,0.359631362,0.012057204,0.47,1.70E-07
17,0.349055154,0.009992918,0.349055154,0.009992918,0.366271881,0.011260142,0.48,1.68E-07
18,0.355808158,0.009242766,0.355808158,0.009242766,0.371674371,0.010580283,0.49,1.55E-07
19,0.364474386,0.008398895,0.364474386,0.008398895,0.379440306,0.00973637,0.5,1.49E-07
20,0.373928319,0.007601965,0.373928319,0.007601965,0.385968086,0.00912692,0.51,1.50E-07
21,0.385407986,0.006734774,0.385407986,0.006734774,0.391708058,0.008564338,0.52,1.58E-07
22,0.398012994,0.005891088,0.398012994,0.005891088,0.396997733,0.008142447,0.53,1.77E-07
23,0.409267335,0.005258408,0.409267335,0.005258408,0.40375051,0.007603364,0.54,1.99E-07
24,0.418158179,0.004836686,0.418158179,0.004836686,0.410278112,0.007158079,0.55,2.20E-07
