,SCAN,FIT
400,14.42,15.03317116
401,14.31,14.95501066
402,14.13,14.87752391
403,14.08,14.80069962
404,14.04,14.72453441
405,13.98,14.64903026
406,13.99,14.57418588
407,13.95,14.49998447
408,13.85,14.42640168
409,13.8,14.35344543
410,13.69,14.28112928
411,13.65,14.20942334
412,13.63,14.13831521
413,13.6,14.06780341
414,13.59,13.99788737
415,13.64,13.92856255
416,13.48,13.85981939
417,13.43,13.7916578
418,13.28,13.72407926
419,13.23,13.65703432
420,13.17,13.59053981
421,13.1,13.52462992
422,13.04,13.4592457
423,12.97,13.39438769
424,12.93,13.33007664
425,12.87,13.26630565
426,12.82,13.20305201
427,12.75,13.1403045
428,12.66,13.07806753
429,12.62,13.01633205
430,12.58,12.95510456
431,12.53,12.89439408
432,12.49,12.8341511
433,12.47,12.77437154
434,12.34,12.71509003
435,12.3,12.65628497
436,12.22,12.59794295
437,12.16,12.54006993
438,12.14,12.48266742
439,12.11,12.42571907
440,12.07,12.36919921
441,12.04,12.31312928
442,12,12.25751873
443,11.93,12.2023404
444,11.88,12.14758917
445,11.8,12.0932664
446,11.77,12.03936333
447,11.77,11.98587958
448,11.75,11.93281662
449,11.73,11.88015723
450,11.65,11.82789979
451,11.55,11.77606253
452,11.43,11.72462034
453,11.37,11.67355009
454,11.35,11.62288551
455,11.28,11.5726274
456,11.25,11.52274004
457,11.19,11.47321778
458,11.13,11.4240684
459,11.12,11.37530141
460,11.08,11.32690979
461,11.07,11.27887278
462,11.07,11.23119607
463,11.02,11.18388813
464,10.97,11.136927
465,10.9,11.0903025
466,10.82,11.04402912
467,10.78,10.99810741
468,10.75,10.95252785
469,10.69,10.9072899
470,10.65,10.86239139
471,10.61,10.81781539
472,10.56,10.77355601
473,10.51,10.72962759
474,10.5,10.68602917
475,10.46,10.64274637
476,10.42,10.5997795
477,10.37,10.55713346
478,10.36,10.51479646
479,10.31,10.47275803
480,10.27,10.43102696
481,10.24,10.38960618
482,10.19,10.34848128
