nm,SCAN
400,4.51
401,4.66
402,4.78
403,4.86
404,5.03
405,5.09
406,5.14
407,5.23
408,5.19
409,4.99
410,4.91
411,4.74
412,4.46
413,4.34
414,4.03
415,3.79
416,3.67
417,3.56
418,3.44
419,3.42
420,3.27
421,3.17
422,3.23
423,3.25
424,3.42
425,3.59
426,3.71
427,3.89
428,3.97
429,4.11
430,4.21
431,4.36
432,4.48
433,4.59
434,4.72
435,4.78
436,4.79
437,4.85
438,4.86
439,4.9
440,4.87
441,4.85
442,4.79
443,4.63
444,4.45
445,4.29
446,4.18
447,4.01
448,3.93
449,3.84
450,3.72
451,3.69
452,3.61
453,3.55
454,3.53
455,3.49
456,3.47
457,3.49
458,3.52
459,3.57
460,3.63
461,3.71
462,3.78
463,3.83
464,3.89
465,3.99
466,4.04
467,4.13
468,4.23
469,4.31
470,4.36
471,4.4
472,4.44
473,4.44
474,4.48
475,4.49
476,4.47
477,4.48
478,4.46
479,4.46
480,4.46
481,4.43
482,4.39
483,4.34
484,4.29
485,4.23
486,4.2
487,4.13
488,4.06
489,4.02
490,3.95
491,3.9
492,3.88
493,3.83
494,3.8
495,3.8
496,3.76
497,3.74
498,3.73
499,3.69
500,3.69
501,3.67
502,3.66
503,3.67
504,3.67
505,3.68
506,3.7
507,3.72
508,3.71
509,3.72
510,3.74
511,3.75
512,3.78
513,3.79
514,3.82
515,3.86
516,3.89
517,3.94
518,3.99
519,4.02
520,4.06
521,4.1
522,4.13
523,4.16
524,4.19
525,4.22
526,4.25
527,4.28
528,4.31
529,4.34
530,4.36
531,4.39
532,4.43
533,4.43
534,4.45
535,4.46
536,4.44
537,4.43
538,4.42
539,4.41
540,4.39
541,4.36
542,4.32
543,4.27
544,4.22
545,4.17
546,4.11
547,4.04
548,3.98
549,3.9
550,3.83
551,3.77
552,3.71
553,3.65
554,3.59
555,3.53
556,3.48
557,3.43
558,3.39
559,3.35
560,3.32
561,3.3
562,3.29
563,3.28
564,3.27
565,3.27
566,3.29
567,3.3
568,3.33
569,3.37
570,3.41
571,3.47
572,3.54
573,3.61
574,3.67
575,3.74
576,3.82
577,3.9
578,3.99
579,4.09
580,4.18
581,4.27
582,4.36
583,4.44
584,4.51
585,4.58
586,4.64
587,4.7
588,4.77
589,4.82
590,4.86
591,4.89
592,4.91
593,4.93
594,4.95
595,4.95
596,4.94
597,4.94
598,4.91
599,4.88
600,4.84
601,4.78
602,4.73
603,4.65
604,4.58
605,4.49
606,4.4
607,4.31
608,4.22
609,4.15
610,4.05
611,3.95
612,3.85
613,3.75
614,3.65
615,3.55
616,3.47
617,3.37
618,3.28
619,3.21
620,3.13
621,3.06
622,3
623,2.94
624,2.91
625,2.9
626,2.88
627,2.86
628,2.84
629,2.84
630,2.85
631,2.86
632,2.89
633,2.92
634,2.96
635,3.03
636,3.09
637,3.16
638,3.25
639,3.33
640,3.41
641,3.49
642,3.58
643,3.69
644,3.79
645,3.9
646,4
647,4.13
648,4.24
649,4.33
650,4.44
651,4.54
652,4.63
653,4.71
654,4.79
655,4.88
656,4.95
657,5.04
658,5.1
659,5.17
660,5.23
661,5.26
662,5.29
663,5.33
664,5.34
665,5.35
666,5.36
667,5.37
668,5.35
669,5.32
670,5.27
671,5.24
672,5.21
673,5.18
674,5.12
675,5.05
676,4.99
677,4.9
678,4.83
679,4.76
680,4.66
681,4.57
682,4.47
683,4.37
684,4.24
685,4.14
686,4.05
687,3.94
688,3.86
689,3.76
690,3.65
691,3.55
692,3.44
693,3.35
694,3.26
695,3.19
696,3.09
697,3.01
698,2.92
699,2.86
700,2.8
