nm,SCAN
400,3.52
401,3.7
402,3.79
403,3.94
404,3.98
405,4
406,3.99
407,3.95
408,3.91
409,3.8
410,3.69
411,3.51
412,3.33
413,3.24
414,3.16
415,3.05
416,2.92
417,2.78
418,2.64
419,2.54
420,2.51
421,2.48
422,2.53
423,2.54
424,2.61
425,2.75
426,2.81
427,2.95
428,3.08
429,3.18
430,3.27
431,3.38
432,3.47
433,3.58
434,3.69
435,3.72
436,3.8
437,3.81
438,3.75
439,3.77
440,3.71
441,3.65
442,3.6
443,3.51
444,3.45
445,3.4
446,3.34
447,3.28
448,3.18
449,3.06
450,2.95
451,2.88
452,2.84
453,2.77
454,2.73
455,2.7
456,2.65
457,2.65
458,2.69
459,2.71
460,2.79
461,2.83
462,2.89
463,2.96
464,2.99
465,3.07
466,3.12
467,3.16
468,3.22
469,3.29
470,3.34
471,3.39
472,3.45
473,3.44
474,3.43
475,3.44
476,3.44
477,3.44
478,3.44
479,3.41
480,3.39
481,3.38
482,3.36
483,3.34
484,3.32
485,3.27
486,3.24
487,3.19
488,3.14
489,3.09
490,3.07
491,3.04
492,3.01
493,2.98
494,2.95
495,2.91
496,2.89
497,2.88
498,2.87
499,2.86
500,2.85
501,2.85
502,2.84
503,2.83
504,2.83
505,2.83
506,2.83
507,2.84
508,2.84
509,2.85
510,2.87
511,2.88
512,2.91
513,2.93
514,2.95
515,2.96
516,2.99
517,3.01
518,3.03
519,3.06
520,3.09
521,3.13
522,3.18
523,3.2
524,3.23
525,3.26
526,3.28
527,3.32
528,3.35
529,3.38
530,3.41
531,3.42
532,3.44
533,3.45
534,3.46
535,3.46
536,3.47
537,3.47
538,3.45
539,3.43
540,3.41
541,3.38
542,3.35
543,3.32
544,3.28
545,3.24
546,3.2
547,3.16
548,3.1
549,3.05
550,2.99
551,2.93
552,2.89
553,2.84
554,2.79
555,2.75
556,2.7
557,2.66
558,2.62
559,2.6
560,2.58
561,2.55
562,2.53
563,2.53
564,2.53
565,2.53
566,2.54
567,2.57
568,2.59
569,2.63
570,2.67
571,2.7
572,2.74
573,2.78
574,2.83
575,2.89
576,2.95
577,3.01
578,3.09
579,3.17
580,3.24
581,3.31
582,3.36
583,3.42
584,3.47
585,3.53
586,3.59
587,3.64
588,3.69
589,3.74
590,3.76
591,3.8
592,3.82
593,3.84
594,3.85
595,3.83
596,3.83
597,3.81
598,3.81
599,3.79
600,3.75
601,3.71
602,3.67
603,3.62
604,3.57
605,3.5
606,3.43
607,3.36
608,3.29
609,3.22
610,3.15
611,3.06
612,2.99
613,2.91
614,2.83
615,2.77
616,2.7
617,2.63
618,2.57
619,2.5
620,2.46
621,2.4
622,2.35
623,2.31
624,2.27
625,2.25
626,2.23
627,2.21
628,2.2
629,2.19
630,2.2
631,2.22
632,2.24
633,2.27
634,2.3
635,2.34
636,2.4
637,2.46
638,2.52
639,2.58
640,2.63
641,2.7
642,2.77
643,2.87
644,2.95
645,3.02
646,3.1
647,3.19
648,3.25
649,3.33
650,3.41
651,3.5
652,3.59
653,3.66
654,3.72
655,3.78
656,3.83
657,3.89
658,3.93
659,3.98
660,4.03
661,4.06
662,4.1
663,4.12
664,4.12
665,4.13
666,4.14
667,4.15
668,4.13
669,4.11
670,4.09
671,4.06
672,4.04
673,4
674,3.94
675,3.89
676,3.84
677,3.79
678,3.72
679,3.66
680,3.58
681,3.52
682,3.46
683,3.38
684,3.31
685,3.22
686,3.15
687,3.05
688,2.97
689,2.9
690,2.82
691,2.76
692,2.68
693,2.59
694,2.51
695,2.44
696,2.39
697,2.33
698,2.28
699,2.23
700,2.18
