PRINT DATE :2020/7/7 下午 02:03:14,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :10.9 , 438.2nm    MIN :7.35 , 488.8nm    AVERAGE :8.9",
,
,
nm,SCAN
400,8.42
401,8.55
402,8.65
403,8.86
404,9.06
405,9.25
406,9.56
407,9.8
408,10.04
409,10.24
410,10.36
411,10.41
412,10.29
413,10.15
414,9.95
415,9.78
416,9.48
417,9.14
418,8.82
419,8.56
420,8.2
421,8
422,7.88
423,7.78
424,7.85
425,7.95
426,8.06
427,8.31
428,8.58
429,8.84
430,9.21
431,9.49
432,9.81
433,10.14
434,10.43
435,10.65
436,10.82
437,10.9
438,10.87
439,10.74
440,10.57
441,10.35
442,10.1
443,9.81
444,9.5
445,9.16
446,8.9
447,8.55
448,8.23
449,7.95
450,7.69
451,7.54
452,7.43
453,7.43
454,7.47
455,7.61
456,7.78
457,7.96
458,8.24
459,8.58
460,8.96
461,9.31
462,9.64
463,9.87
464,10.13
465,10.37
466,10.58
467,10.74
468,10.82
469,10.85
470,10.82
471,10.73
472,10.58
473,10.44
474,10.23
475,9.99
476,9.72
477,9.45
478,9.13
479,8.82
480,8.52
481,8.23
482,7.98
483,7.77
484,7.59
485,7.47
486,7.39
487,7.35
488,7.36
489,7.41
490,7.52
491,7.67
492,7.86
493,8.07
494,8.29
495,8.52
496,8.76
497,9.02
498,9.27
499,9.52
500,9.75
501,9.95
502,10.13
503,10.25
504,10.38
505,10.45
506,10.5
507,10.51
508,10.48
509,10.4
510,10.3
511,10.18
512,10.03
513,9.86
514,9.67
515,9.46
516,9.25
517,9.04
518,8.83
519,8.63
520,8.43
521,8.25
522,8.08
523,7.94
524,7.81
525,7.71
526,7.64
527,7.6
528,7.58
529,7.58
530,7.63
531,7.69
532,7.78
533,7.9
534,8.02
535,8.16
536,8.31
537,8.48
538,8.65
539,8.82
540,8.98
541,9.13
542,9.28
543,9.42
544,9.55
545,9.67
546,9.77
547,9.85
548,9.91
549,9.97
550,9.99
551,10
552,9.98
553,9.96
554,9.9
555,9.82
556,9.73
557,9.63
558,9.53
559,9.42
560,9.32
561,9.19
562,9.06
563,8.93
564,8.8
565,8.68
566,8.57
567,8.43
568,8.32
569,8.23
570,8.14
571,8.06
572,8.01
573,7.97
574,7.93
575,7.91
576,7.9
577,7.91
578,7.93
579,7.96
580,8.01
581,8.06
582,8.11
583,8.18
584,8.25
585,8.34
586,8.42
587,8.5
588,8.6
589,8.7
590,8.79
591,8.87
592,8.94
593,9.01
594,9.08
595,9.16
596,9.22
597,9.28
598,9.33
599,9.34
600,9.36
601,9.37
602,9.37
603,9.38
604,9.37
605,9.35
606,9.34
607,9.3
608,9.26
609,9.22
610,9.16
611,9.11
612,9.07
613,9.01
614,8.96
615,8.89
616,8.82
617,8.74
618,8.68
619,8.63
620,8.57
621,8.53
622,8.49
623,8.44
624,8.4
625,8.33
626,8.29
627,8.25
628,8.2
629,8.2
630,8.18
631,8.17
632,8.17
633,8.18
634,8.18
635,8.19
636,8.21
637,8.23
638,8.26
639,8.3
640,8.33
641,8.35
642,8.38
643,8.42
644,8.47
645,8.51
646,8.56
647,8.61
648,8.64
649,8.67
650,8.71
651,8.76
652,8.79
653,8.83
654,8.85
655,8.89
656,8.91
657,8.92
658,8.93
659,8.92
660,8.93
661,8.93
662,8.94
663,8.94
664,8.93
665,8.92
666,8.89
667,8.87
668,8.85
669,8.82
670,8.79
671,8.77
672,8.76
673,8.72
674,8.68
675,8.63
676,8.58
677,8.56
678,8.52
679,8.5
680,8.46
681,8.42
682,8.38
683,8.36
684,8.32
685,8.29
686,8.28
687,8.23
688,8.2
689,8.17
690,8.14
691,8.11
692,8.11
693,8.09
694,8.08
695,8.09
696,8.09
697,8.09
698,8.08
699,8.09
700,8.09
