nm,SCAN
400,4.4
401,4.61
402,4.76
403,5.07
404,5.45
405,5.86
406,6.24
407,6.5
408,6.81
409,6.89
410,6.9
411,6.9
412,6.73
413,6.56
414,6.23
415,5.91
416,5.51
417,5.04
418,4.68
419,4.43
420,4.11
421,3.92
422,3.8
423,3.7
424,3.75
425,3.86
426,4.07
427,4.4
428,4.79
429,5.19
430,5.63
431,5.91
432,6.27
433,6.63
434,6.92
435,7.15
436,7.3
437,7.32
438,7.24
439,7.07
440,6.85
441,6.57
442,6.2
443,5.83
444,5.42
445,4.99
446,4.69
447,4.28
448,3.96
449,3.7
450,3.48
451,3.37
452,3.31
453,3.33
454,3.38
455,3.59
456,3.86
457,4.17
458,4.53
459,4.93
460,5.32
461,5.72
462,6.09
463,6.34
464,6.63
465,6.84
466,7
467,7.12
468,7.16
469,7.15
470,7.08
471,6.96
472,6.77
473,6.57
474,6.3
475,6.01
476,5.68
477,5.35
478,5
479,4.63
480,4.33
481,4.03
482,3.78
483,3.57
484,3.41
485,3.3
486,3.26
487,3.26
488,3.32
489,3.42
490,3.58
491,3.77
492,4
493,4.25
494,4.5
495,4.79
496,5.06
497,5.33
498,5.62
499,5.88
500,6.12
501,6.32
502,6.5
503,6.62
504,6.72
505,6.76
506,6.78
507,6.77
508,6.71
509,6.59
510,6.46
511,6.29
512,6.09
513,5.88
514,5.65
515,5.42
516,5.18
517,4.95
518,4.72
519,4.49
520,4.28
521,4.09
522,3.93
523,3.79
524,3.68
525,3.59
526,3.53
527,3.5
528,3.51
529,3.54
530,3.62
531,3.72
532,3.84
533,3.98
534,4.13
535,4.3
536,4.48
537,4.67
538,4.86
539,5.04
540,5.22
541,5.4
542,5.56
543,5.71
544,5.84
545,5.96
546,6.06
547,6.12
548,6.17
549,6.19
550,6.18
551,6.17
552,6.14
553,6.09
554,6.03
555,5.94
556,5.83
557,5.71
558,5.59
559,5.45
560,5.32
561,5.18
562,5.04
563,4.91
564,4.77
565,4.64
566,4.51
567,4.38
568,4.28
569,4.19
570,4.1
571,4.02
572,3.97
573,3.93
574,3.9
575,3.9
576,3.91
577,3.94
578,3.97
579,4.02
580,4.09
581,4.14
582,4.22
583,4.3
584,4.38
585,4.49
586,4.59
587,4.7
588,4.79
589,4.9
590,4.99
591,5.07
592,5.15
593,5.23
594,5.31
595,5.38
596,5.44
597,5.49
598,5.53
599,5.55
600,5.56
601,5.57
602,5.56
603,5.56
604,5.53
605,5.5
606,5.47
607,5.43
608,5.39
609,5.35
610,5.29
611,5.21
612,5.16
613,5.08
614,5
615,4.94
616,4.87
617,4.8
618,4.74
619,4.66
620,4.6
621,4.55
622,4.5
623,4.46
624,4.42
625,4.37
626,4.34
627,4.31
628,4.29
629,4.28
630,4.28
631,4.27
632,4.28
633,4.28
634,4.31
635,4.33
636,4.35
637,4.38
638,4.42
639,4.46
640,4.49
641,4.53
642,4.56
643,4.62
644,4.66
645,4.71
646,4.76
647,4.81
648,4.85
649,4.89
650,4.93
651,4.98
652,5.02
653,5.07
654,5.1
655,5.13
656,5.15
657,5.16
658,5.16
659,5.17
660,5.18
661,5.17
662,5.17
663,5.16
664,5.15
665,5.15
666,5.12
667,5.09
668,5.07
669,5.05
670,5.02
671,4.99
672,4.95
673,4.91
674,4.87
675,4.82
676,4.78
677,4.73
678,4.69
679,4.66
680,4.63
681,4.6
682,4.57
683,4.54
684,4.49
685,4.46
686,4.43
687,4.4
688,4.39
689,4.38
690,4.36
691,4.33
692,4.32
693,4.3
694,4.31
695,4.31
696,4.31
697,4.32
698,4.32
699,4.34
700,4.35
