PRINT DATE :2020/7/7 下午 01:56:39,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :91.82 , 528.3nm    MIN :86.41 , 409.9nm    AVERAGE :90.1",
,
,
nm,SCAN
400,87.78
401,87.87
402,87.79
403,87.81
404,87.68
405,87.35
406,87
407,86.68
408,86.49
409,86.42
410,86.44
411,86.54
412,86.84
413,87
414,87.1
415,87.39
416,87.71
417,87.97
418,88.37
419,88.75
420,89.03
421,89.22
422,89.43
423,89.62
424,89.79
425,89.93
426,89.79
427,89.59
428,89.39
429,89.1
430,88.96
431,88.66
432,88.24
433,87.92
434,87.57
435,87.32
436,87.35
437,87.33
438,87.29
439,87.35
440,87.38
441,87.55
442,87.74
443,88.01
444,88.42
445,88.76
446,89
447,89.35
448,89.76
449,90.18
450,90.55
451,90.74
452,90.92
453,90.86
454,90.84
455,90.73
456,90.56
457,90.35
458,90.13
459,89.98
460,89.69
461,89.42
462,89.16
463,88.89
464,88.65
465,88.41
466,88.21
467,88.03
468,87.87
469,87.88
470,87.86
471,87.84
472,87.98
473,88.05
474,88.26
475,88.52
476,88.82
477,89.16
478,89.44
479,89.76
480,90.04
481,90.33
482,90.59
483,90.83
484,91.07
485,91.26
486,91.36
487,91.48
488,91.48
489,91.49
490,91.41
491,91.25
492,91.13
493,91
494,90.81
495,90.65
496,90.41
497,90.15
498,89.92
499,89.72
500,89.49
501,89.31
502,89.12
503,88.94
504,88.82
505,88.77
506,88.72
507,88.73
508,88.77
509,88.8
510,88.87
511,88.99
512,89.09
513,89.29
514,89.54
515,89.78
516,90.01
517,90.24
518,90.44
519,90.63
520,90.83
521,91
522,91.18
523,91.33
524,91.49
525,91.64
526,91.7
527,91.79
528,91.79
529,91.75
530,91.75
531,91.72
532,91.69
533,91.7
534,91.58
535,91.44
536,91.33
537,91.16
538,91.05
539,90.92
540,90.77
541,90.63
542,90.48
543,90.36
544,90.24
545,90.15
546,90.03
547,89.96
548,89.87
549,89.78
550,89.78
551,89.74
552,89.75
553,89.79
554,89.81
555,89.85
556,89.96
557,90.05
558,90.13
559,90.25
560,90.36
561,90.46
562,90.58
563,90.69
564,90.8
565,90.94
566,91.06
567,91.2
568,91.31
569,91.41
570,91.49
571,91.55
572,91.58
573,91.62
574,91.64
575,91.73
576,91.76
577,91.75
578,91.76
579,91.7
580,91.68
581,91.65
582,91.6
583,91.56
584,91.49
585,91.45
586,91.38
587,91.26
588,91.18
589,91.06
590,90.95
591,90.88
592,90.77
593,90.7
594,90.64
595,90.55
596,90.5
597,90.43
598,90.39
599,90.39
600,90.38
601,90.33
602,90.32
603,90.27
604,90.26
605,90.29
606,90.29
607,90.36
608,90.38
609,90.41
610,90.45
611,90.47
612,90.51
613,90.54
614,90.65
615,90.73
616,90.81
617,90.92
618,90.95
619,90.97
620,91.05
621,91.13
622,91.13
623,91.22
624,91.21
625,91.24
626,91.29
627,91.29
628,91.33
629,91.3
630,91.31
631,91.3
632,91.35
633,91.38
634,91.38
635,91.37
636,91.32
637,91.29
638,91.22
639,91.18
640,91.1
641,91.06
642,91
643,90.96
644,90.9
645,90.8
646,90.78
647,90.71
648,90.7
649,90.68
650,90.63
651,90.59
652,90.54
653,90.5
654,90.44
655,90.35
656,90.32
657,90.31
658,90.26
659,90.25
660,90.23
661,90.16
662,90.18
663,90.17
664,90.15
665,90.15
666,90.16
667,90.14
668,90.16
669,90.16
670,90.18
671,90.2
672,90.2
673,90.22
674,90.19
675,90.21
676,90.25
677,90.26
678,90.29
679,90.31
680,90.32
681,90.38
682,90.42
683,90.43
684,90.51
685,90.52
686,90.5
687,90.52
688,90.49
689,90.48
690,90.52
691,90.48
692,90.51
693,90.51
694,90.46
695,90.5
696,90.48
697,90.44
698,90.47
699,90.45
700,90.45
