PRINT DATE :2020/4/9 下午 05:40:28,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :9.34 , 747.2nm    MIN :6.35 , 700.9nm    AVERAGE :8",
,
,
nm,SCAN
400,9.03
401,9.12
402,9.06
403,8.82
404,8.75
405,8.63
406,8.47
407,8.36
408,8.14
409,7.9
410,7.68
411,7.52
412,7.44
413,7.38
414,7.39
415,7.35
416,7.33
417,7.36
418,7.33
419,7.42
420,7.56
421,7.69
422,7.82
423,7.98
424,8.14
425,8.28
426,8.5
427,8.63
428,8.74
429,8.82
430,8.84
431,8.87
432,8.86
433,8.85
434,8.83
435,8.77
436,8.74
437,8.57
438,8.46
439,8.32
440,8.19
441,8.1
442,7.99
443,7.89
444,7.84
445,7.77
446,7.71
447,7.66
448,7.59
449,7.53
450,7.52
451,7.5
452,7.52
453,7.54
454,7.59
455,7.61
456,7.68
457,7.79
458,7.84
459,7.97
460,8.06
461,8.12
462,8.19
463,8.22
464,8.26
465,8.32
466,8.38
467,8.43
468,8.44
469,8.45
470,8.43
471,8.43
472,8.44
473,8.42
474,8.37
475,8.36
476,8.32
477,8.26
478,8.23
479,8.18
480,8.13
481,8.1
482,8.05
483,8.01
484,7.96
485,7.92
486,7.89
487,7.86
488,7.83
489,7.79
490,7.78
491,7.75
492,7.74
493,7.73
494,7.71
495,7.69
496,7.68
497,7.67
498,7.67
499,7.67
500,7.67
501,7.68
502,7.7
503,7.69
504,7.7
505,7.71
506,7.72
507,7.76
508,7.79
509,7.81
510,7.84
511,7.87
512,7.9
513,7.95
514,7.99
515,8.02
516,8.07
517,8.11
518,8.16
519,8.2
520,8.24
521,8.28
522,8.31
523,8.34
524,8.38
525,8.41
526,8.43
527,8.46
528,8.46
529,8.47
530,8.47
531,8.47
532,8.46
533,8.43
534,8.41
535,8.37
536,8.34
537,8.29
538,8.25
539,8.19
540,8.14
541,8.08
542,8.01
543,7.94
544,7.87
545,7.8
546,7.73
547,7.67
548,7.59
549,7.51
550,7.45
551,7.39
552,7.36
553,7.32
554,7.3
555,7.27
556,7.26
557,7.24
558,7.23
559,7.24
560,7.26
561,7.28
562,7.32
563,7.37
564,7.43
565,7.5
566,7.58
567,7.67
568,7.73
569,7.8
570,7.88
571,7.95
572,8.04
573,8.13
574,8.21
575,8.32
576,8.41
577,8.49
578,8.58
579,8.66
580,8.72
581,8.77
582,8.82
583,8.85
584,8.89
585,8.92
586,8.96
587,8.96
588,8.96
589,8.95
590,8.92
591,8.9
592,8.88
593,8.84
594,8.79
595,8.72
596,8.65
597,8.55
598,8.48
599,8.39
600,8.29
601,8.2
602,8.1
603,7.99
604,7.9
605,7.78
606,7.68
607,7.59
608,7.5
609,7.4
610,7.3
611,7.19
612,7.1
613,7.04
614,6.98
615,6.93
616,6.88
617,6.82
618,6.79
619,6.77
620,6.76
621,6.77
622,6.77
623,6.78
624,6.8
625,6.84
626,6.87
627,6.91
628,6.99
629,7.05
630,7.14
631,7.22
632,7.3
633,7.4
634,7.49
635,7.59
636,7.69
637,7.8
638,7.92
639,8.02
640,8.12
641,8.22
642,8.33
643,8.46
644,8.56
645,8.66
646,8.74
647,8.83
648,8.9
649,8.96
650,9.03
651,9.12
652,9.17
653,9.22
654,9.25
655,9.28
656,9.29
657,9.3
658,9.3
659,9.28
660,9.27
661,9.26
662,9.23
663,9.19
664,9.14
665,9.07
666,9.01
667,8.93
668,8.86
669,8.79
670,8.7
671,8.61
672,8.52
673,8.42
674,8.3
675,8.21
676,8.12
677,8
678,7.89
679,7.79
680,7.65
681,7.55
682,7.45
683,7.35
684,7.25
685,7.16
686,7.08
687,6.98
688,6.89
689,6.81
690,6.72
691,6.65
692,6.59
693,6.54
694,6.49
695,6.46
696,6.42
697,6.39
698,6.39
699,6.36
700,6.36
