nm,SCAN
400,7.21
401,7.37
402,7.5
403,7.65
404,7.72
405,7.84
406,7.74
407,7.7
408,7.58
409,7.44
410,7.3
411,7.09
412,6.99
413,6.81
414,6.65
415,6.52
416,6.41
417,6.38
418,6.29
419,6.24
420,6.18
421,6.12
422,6.11
423,6.11
424,6.29
425,6.36
426,6.55
427,6.73
428,6.88
429,6.96
430,7.1
431,7.21
432,7.26
433,7.38
434,7.44
435,7.52
436,7.59
437,7.58
438,7.56
439,7.52
440,7.48
441,7.42
442,7.31
443,7.22
444,7.13
445,7.06
446,6.97
447,6.89
448,6.79
449,6.67
450,6.6
451,6.53
452,6.45
453,6.41
454,6.37
455,6.36
456,6.33
457,6.36
458,6.39
459,6.44
460,6.51
461,6.56
462,6.61
463,6.64
464,6.71
465,6.81
466,6.89
467,6.93
468,6.99
469,7.05
470,7.08
471,7.14
472,7.17
473,7.16
474,7.18
475,7.22
476,7.24
477,7.23
478,7.23
479,7.19
480,7.17
481,7.15
482,7.11
483,7.07
484,7.03
485,6.99
486,6.98
487,6.94
488,6.89
489,6.86
490,6.82
491,6.78
492,6.75
493,6.71
494,6.68
495,6.65
496,6.63
497,6.61
498,6.6
499,6.58
500,6.56
501,6.55
502,6.54
503,6.54
504,6.55
505,6.56
506,6.56
507,6.58
508,6.57
509,6.57
510,6.59
511,6.6
512,6.64
513,6.66
514,6.69
515,6.72
516,6.75
517,6.77
518,6.79
519,6.83
520,6.86
521,6.91
522,6.96
523,7
524,7.03
525,7.06
526,7.09
527,7.13
528,7.16
529,7.18
530,7.2
531,7.22
532,7.24
533,7.24
534,7.25
535,7.25
536,7.26
537,7.26
538,7.25
539,7.23
540,7.21
541,7.19
542,7.16
543,7.13
544,7.08
545,7.03
546,6.97
547,6.91
548,6.86
549,6.8
550,6.75
551,6.68
552,6.62
553,6.56
554,6.5
555,6.45
556,6.42
557,6.36
558,6.33
559,6.3
560,6.27
561,6.26
562,6.25
563,6.24
564,6.23
565,6.23
566,6.23
567,6.26
568,6.28
569,6.31
570,6.36
571,6.39
572,6.45
573,6.52
574,6.58
575,6.65
576,6.7
577,6.77
578,6.85
579,6.94
580,7.02
581,7.09
582,7.16
583,7.22
584,7.28
585,7.34
586,7.4
587,7.46
588,7.52
589,7.57
590,7.61
591,7.64
592,7.65
593,7.66
594,7.65
595,7.66
596,7.66
597,7.65
598,7.64
599,7.6
600,7.56
601,7.51
602,7.47
603,7.41
604,7.34
605,7.26
606,7.19
607,7.12
608,7.05
609,6.95
610,6.88
611,6.77
612,6.69
613,6.61
614,6.52
615,6.45
616,6.38
617,6.29
618,6.22
619,6.16
620,6.1
621,6.04
622,6
623,5.95
624,5.91
625,5.89
626,5.86
627,5.84
628,5.83
629,5.82
630,5.84
631,5.85
632,5.88
633,5.91
634,5.94
635,5.98
636,6.03
637,6.09
638,6.16
639,6.23
640,6.3
641,6.37
642,6.45
643,6.55
644,6.64
645,6.73
646,6.81
647,6.92
648,7
649,7.08
650,7.16
651,7.25
652,7.33
653,7.42
654,7.48
655,7.55
656,7.6
657,7.65
658,7.71
659,7.77
660,7.82
661,7.85
662,7.88
663,7.9
664,7.9
665,7.91
666,7.91
667,7.9
668,7.89
669,7.86
670,7.83
671,7.79
672,7.76
673,7.71
674,7.65
675,7.6
676,7.54
677,7.49
678,7.41
679,7.33
680,7.23
681,7.16
682,7.08
683,7
684,6.91
685,6.83
686,6.75
687,6.64
688,6.53
689,6.44
690,6.33
691,6.24
692,6.17
693,6.08
694,6.01
695,5.94
696,5.86
697,5.8
698,5.74
699,5.68
700,5.63
