PRINT DATE :2020/4/9 下午 05:27:41,
,
SAMPLE :,
RANGE :400nm ～ 780nm,
T50% WL=,
RANGE :400nm ～ 780nm,
"MAX :92.46 , 627.6nm    MIN :87.75 , 402nm    AVERAGE :90.6",
,
,
nm,SCAN
400,87.94
401,87.78
402,87.92
403,88.04
404,88.13
405,88.3
406,88.31
407,88.3
408,88.31
409,88.44
410,88.64
411,88.71
412,88.97
413,89.25
414,89.41
415,89.77
416,89.95
417,90.09
418,90.34
419,90.33
420,90.4
421,90.39
422,90.37
423,90.32
424,90.41
425,90.33
426,90.21
427,90.14
428,90.06
429,89.95
430,89.83
431,89.69
432,89.46
433,89.37
434,89.26
435,89.28
436,89.25
437,89.21
438,89.21
439,89.21
440,89.28
441,89.41
442,89.52
443,89.68
444,89.7
445,89.84
446,90
447,90.09
448,90.29
449,90.5
450,90.69
451,90.78
452,90.88
453,90.89
454,90.89
455,90.89
456,90.91
457,90.87
458,90.9
459,90.88
460,90.81
461,90.77
462,90.7
463,90.69
464,90.65
465,90.7
466,90.56
467,90.49
468,90.4
469,90.27
470,90.26
471,90.23
472,90.18
473,90.19
474,90.17
475,90.12
476,90.07
477,90.06
478,90.12
479,90.2
480,90.34
481,90.38
482,90.46
483,90.53
484,90.54
485,90.61
486,90.62
487,90.64
488,90.7
489,90.76
490,90.83
491,90.85
492,90.91
493,90.96
494,91.02
495,91.07
496,91.1
497,91.12
498,91.15
499,91.2
500,91.27
501,91.29
502,91.32
503,91.36
504,91.32
505,91.33
506,91.32
507,91.32
508,91.35
509,91.38
510,91.38
511,91.4
512,91.36
513,91.33
514,91.3
515,91.3
516,91.32
517,91.29
518,91.27
519,91.26
520,91.25
521,91.17
522,91.19
523,91.15
524,91.1
525,91.08
526,91.06
527,91.02
528,90.98
529,91.01
530,90.97
531,90.99
532,91
533,90.97
534,90.97
535,90.94
536,90.91
537,90.91
538,90.95
539,91.02
540,91.05
541,91.09
542,91.15
543,91.17
544,91.22
545,91.27
546,91.26
547,91.32
548,91.39
549,91.45
550,91.53
551,91.6
552,91.65
553,91.77
554,91.85
555,91.9
556,91.9
557,91.91
558,91.93
559,91.96
560,92.06
561,92.12
562,92.13
563,92.16
564,92.18
565,92.17
566,92.2
567,92.18
568,92.14
569,92.08
570,91.99
571,91.92
572,91.87
573,91.86
574,91.8
575,91.75
576,91.73
577,91.62
578,91.55
579,91.48
580,91.35
581,91.27
582,91.2
583,91.11
584,91.04
585,90.98
586,90.9
587,90.85
588,90.79
589,90.73
590,90.68
591,90.63
592,90.58
593,90.58
594,90.56
595,90.51
596,90.54
597,90.53
598,90.52
599,90.54
600,90.57
601,90.62
602,90.71
603,90.77
604,90.8
605,90.89
606,90.89
607,90.95
608,91.04
609,91.1
610,91.21
611,91.34
612,91.4
613,91.48
614,91.6
615,91.66
616,91.78
617,91.88
618,91.97
619,92.07
620,92.12
621,92.21
622,92.24
623,92.29
624,92.38
625,92.4
626,92.43
627,92.44
628,92.43
629,92.44
630,92.43
631,92.4
632,92.43
633,92.38
634,92.35
635,92.31
636,92.23
637,92.14
638,92.05
639,91.98
640,91.88
641,91.79
642,91.68
643,91.6
644,91.5
645,91.41
646,91.3
647,91.16
648,91.09
649,90.98
650,90.86
651,90.75
652,90.61
653,90.49
654,90.39
655,90.27
656,90.2
657,90.16
658,90.08
659,90
660,89.97
661,89.9
662,89.85
663,89.78
664,89.72
665,89.68
666,89.66
667,89.65
668,89.66
669,89.65
670,89.7
671,89.73
672,89.75
673,89.79
674,89.81
675,89.83
676,89.86
677,89.94
678,89.98
679,90.04
680,90.11
681,90.16
682,90.23
683,90.29
684,90.41
685,90.46
686,90.6
687,90.72
688,90.81
689,90.94
690,90.95
691,91.02
692,91.08
693,91.18
694,91.32
695,91.41
696,91.49
697,91.55
698,91.61
699,91.67
700,91.72
