nm,SCAN
400,4.95
401,4.93
402,4.87
403,4.82
404,4.71
405,4.59
406,4.42
407,4.37
408,4.3
409,4.29
410,4.24
411,4.2
412,4.16
413,4.15
414,4.12
415,4.18
416,4.27
417,4.28
418,4.31
419,4.36
420,4.42
421,4.54
422,4.67
423,4.74
424,4.77
425,4.8
426,4.83
427,4.85
428,4.93
429,4.97
430,4.97
431,4.95
432,4.9
433,4.86
434,4.81
435,4.78
436,4.81
437,4.76
438,4.7
439,4.62
440,4.58
441,4.5
442,4.45
443,4.41
444,4.38
445,4.36
446,4.36
447,4.36
448,4.36
449,4.35
450,4.38
451,4.35
452,4.34
453,4.36
454,4.36
455,4.39
456,4.4
457,4.45
458,4.46
459,4.47
460,4.49
461,4.48
462,4.45
463,4.42
464,4.42
465,4.39
466,4.43
467,4.45
468,4.49
469,4.49
470,4.51
471,4.5
472,4.49
473,4.49
474,4.5
475,4.5
476,4.52
477,4.54
478,4.56
479,4.61
480,4.61
481,4.63
482,4.66
483,4.68
484,4.7
485,4.71
486,4.71
487,4.71
488,4.7
489,4.72
490,4.73
491,4.73
492,4.73
493,4.69
494,4.67
495,4.64
496,4.61
497,4.57
498,4.53
499,4.47
500,4.42
501,4.37
502,4.31
503,4.25
504,4.2
505,4.17
506,4.12
507,4.07
508,4.03
509,3.99
510,3.95
511,3.91
512,3.88
513,3.85
514,3.85
515,3.87
516,3.89
517,3.92
518,3.95
519,3.98
520,4.03
521,4.09
522,4.17
523,4.23
524,4.3
525,4.36
526,4.44
527,4.51
528,4.59
529,4.68
530,4.76
531,4.84
532,4.92
533,4.98
534,5.04
535,5.11
536,5.16
537,5.21
538,5.25
539,5.28
540,5.29
541,5.3
542,5.3
543,5.3
544,5.27
545,5.24
546,5.2
547,5.16
548,5.11
549,5.02
550,4.95
551,4.86
552,4.77
553,4.68
554,4.58
555,4.48
556,4.38
557,4.27
558,4.18
559,4.07
560,3.98
561,3.89
562,3.8
563,3.71
564,3.64
565,3.57
566,3.51
567,3.45
568,3.4
569,3.38
570,3.36
571,3.35
572,3.34
573,3.35
574,3.37
575,3.42
576,3.46
577,3.52
578,3.57
579,3.64
580,3.74
581,3.83
582,3.92
583,4.01
584,4.1
585,4.21
586,4.32
587,4.44
588,4.55
589,4.68
590,4.79
591,4.89
592,5
593,5.1
594,5.2
595,5.29
596,5.37
597,5.46
598,5.54
599,5.6
600,5.65
601,5.7
602,5.73
603,5.77
604,5.8
605,5.81
606,5.81
607,5.78
608,5.75
609,5.73
610,5.7
611,5.65
612,5.6
613,5.54
614,5.48
615,5.4
616,5.31
617,5.2
618,5.1
619,5
620,4.89
621,4.8
622,4.68
623,4.54
624,4.43
625,4.32
626,4.2
627,4.1
628,3.98
629,3.88
630,3.78
631,3.68
632,3.57
633,3.46
634,3.38
635,3.31
636,3.24
637,3.18
638,3.1
639,3.05
640,3
641,2.98
642,2.96
643,2.96
644,2.96
645,2.97
646,2.98
647,3.01
648,3.02
649,3.06
650,3.12
651,3.18
652,3.25
653,3.32
654,3.39
655,3.49
656,3.58
657,3.67
658,3.76
659,3.88
660,3.98
661,4.08
662,4.19
663,4.31
664,4.42
665,4.53
666,4.65
667,4.78
668,4.88
669,4.98
670,5.09
671,5.18
672,5.27
673,5.36
674,5.46
675,5.53
676,5.61
677,5.68
678,5.73
679,5.78
680,5.83
681,5.87
682,5.92
683,5.95
684,6
685,6.01
686,6.02
687,6.01
688,6
689,6.01
690,5.99
691,5.98
692,5.95
693,5.9
694,5.86
695,5.81
696,5.74
697,5.68
698,5.62
699,5.55
700,5.49
