nm,SCAN
400,8.95
401,8.41
402,8.38
403,8.64
404,9.18
405,10.05
406,11.17
407,12.09
408,13.32
409,14.52
410,15.6
411,16.42
412,17.04
413,17.28
414,17.37
415,17.21
416,16.73
417,16.04
418,15.15
419,14.26
420,13.13
421,11.92
422,10.79
423,9.7
424,8.86
425,8.28
426,7.81
427,7.69
428,7.81
429,8.26
430,8.9
431,9.52
432,10.45
433,11.47
434,12.59
435,13.63
436,14.6
437,15.4
438,15.94
439,16.42
440,16.65
441,16.75
442,16.59
443,16.23
444,15.67
445,14.9
446,14.25
447,13.31
448,12.36
449,11.37
450,10.38
451,9.46
452,8.66
453,8
454,7.62
455,7.28
456,7.15
457,7.2
458,7.47
459,7.93
460,8.57
461,9.31
462,10.15
463,10.82
464,11.67
465,12.54
466,13.37
467,14.09
468,14.74
469,15.23
470,15.6
471,15.79
472,15.85
473,15.78
474,15.58
475,15.23
476,14.76
477,14.19
478,13.53
479,12.8
480,12.01
481,11.21
482,10.39
483,9.6
484,8.86
485,8.19
486,7.74
487,7.25
488,6.9
489,6.67
490,6.57
491,6.61
492,6.81
493,7.13
494,7.56
495,8.09
496,8.7
497,9.36
498,10.05
499,10.76
500,11.45
501,12.11
502,12.73
503,13.29
504,13.78
505,14.13
506,14.47
507,14.72
508,14.88
509,14.92
510,14.87
511,14.72
512,14.49
513,14.16
514,13.75
515,13.28
516,12.75
517,12.16
518,11.54
519,10.89
520,10.23
521,9.6
522,8.98
523,8.41
524,7.86
525,7.4
526,7
527,6.68
528,6.46
529,6.31
530,6.27
531,6.3
532,6.42
533,6.62
534,6.91
535,7.26
536,7.68
537,8.14
538,8.63
539,9.15
540,9.68
541,10.21
542,10.74
543,11.26
544,11.76
545,12.21
546,12.63
547,13
548,13.31
549,13.62
550,13.79
551,13.89
552,13.95
553,13.94
554,13.88
555,13.76
556,13.58
557,13.35
558,13.06
559,12.7
560,12.33
561,11.9
562,11.46
563,11
564,10.51
565,10.04
566,9.55
567,8.98
568,8.53
569,8.09
570,7.68
571,7.3
572,6.97
573,6.68
574,6.45
575,6.26
576,6.12
577,6.05
578,6.02
579,6.05
580,6.13
581,6.26
582,6.44
583,6.67
584,6.94
585,7.24
586,7.57
587,7.91
588,8.27
589,8.72
590,9.1
591,9.49
592,9.87
593,10.24
594,10.6
595,10.92
596,11.22
597,11.56
598,11.81
599,12.05
600,12.26
601,12.42
602,12.54
603,12.63
604,12.68
605,12.69
606,12.68
607,12.61
608,12.52
609,12.39
610,12.23
611,12.01
612,11.78
613,11.54
614,11.29
615,11.02
616,10.72
617,10.35
618,10.02
619,9.69
620,9.37
621,9.03
622,8.72
623,8.33
624,8.02
625,7.71
626,7.42
627,7.15
628,6.85
629,6.64
630,6.44
631,6.28
632,6.15
633,6.03
634,5.95
635,5.9
636,5.88
637,5.9
638,5.95
639,6.02
640,6.11
641,6.21
642,6.36
643,6.55
644,6.74
645,6.95
646,7.15
647,7.43
648,7.66
649,7.9
650,8.14
651,8.43
652,8.67
653,8.91
654,9.16
655,9.43
656,9.66
657,9.88
658,10.06
659,10.28
660,10.44
661,10.59
662,10.74
663,10.89
664,11
665,11.08
666,11.14
667,11.19
668,11.21
669,11.22
670,11.21
671,11.18
672,11.13
673,11.07
674,10.96
675,10.86
676,10.75
677,10.6
678,10.47
679,10.32
680,10.11
681,9.93
682,9.75
683,9.58
684,9.35
685,9.15
686,8.94
687,8.68
688,8.47
689,8.27
690,8.03
691,7.82
692,7.63
693,7.41
694,7.23
695,7.06
696,6.88
697,6.72
698,6.55
699,6.42
700,6.3
