nm,SCAN
400,5.08
401,5.03
402,5
403,4.9
404,4.99
405,5.11
406,5.2
407,5.31
408,5.51
409,5.69
410,5.83
411,6.01
412,6.09
413,6.17
414,6.22
415,6.23
416,6.23
417,6.11
418,5.95
419,5.81
420,5.56
421,5.38
422,5.19
423,5.06
424,4.93
425,4.86
426,4.78
427,4.76
428,4.73
429,4.77
430,4.88
431,4.96
432,5.11
433,5.3
434,5.49
435,5.68
436,5.89
437,6.1
438,6.19
439,6.32
440,6.42
441,6.49
442,6.48
443,6.44
444,6.34
445,6.15
446,6.01
447,5.78
448,5.56
449,5.36
450,5.13
451,4.97
452,4.79
453,4.63
454,4.56
455,4.49
456,4.49
457,4.51
458,4.57
459,4.66
460,4.74
461,4.84
462,4.98
463,5.12
464,5.31
465,5.55
466,5.76
467,5.93
468,6.09
469,6.2
470,6.26
471,6.35
472,6.4
473,6.41
474,6.4
475,6.37
476,6.28
477,6.19
478,6.08
479,5.92
480,5.76
481,5.6
482,5.42
483,5.26
484,5.11
485,4.94
486,4.82
487,4.68
488,4.57
489,4.49
490,4.45
491,4.44
492,4.45
493,4.48
494,4.56
495,4.63
496,4.72
497,4.83
498,4.97
499,5.11
500,5.25
501,5.39
502,5.52
503,5.65
504,5.78
505,5.87
506,5.97
507,6.06
508,6.11
509,6.15
510,6.2
511,6.19
512,6.19
513,6.16
514,6.12
515,6.07
516,5.99
517,5.92
518,5.8
519,5.68
520,5.57
521,5.44
522,5.32
523,5.22
524,5.1
525,5
526,4.9
527,4.81
528,4.74
529,4.67
530,4.64
531,4.6
532,4.58
533,4.58
534,4.59
535,4.62
536,4.66
537,4.71
538,4.78
539,4.86
540,4.94
541,5.03
542,5.12
543,5.2
544,5.29
545,5.39
546,5.47
547,5.56
548,5.63
549,5.71
550,5.76
551,5.82
552,5.87
553,5.9
554,5.93
555,5.93
556,5.92
557,5.91
558,5.88
559,5.86
560,5.83
561,5.79
562,5.75
563,5.69
564,5.62
565,5.57
566,5.51
567,5.4
568,5.34
569,5.26
570,5.19
571,5.14
572,5.08
573,5.03
574,4.97
575,4.93
576,4.89
577,4.86
578,4.84
579,4.8
580,4.78
581,4.77
582,4.77
583,4.78
584,4.8
585,4.83
586,4.85
587,4.87
588,4.9
589,4.94
590,4.98
591,5.03
592,5.07
593,5.1
594,5.14
595,5.18
596,5.22
597,5.28
598,5.33
599,5.37
600,5.39
601,5.42
602,5.44
603,5.45
604,5.48
605,5.5
606,5.51
607,5.52
608,5.52
609,5.53
610,5.53
611,5.53
612,5.51
613,5.49
614,5.48
615,5.47
616,5.46
617,5.44
618,5.41
619,5.38
620,5.35
621,5.32
622,5.28
623,5.25
624,5.22
625,5.19
626,5.17
627,5.15
628,5.13
629,5.12
630,5.09
631,5.07
632,5.04
633,5.01
634,5.01
635,4.99
636,4.99
637,4.98
638,4.98
639,4.97
640,4.98
641,4.97
642,4.97
643,4.98
644,4.98
645,4.99
646,5
647,5.02
648,5.03
649,5.03
650,5.03
651,5.05
652,5.07
653,5.09
654,5.11
655,5.12
656,5.12
657,5.13
658,5.14
659,5.16
660,5.18
661,5.19
662,5.2
663,5.21
664,5.21
665,5.2
666,5.2
667,5.2
668,5.2
669,5.21
670,5.2
671,5.2
672,5.19
673,5.18
674,5.17
675,5.16
676,5.15
677,5.14
678,5.13
679,5.12
680,5.12
681,5.11
682,5.11
683,5.1
684,5.09
685,5.09
686,5.07
687,5.07
688,5.05
689,5.04
690,5.03
691,5.02
692,5.01
693,5.01
694,5.01
695,5
696,5
697,5
698,4.99
699,5
700,4.98
701,4.99
702,4.99
703,4.99
704,5
705,5
706,5
707,4.99
708,4.99
709,5.01
710,5.01
711,5.02
712,5.03
713,5.03
714,5.03
715,5.02
716,5.04
717,5.04
718,5.05
719,5.06
720,5.06
721,5.08
722,5.08
723,5.08
724,5.09
725,5.08
726,5.09
727,5.09
728,5.09
729,5.09
730,5.09
731,5.08
732,5.09
733,5.08
734,5.09
735,5.07
736,5.05
737,5.06
738,5.05
739,5.05
740,5.06
741,5.06
742,5.05
743,5.04
744,5.05
745,5.03
746,5.03
747,5.03
748,5.02
749,5
750,5.01
751,5
752,4.99
753,4.97
754,4.96
755,4.96
756,4.96
757,4.97
758,4.98
759,4.97
760,4.96
761,4.95
762,4.94
763,4.94
764,4.94
765,4.93
766,4.94
767,4.94
768,4.93
769,4.92
770,4.93
771,4.93
772,4.95
773,4.94
774,4.93
775,4.92
776,4.92
777,4.92
778,4.93
779,4.93
780,4.95
