PRINT DATE :2020/8/9 下午 07:34:33,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :90.03 , 405.3nm    MIN :87.45 , 700.3nm    AVERAGE :88.3",
,
,
nm,SCAN
400,89.83
401,89.78
402,89.86
403,89.97
404,90.03
405,89.91
406,89.77
407,89.79
408,89.72
409,89.63
410,89.66
411,89.5
412,89.6
413,89.51
414,89.62
415,89.74
416,89.82
417,89.84
418,89.91
419,89.91
420,89.86
421,89.74
422,89.72
423,89.71
424,89.6
425,89.62
426,89.64
427,89.57
428,89.61
429,89.66
430,89.55
431,89.43
432,89.43
433,89.45
434,89.41
435,89.39
436,89.35
437,89.29
438,89.28
439,89.29
440,89.22
441,89.18
442,89.21
443,89.19
444,89.24
445,89.29
446,89.2
447,89.19
448,89.14
449,89.05
450,89.11
451,89.04
452,89.11
453,89.07
454,89.1
455,89.15
456,89.02
457,89.08
458,89.03
459,88.95
460,88.97
461,88.9
462,88.94
463,88.94
464,88.85
465,88.88
466,88.83
467,88.82
468,88.79
469,88.73
470,88.72
471,88.65
472,88.62
473,88.68
474,88.66
475,88.69
476,88.7
477,88.61
478,88.53
479,88.54
480,88.52
481,88.53
482,88.57
483,88.56
484,88.55
485,88.53
486,88.51
487,88.46
488,88.48
489,88.47
490,88.47
491,88.43
492,88.37
493,88.35
494,88.31
495,88.33
496,88.34
497,88.38
498,88.36
499,88.3
500,88.28
501,88.22
502,88.17
503,88.22
504,88.19
505,88.21
506,88.18
507,88.24
508,88.26
509,88.24
510,88.25
511,88.21
512,88.17
513,88.23
514,88.24
515,88.25
516,88.29
517,88.26
518,88.25
519,88.25
520,88.25
521,88.24
522,88.29
523,88.3
524,88.33
525,88.32
526,88.25
527,88.2
528,88.18
529,88.18
530,88.15
531,88.19
532,88.21
533,88.17
534,88.17
535,88.16
536,88.14
537,88.13
538,88.16
539,88.19
540,88.17
541,88.2
542,88.16
543,88.08
544,88.06
545,88.05
546,88.04
547,88.03
548,88.03
549,88.05
550,88.03
551,88.04
552,88.04
553,88.02
554,88.02
555,88.01
556,87.99
557,87.99
558,88
559,87.99
560,88.02
561,88.03
562,87.98
563,88
564,87.99
565,87.96
566,87.99
567,88
568,88.01
569,88.04
570,88.02
571,87.97
572,87.96
573,87.96
574,87.95
575,87.97
576,87.99
577,87.96
578,87.92
579,87.88
580,87.9
581,87.89
582,87.91
583,87.9
584,87.88
585,87.88
586,87.9
587,87.91
588,87.94
589,87.93
590,87.91
591,87.89
592,87.85
593,87.86
594,87.87
595,87.87
596,87.91
597,87.9
598,87.86
599,87.83
600,87.78
601,87.79
602,87.77
603,87.78
604,87.79
605,87.8
606,87.79
607,87.78
608,87.76
609,87.75
610,87.77
611,87.81
612,87.84
613,87.86
614,87.87
615,87.88
616,87.86
617,87.85
618,87.83
619,87.85
620,87.91
621,87.9
622,87.9
623,87.89
624,87.89
625,87.87
626,87.91
627,87.93
628,87.88
629,87.89
630,87.85
631,87.85
632,87.84
633,87.86
634,87.82
635,87.75
636,87.74
637,87.72
638,87.71
639,87.73
640,87.73
641,87.74
642,87.76
643,87.76
644,87.75
645,87.74
646,87.75
647,87.74
648,87.76
649,87.74
650,87.7
651,87.71
652,87.67
653,87.66
654,87.66
655,87.66
656,87.66
657,87.67
658,87.67
659,87.66
660,87.67
661,87.65
662,87.7
663,87.68
664,87.68
665,87.65
666,87.59
667,87.6
668,87.56
669,87.6
670,87.6
671,87.6
672,87.61
673,87.59
674,87.6
675,87.57
676,87.54
677,87.5
678,87.48
679,87.49
680,87.53
681,87.58
682,87.57
683,87.57
684,87.51
685,87.51
686,87.49
687,87.53
688,87.56
689,87.54
690,87.55
691,87.53
692,87.5
693,87.49
694,87.51
695,87.5
696,87.51
697,87.53
698,87.5
699,87.45
700,87.49
