nm,SCAN
400,87.41
401,87.42
402,87.51
403,87.37
404,87.54
405,87.67
406,87.7
407,87.82
408,87.85
409,87.71
410,87.74
411,87.75
412,87.87
413,87.9
414,87.89
415,87.93
416,87.94
417,87.84
418,87.82
419,87.76
420,87.77
421,87.93
422,88.17
423,88.18
424,88.09
425,88.19
426,88.12
427,88.25
428,88.29
429,88.32
430,88.34
431,88.31
432,88.32
433,88.4
434,88.4
435,88.44
436,88.46
437,88.4
438,88.3
439,88.37
440,88.37
441,88.46
442,88.69
443,88.67
444,88.68
445,88.63
446,88.59
447,88.62
448,88.58
449,88.58
450,88.66
451,88.59
452,88.54
453,88.66
454,88.65
455,88.77
456,88.9
457,88.91
458,88.91
459,88.92
460,88.88
461,88.96
462,89.02
463,89.02
464,89.06
465,89.12
466,89.16
467,89.23
468,89.24
469,89.22
470,89.22
471,89.15
472,89.13
473,89.15
474,89.16
475,89.21
476,89.28
477,89.35
478,89.38
479,89.42
480,89.4
481,89.38
482,89.38
483,89.4
484,89.4
485,89.46
486,89.46
487,89.45
488,89.44
489,89.43
490,89.47
491,89.54
492,89.59
493,89.64
494,89.66
495,89.65
496,89.65
497,89.63
498,89.64
499,89.68
500,89.69
501,89.77
502,89.79
503,89.78
504,89.78
505,89.8
506,89.76
507,89.78
508,89.83
509,89.83
510,89.89
511,89.91
512,89.95
513,89.99
514,90.01
515,90
516,89.98
517,89.98
518,89.98
519,90.03
520,90.01
521,90.08
522,90.1
523,90.12
524,90.13
525,90.16
526,90.17
527,90.19
528,90.2
529,90.17
530,90.2
531,90.25
532,90.27
533,90.32
534,90.34
535,90.33
536,90.32
537,90.28
538,90.27
539,90.3
540,90.33
541,90.35
542,90.37
543,90.37
544,90.39
545,90.4
546,90.41
547,90.43
548,90.47
549,90.45
550,90.46
551,90.45
552,90.39
553,90.43
554,90.4
555,90.49
556,90.55
557,90.54
558,90.58
559,90.57
560,90.55
561,90.6
562,90.64
563,90.63
564,90.61
565,90.6
566,90.59
567,90.58
568,90.63
569,90.58
570,90.55
571,90.55
572,90.52
573,90.53
574,90.51
575,90.57
576,90.6
577,90.64
578,90.69
579,90.66
580,90.7
581,90.67
582,90.65
583,90.71
584,90.68
585,90.68
586,90.73
587,90.71
588,90.7
589,90.72
590,90.68
591,90.71
592,90.69
593,90.68
594,90.7
595,90.69
596,90.7
597,90.7
598,90.73
599,90.74
600,90.75
601,90.75
602,90.73
603,90.68
604,90.71
605,90.73
606,90.75
607,90.75
608,90.74
609,90.75
610,90.77
611,90.77
612,90.77
613,90.78
614,90.78
615,90.82
616,90.84
617,90.82
618,90.84
619,90.85
620,90.89
621,90.9
622,90.86
623,90.81
624,90.76
625,90.78
626,90.8
627,90.8
628,90.84
629,90.87
630,90.87
631,90.9
632,90.86
633,90.81
634,90.8
635,90.79
636,90.79
637,90.78
638,90.8
639,90.83
640,90.83
641,90.86
642,90.86
643,90.82
644,90.81
645,90.78
646,90.75
647,90.78
648,90.8
649,90.79
650,90.79
651,90.76
652,90.73
653,90.73
654,90.77
655,90.79
656,90.76
657,90.76
658,90.74
659,90.72
660,90.77
661,90.79
662,90.71
663,90.67
664,90.63
665,90.62
666,90.65
667,90.65
668,90.66
669,90.65
670,90.68
671,90.69
672,90.72
673,90.74
674,90.72
675,90.71
676,90.69
677,90.66
678,90.65
679,90.66
680,90.68
681,90.7
682,90.67
683,90.64
684,90.64
685,90.61
686,90.62
687,90.65
688,90.65
689,90.62
690,90.65
691,90.6
692,90.57
693,90.6
694,90.59
695,90.59
696,90.64
697,90.62
698,90.66
699,90.63
700,90.59
