PRINT DATE :2020/8/9 下午 07:33:08,
,
SAMPLE :,
RANGE :400nm ～ 700nm,
T50% WL=,
RANGE :400nm ～ 700nm,
"MAX :90.15 , 405.1nm    MIN :88.15 , 679.5nm    AVERAGE :88.7",
,
,
nm,SCAN
400,89.75
401,89.85
402,89.79
403,90.04
404,90.15
405,90
406,89.81
407,89.85
408,89.6
409,89.61
410,89.64
411,89.39
412,89.52
413,89.41
414,89.47
415,89.58
416,89.6
417,89.46
418,89.6
419,89.53
420,89.48
421,89.58
422,89.49
423,89.49
424,89.44
425,89.43
426,89.35
427,89.42
428,89.46
429,89.45
430,89.37
431,89.28
432,89.35
433,89.31
434,89.27
435,89.26
436,89.25
437,89.16
438,89.24
439,89.24
440,89.15
441,89.22
442,89.12
443,89.08
444,89.26
445,89.22
446,89.11
447,89.14
448,89.12
449,88.94
450,89.05
451,89.03
452,88.95
453,88.95
454,88.97
455,89.04
456,88.98
457,89.18
458,89.13
459,89.09
460,89.13
461,89.06
462,89.05
463,89.05
464,88.92
465,88.95
466,88.94
467,88.93
468,88.91
469,88.79
470,88.73
471,88.7
472,88.65
473,88.75
474,88.76
475,88.76
476,88.78
477,88.73
478,88.64
479,88.72
480,88.69
481,88.69
482,88.73
483,88.65
484,88.64
485,88.66
486,88.67
487,88.65
488,88.69
489,88.67
490,88.65
491,88.65
492,88.6
493,88.59
494,88.6
495,88.61
496,88.64
497,88.66
498,88.64
499,88.65
500,88.64
501,88.63
502,88.56
503,88.6
504,88.55
505,88.59
506,88.58
507,88.62
508,88.62
509,88.61
510,88.59
511,88.55
512,88.51
513,88.52
514,88.54
515,88.56
516,88.59
517,88.56
518,88.57
519,88.57
520,88.55
521,88.55
522,88.58
523,88.6
524,88.61
525,88.64
526,88.61
527,88.62
528,88.63
529,88.64
530,88.61
531,88.63
532,88.63
533,88.6
534,88.63
535,88.63
536,88.61
537,88.59
538,88.61
539,88.64
540,88.68
541,88.67
542,88.6
543,88.59
544,88.53
545,88.54
546,88.57
547,88.56
548,88.54
549,88.59
550,88.54
551,88.53
552,88.53
553,88.52
554,88.49
555,88.53
556,88.54
557,88.54
558,88.54
559,88.54
560,88.57
561,88.59
562,88.56
563,88.58
564,88.56
565,88.54
566,88.53
567,88.55
568,88.52
569,88.55
570,88.58
571,88.55
572,88.54
573,88.54
574,88.53
575,88.52
576,88.57
577,88.54
578,88.52
579,88.51
580,88.48
581,88.47
582,88.5
583,88.51
584,88.51
585,88.53
586,88.53
587,88.52
588,88.5
589,88.49
590,88.5
591,88.46
592,88.47
593,88.47
594,88.44
595,88.44
596,88.44
597,88.43
598,88.44
599,88.44
600,88.46
601,88.46
602,88.44
603,88.45
604,88.45
605,88.42
606,88.45
607,88.43
608,88.43
609,88.43
610,88.44
611,88.44
612,88.43
613,88.45
614,88.49
615,88.53
616,88.52
617,88.49
618,88.48
619,88.49
620,88.55
621,88.58
622,88.55
623,88.53
624,88.54
625,88.52
626,88.56
627,88.57
628,88.55
629,88.53
630,88.53
631,88.55
632,88.53
633,88.56
634,88.53
635,88.49
636,88.5
637,88.47
638,88.44
639,88.46
640,88.44
641,88.4
642,88.44
643,88.41
644,88.43
645,88.46
646,88.43
647,88.42
648,88.38
649,88.39
650,88.38
651,88.36
652,88.37
653,88.34
654,88.37
655,88.4
656,88.42
657,88.42
658,88.42
659,88.4
660,88.4
661,88.38
662,88.41
663,88.4
664,88.39
665,88.37
666,88.33
667,88.33
668,88.33
669,88.38
670,88.35
671,88.37
672,88.39
673,88.34
674,88.34
675,88.3
676,88.23
677,88.21
678,88.16
679,88.18
680,88.22
681,88.27
682,88.29
683,88.28
684,88.29
685,88.3
686,88.33
687,88.33
688,88.31
689,88.23
690,88.19
691,88.18
692,88.18
693,88.18
694,88.21
695,88.2
696,88.2
697,88.22
698,88.25
699,88.24
700,88.28
