nm,T_0,T_00
400,87.078467,85.435972
405,87.193262,85.561614
410,87.309294,85.700098
415,87.42652,85.851258
420,87.543781,86.013168
425,87.658776,86.182741
430,87.772461,86.352093
435,87.884696,86.527601
440,87.99376,86.705995
445,88.100039,86.886891
450,88.203312,87.069098
455,88.30559,87.24856
460,88.404927,87.427796
465,88.49931,87.60388
470,88.590479,87.777559
475,88.678364,87.948008
480,88.765447,88.114487
485,88.849375,88.2772
490,88.930219,88.435565
495,89.007928,88.589206
500,89.082518,88.737795
505,89.155089,88.880317
510,89.224898,89.017729
515,89.292055,89.149865
520,89.356554,89.276657
525,89.418488,89.398051
530,89.480042,89.515505
535,89.539243,89.627786
540,89.596181,89.734926
545,89.650951,89.836992
550,89.703098,89.933262
555,89.754668,90.025865
560,89.804355,90.113846
565,89.852246,90.197328
570,89.898426,90.276448
575,89.94298,90.351351
580,89.987134,90.423446
585,90.029365,90.491042
590,90.070175,90.554934
595,90.109603,90.615266
600,90.147743,90.672197
605,90.185492,90.726918
610,90.222038,90.778536
615,90.257438,90.827197
620,90.29175,90.873044
625,90.324803,90.915822
630,90.357443,90.956853
635,90.389135,90.995484
640,90.419925,91.031845
645,90.449837,91.066046
650,90.47886,91.098183
655,90.507518,91.129043
660,90.535351,91.158042
665,90.562308,91.185079
670,90.58855,91.210484
675,90.614102,91.234349
680,90.639289,91.257252
685,90.663838,91.278777
690,90.687777,91.299007
695,90.711135,91.318019
700,90.733936,91.335889
