nm,SCAN
380,5.5
381,5.82
382,5.83
383,5.89
384,5.87
385,5.73
386,5.71
387,5.8
388,5.74
389,5.87
390,5.86
391,5.94
392,5.98
393,5.93
394,5.93
395,6.03
396,5.89
397,5.95
398,5.96
399,5.95
400,5.93
401,5.91
402,5.95
403,5.96
404,5.92
405,5.96
406,5.85
407,5.87
408,5.94
409,5.97
410,6.02
411,6.07
412,6.06
413,5.98
414,5.89
415,5.88
416,5.84
417,5.92
418,5.98
419,5.98
420,5.96
421,6
422,5.96
423,5.96
424,5.97
425,5.95
426,5.96
427,6.01
428,5.98
429,5.97
430,5.93
431,5.9
432,5.92
433,5.94
434,5.97
435,5.97
436,5.97
437,5.97
438,5.93
439,6.01
440,6.05
441,6.02
442,6.03
443,6.01
444,6.01
445,6
446,5.96
447,5.95
448,5.98
449,5.98
450,6.01
451,6.03
452,6
453,6.03
454,6.05
455,6.05
456,6.07
457,6.06
458,6.06
459,6.06
460,6.05
461,6.06
462,6.08
463,6.07
464,6.09
465,6.11
466,6.09
467,6.11
468,6.09
469,6.08
470,6.08
471,6.07
472,6.08
473,6.09
474,6.12
475,6.13
476,6.14
477,6.15
478,6.16
479,6.16
480,6.15
481,6.15
482,6.14
483,6.16
484,6.19
485,6.21
486,6.22
487,6.22
488,6.21
489,6.21
490,6.23
491,6.24
492,6.25
493,6.27
494,6.28
495,6.3
496,6.31
497,6.31
498,6.3
499,6.31
500,6.31
501,6.31
502,6.35
503,6.34
504,6.36
505,6.37
506,6.36
507,6.35
508,6.35
509,6.36
510,6.38
511,6.4
512,6.42
513,6.42
514,6.44
515,6.45
516,6.46
517,6.48
518,6.48
519,6.5
520,6.51
521,6.52
522,6.55
523,6.56
524,6.56
525,6.57
526,6.58
527,6.58
528,6.59
529,6.62
530,6.62
531,6.63
532,6.65
533,6.66
534,6.67
535,6.69
536,6.69
537,6.7
538,6.7
539,6.7
540,6.72
541,6.74
542,6.76
543,6.77
544,6.77
545,6.79
546,6.79
547,6.81
548,6.82
549,6.82
550,6.83
551,6.83
552,6.84
553,6.85
554,6.88
555,6.89
556,6.9
557,6.92
558,6.91
559,6.93
560,6.93
561,6.94
562,6.94
563,6.94
564,6.95
565,6.96
566,6.98
567,6.99
568,7.01
569,7.02
570,7.03
571,7.04
572,7.04
573,7.04
574,7.06
575,7.08
576,7.08
577,7.11
578,7.12
579,7.13
580,7.14
581,7.13
582,7.13
583,7.15
584,7.16
585,7.17
586,7.18
587,7.18
588,7.19
589,7.19
590,7.2
591,7.21
592,7.21
593,7.22
594,7.23
595,7.25
596,7.26
597,7.26
598,7.26
599,7.26
600,7.27
601,7.28
602,7.29
603,7.29
604,7.31
605,7.32
606,7.32
607,7.33
608,7.33
609,7.34
610,7.34
611,7.34
612,7.35
613,7.36
614,7.37
615,7.38
616,7.39
617,7.41
618,7.41
619,7.42
620,7.43
621,7.44
622,7.46
623,7.47
624,7.47
625,7.48
626,7.48
627,7.49
628,7.49
629,7.5
630,7.51
631,7.51
632,7.52
633,7.51
634,7.52
635,7.51
636,7.51
637,7.53
638,7.53
639,7.54
640,7.54
641,7.53
642,7.54
643,7.54
644,7.54
645,7.55
646,7.55
647,7.55
648,7.55
649,7.56
650,7.56
651,7.57
652,7.57
653,7.57
654,7.58
655,7.59
656,7.6
657,7.6
658,7.6
659,7.59
660,7.59
661,7.6
662,7.59
663,7.6
664,7.6
665,7.6
666,7.6
667,7.6
668,7.61
669,7.62
670,7.61
671,7.62
672,7.62
673,7.62
674,7.63
675,7.63
676,7.63
677,7.63
678,7.62
679,7.61
680,7.62
681,7.62
682,7.63
683,7.65
684,7.65
685,7.64
686,7.64
687,7.62
688,7.63
689,7.63
690,7.63
691,7.64
692,7.62
693,7.62
694,7.62
695,7.62
696,7.63
697,7.64
698,7.63
699,7.63
700,7.63
701,7.63
702,7.63
703,7.63
704,7.63
705,7.62
706,7.61
707,7.62
708,7.61
709,7.63
710,7.63
711,7.65
712,7.64
713,7.64
714,7.64
715,7.64
716,7.63
717,7.63
718,7.63
719,7.63
720,7.63
721,7.62
722,7.6
723,7.6
724,7.59
725,7.61
726,7.62
727,7.61
728,7.61
729,7.62
730,7.62
731,7.63
732,7.62
733,7.6
734,7.59
735,7.59
736,7.6
737,7.62
738,7.6
739,7.61
740,7.62
741,7.61
742,7.63
743,7.61
744,7.59
745,7.6
746,7.59
747,7.61
748,7.62
749,7.59
750,7.59
751,7.59
752,7.58
753,7.57
754,7.56
755,7.55
756,7.57
757,7.56
758,7.57
759,7.57
760,7.55
761,7.55
762,7.54
763,7.53
764,7.54
765,7.54
766,7.56
767,7.55
768,7.56
769,7.55
770,7.55
771,7.56
772,7.55
773,7.56
774,7.54
775,7.54
776,7.53
777,7.51
778,7.54
779,7.56
780,7.57
