nm,SCAN
380,0.63
381,0.81
382,0.93
383,1.12
384,1.07
385,0.85
386,0.83
387,0.82
388,0.77
389,0.97
390,0.97
391,1
392,1.02
393,1.03
394,1.02
395,1.16
396,1.08
397,1.16
398,1.13
399,1.09
400,1.06
401,1.06
402,1.09
403,1.16
404,1.23
405,1.24
406,1.16
407,1.15
408,1.13
409,1.14
410,1.15
411,1.21
412,1.24
413,1.19
414,1.22
415,1.18
416,1.23
417,1.28
418,1.28
419,1.31
420,1.29
421,1.31
422,1.31
423,1.34
424,1.27
425,1.22
426,1.25
427,1.31
428,1.32
429,1.37
430,1.3
431,1.27
432,1.29
433,1.34
434,1.41
435,1.43
436,1.41
437,1.38
438,1.39
439,1.42
440,1.47
441,1.45
442,1.43
443,1.45
444,1.49
445,1.48
446,1.48
447,1.51
448,1.49
449,1.47
450,1.46
451,1.46
452,1.46
453,1.48
454,1.5
455,1.55
456,1.57
457,1.53
458,1.59
459,1.56
460,1.52
461,1.54
462,1.54
463,1.56
464,1.58
465,1.63
466,1.63
467,1.64
468,1.65
469,1.64
470,1.65
471,1.63
472,1.63
473,1.64
474,1.66
475,1.7
476,1.71
477,1.72
478,1.73
479,1.75
480,1.75
481,1.75
482,1.76
483,1.77
484,1.78
485,1.81
486,1.82
487,1.82
488,1.81
489,1.82
490,1.84
491,1.85
492,1.87
493,1.87
494,1.89
495,1.89
496,1.9
497,1.91
498,1.9
499,1.92
500,1.94
501,1.96
502,1.98
503,1.99
504,2
505,2
506,2.01
507,2.01
508,2.01
509,2.03
510,2.06
511,2.08
512,2.1
513,2.11
514,2.11
515,2.12
516,2.13
517,2.13
518,2.14
519,2.14
520,2.15
521,2.16
522,2.19
523,2.21
524,2.22
525,2.24
526,2.24
527,2.26
528,2.28
529,2.3
530,2.31
531,2.32
532,2.34
533,2.35
534,2.36
535,2.38
536,2.38
537,2.39
538,2.39
539,2.4
540,2.42
541,2.44
542,2.45
543,2.46
544,2.47
545,2.49
546,2.51
547,2.53
548,2.53
549,2.53
550,2.54
551,2.54
552,2.57
553,2.59
554,2.6
555,2.61
556,2.62
557,2.63
558,2.63
559,2.65
560,2.65
561,2.67
562,2.68
563,2.69
564,2.71
565,2.71
566,2.73
567,2.75
568,2.75
569,2.76
570,2.77
571,2.79
572,2.79
573,2.81
574,2.82
575,2.83
576,2.85
577,2.87
578,2.87
579,2.89
580,2.9
581,2.9
582,2.9
583,2.92
584,2.94
585,2.95
586,2.97
587,2.98
588,2.98
589,2.99
590,3
591,3
592,3.02
593,3.03
594,3.03
595,3.04
596,3.04
597,3.07
598,3.08
599,3.1
600,3.1
601,3.11
602,3.11
603,3.13
604,3.15
605,3.16
606,3.17
607,3.18
608,3.18
609,3.19
610,3.19
611,3.2
612,3.21
613,3.22
614,3.23
615,3.24
616,3.25
617,3.26
618,3.27
619,3.27
620,3.29
621,3.31
622,3.32
623,3.34
624,3.34
625,3.34
626,3.33
627,3.34
628,3.34
629,3.36
630,3.37
631,3.37
632,3.38
633,3.38
634,3.39
635,3.4
636,3.42
637,3.43
638,3.43
639,3.44
640,3.44
641,3.44
642,3.45
643,3.44
644,3.45
645,3.45
646,3.44
647,3.46
648,3.47
649,3.49
650,3.5
651,3.51
652,3.5
653,3.5
654,3.51
655,3.53
656,3.54
657,3.54
658,3.55
659,3.55
660,3.55
661,3.56
662,3.56
663,3.57
664,3.56
665,3.56
666,3.57
667,3.57
668,3.58
669,3.6
670,3.6
671,3.6
672,3.61
673,3.6
674,3.6
675,3.6
676,3.6
677,3.61
678,3.61
679,3.61
680,3.63
681,3.63
682,3.63
683,3.64
684,3.63
685,3.63
686,3.63
687,3.64
688,3.64
689,3.64
690,3.65
691,3.64
692,3.65
693,3.65
694,3.65
695,3.66
696,3.67
697,3.68
698,3.69
699,3.69
700,3.69
701,3.67
702,3.67
703,3.67
704,3.67
705,3.68
706,3.69
707,3.71
708,3.7
709,3.69
710,3.69
711,3.69
712,3.69
713,3.7
714,3.7
715,3.7
716,3.7
717,3.7
718,3.7
719,3.7
720,3.71
721,3.7
722,3.7
723,3.69
724,3.7
725,3.72
726,3.73
727,3.74
728,3.73
729,3.71
730,3.7
731,3.7
732,3.7
733,3.7
734,3.71
735,3.7
736,3.71
737,3.71
738,3.71
739,3.71
740,3.72
741,3.72
742,3.72
743,3.71
744,3.7
745,3.71
746,3.71
747,3.71
748,3.72
749,3.72
750,3.71
751,3.72
752,3.72
753,3.71
754,3.7
755,3.7
756,3.68
757,3.68
758,3.7
759,3.7
760,3.7
761,3.69
762,3.66
763,3.65
764,3.65
765,3.67
766,3.69
767,3.69
768,3.7
769,3.7
770,3.69
771,3.68
772,3.69
773,3.68
774,3.69
775,3.69
776,3.68
777,3.67
778,3.68
779,3.68
780,3.68
