nm,SCAN
380,91.21
381,91.42
382,91.57
383,91.68
384,91.74
385,91.85
386,91.61
387,91.55
388,91.81
389,91.61
390,91.75
391,91.86
392,91.77
393,91.98
394,91.91
395,91.99
396,92.09
397,92.07
398,92.13
399,92.13
400,92.14
401,92.14
402,92.02
403,91.93
404,91.84
405,91.94
406,91.98
407,92.08
408,92.08
409,92.1
410,92.06
411,92.12
412,92.1
413,92.09
414,91.98
415,92.07
416,92.22
417,92.3
418,92.43
419,92.48
420,92.5
421,92.36
422,92.45
423,92.39
424,92.34
425,92.4
426,92.41
427,92.46
428,92.51
429,92.46
430,92.31
431,92.23
432,92.2
433,92.2
434,92.24
435,92.26
436,92.3
437,92.29
438,92.37
439,92.36
440,92.34
441,92.31
442,92.26
443,92.31
444,92.34
445,92.4
446,92.32
447,92.39
448,92.41
449,92.38
450,92.41
451,92.46
452,92.42
453,92.48
454,92.57
455,92.47
456,92.54
457,92.54
458,92.61
459,92.71
460,92.6
461,92.54
462,92.46
463,92.42
464,92.44
465,92.46
466,92.51
467,92.53
468,92.5
469,92.5
470,92.5
471,92.47
472,92.46
473,92.55
474,92.62
475,92.59
476,92.59
477,92.56
478,92.6
479,92.63
480,92.67
481,92.63
482,92.6
483,92.59
484,92.54
485,92.61
486,92.7
487,92.7
488,92.72
489,92.67
490,92.58
491,92.57
492,92.54
493,92.56
494,92.62
495,92.6
496,92.57
497,92.61
498,92.59
499,92.58
500,92.59
501,92.55
502,92.58
503,92.55
504,92.58
505,92.61
506,92.64
507,92.68
508,92.64
509,92.64
510,92.61
511,92.6
512,92.63
513,92.62
514,92.64
515,92.64
516,92.63
517,92.65
518,92.61
519,92.63
520,92.63
521,92.64
522,92.68
523,92.68
524,92.65
525,92.67
526,92.67
527,92.63
528,92.67
529,92.66
530,92.7
531,92.69
532,92.71
533,92.69
534,92.66
535,92.66
536,92.59
537,92.58
538,92.56
539,92.53
540,92.55
541,92.56
542,92.59
543,92.55
544,92.53
545,92.55
546,92.56
547,92.57
548,92.61
549,92.57
550,92.54
551,92.53
552,92.5
553,92.52
554,92.49
555,92.46
556,92.48
557,92.45
558,92.42
559,92.39
560,92.4
561,92.36
562,92.4
563,92.38
564,92.36
565,92.36
566,92.36
567,92.38
568,92.38
569,92.36
570,92.34
571,92.33
572,92.37
573,92.37
574,92.4
575,92.35
576,92.32
577,92.26
578,92.2
579,92.19
580,92.16
581,92.2
582,92.25
583,92.24
584,92.25
585,92.25
586,92.19
587,92.17
588,92.14
589,92.08
590,92.1
591,92.08
592,92.08
593,92.07
594,92.05
595,92.06
596,92.05
597,92.06
598,92.07
599,92.04
600,92
601,92
602,91.99
603,91.96
604,91.94
605,91.93
606,91.87
607,91.88
608,91.9
609,91.87
610,91.89
611,91.89
612,91.84
613,91.85
614,91.83
615,91.83
616,91.81
617,91.83
618,91.82
619,91.81
620,91.82
621,91.8
622,91.77
623,91.79
624,91.79
625,91.77
626,91.77
627,91.75
628,91.73
629,91.74
630,91.72
631,91.71
632,91.65
633,91.55
634,91.56
635,91.52
636,91.55
637,91.58
638,91.56
639,91.54
640,91.48
641,91.46
642,91.46
643,91.46
644,91.44
645,91.42
646,91.37
647,91.35
648,91.38
649,91.38
650,91.4
651,91.4
652,91.36
653,91.32
654,91.29
655,91.22
656,91.24
657,91.28
658,91.24
659,91.26
660,91.25
661,91.22
662,91.24
663,91.22
664,91.2
665,91.16
666,91.14
667,91.11
668,91.1
669,91.1
670,91.12
671,91.12
672,91.07
673,91.06
674,91.02
675,90.99
676,90.97
677,90.96
678,90.94
679,90.91
680,90.9
681,90.88
682,90.88
683,90.85
684,90.86
685,90.83
686,90.81
687,90.82
688,90.79
689,90.81
690,90.78
691,90.79
692,90.75
693,90.67
694,90.64
695,90.65
696,90.7
697,90.75
698,90.75
699,90.68
700,90.66
701,90.58
702,90.58
703,90.55
704,90.56
705,90.58
706,90.58
707,90.56
708,90.57
709,90.53
710,90.51
711,90.5
712,90.45
713,90.44
714,90.37
715,90.39
716,90.36
717,90.36
718,90.32
719,90.33
720,90.38
721,90.31
722,90.28
723,90.21
724,90.17
725,90.23
726,90.28
727,90.32
728,90.3
729,90.3
730,90.23
731,90.18
732,90.18
733,90.13
734,90.14
735,90.14
736,90.12
737,90.12
738,90.09
739,90.1
740,90.15
741,90.1
742,90.12
743,90.12
744,90.06
745,90.03
746,90.03
747,90.01
748,89.99
749,89.94
750,89.96
751,89.97
752,89.96
753,89.96
754,89.87
755,89.78
756,89.81
757,89.84
758,89.85
759,89.89
760,89.86
761,89.86
762,89.85
763,89.86
764,89.88
765,89.88
766,89.9
767,89.83
768,89.87
769,89.85
770,89.84
771,89.92
772,89.95
773,89.94
774,89.9
775,89.84
776,89.78
777,89.78
778,89.82
779,89.81
780,89.78
