nm,SCAN
400,4.75
401,4.66
402,4.64
403,4.58
404,4.6
405,4.57
406,4.57
407,4.55
408,4.46
409,4.36
410,4.26
411,4.12
412,4.09
413,4.11
414,4.08
415,4.16
416,4.22
417,4.25
418,4.28
419,4.3
420,4.35
421,4.4
422,4.48
423,4.55
424,4.57
425,4.61
426,4.6
427,4.6
428,4.62
429,4.62
430,4.6
431,4.58
432,4.52
433,4.46
434,4.39
435,4.36
436,4.32
437,4.24
438,4.23
439,4.18
440,4.13
441,4.12
442,4.06
443,4.06
444,4.09
445,4.15
446,4.2
447,4.28
448,4.28
449,4.31
450,4.35
451,4.41
452,4.48
453,4.5
454,4.53
455,4.56
456,4.6
457,4.59
458,4.62
459,4.62
460,4.59
461,4.61
462,4.6
463,4.55
464,4.52
465,4.47
466,4.39
467,4.35
468,4.3
469,4.23
470,4.21
471,4.15
472,4.11
473,4.09
474,4.06
475,4.04
476,4.02
477,4.02
478,4.04
479,4.07
480,4.11
481,4.14
482,4.18
483,4.21
484,4.25
485,4.3
486,4.32
487,4.36
488,4.4
489,4.45
490,4.48
491,4.52
492,4.55
493,4.58
494,4.59
495,4.59
496,4.58
497,4.55
498,4.53
499,4.51
500,4.47
501,4.44
502,4.42
503,4.37
504,4.34
505,4.33
506,4.28
507,4.24
508,4.18
509,4.13
510,4.1
511,4.09
512,4.08
513,4.06
514,4.05
515,4.04
516,4.03
517,4.03
518,4.05
519,4.07
520,4.1
521,4.13
522,4.16
523,4.2
524,4.22
525,4.25
526,4.29
527,4.33
528,4.36
529,4.39
530,4.43
531,4.45
532,4.49
533,4.51
534,4.53
535,4.54
536,4.55
537,4.54
538,4.53
539,4.54
540,4.54
541,4.51
542,4.5
543,4.46
544,4.45
545,4.43
546,4.41
547,4.39
548,4.37
549,4.33
550,4.28
551,4.24
552,4.2
553,4.17
554,4.14
555,4.12
556,4.1
557,4.08
558,4.07
559,4.06
560,4.06
561,4.05
562,4.04
563,4.05
564,4.05
565,4.06
566,4.07
567,4.09
568,4.1
569,4.12
570,4.15
571,4.17
572,4.2
573,4.23
574,4.25
575,4.28
576,4.3
577,4.34
578,4.36
579,4.4
580,4.43
581,4.45
582,4.47
583,4.49
584,4.5
585,4.52
586,4.53
587,4.53
588,4.53
589,4.52
590,4.51
591,4.5
592,4.49
593,4.49
594,4.48
595,4.46
596,4.44
597,4.42
598,4.38
599,4.37
600,4.33
601,4.31
602,4.28
603,4.26
604,4.24
605,4.22
606,4.2
607,4.18
608,4.15
609,4.12
610,4.09
611,4.07
612,4.05
613,4.05
614,4.05
615,4.05
616,4.05
617,4.05
618,4.05
619,4.05
620,4.05
621,4.06
622,4.06
623,4.08
624,4.09
625,4.1
626,4.11
627,4.12
628,4.13
629,4.15
630,4.17
631,4.19
632,4.21
633,4.24
634,4.26
635,4.28
636,4.3
637,4.32
638,4.35
639,4.37
640,4.38
641,4.39
642,4.38
643,4.4
644,4.42
645,4.43
646,4.44
647,4.44
648,4.44
649,4.44
650,4.44
651,4.44
652,4.44
653,4.44
654,4.44
655,4.42
656,4.42
657,4.4
658,4.38
659,4.38
660,4.36
661,4.34
662,4.33
663,4.31
664,4.29
665,4.28
666,4.26
667,4.23
668,4.21
669,4.2
670,4.18
671,4.17
672,4.15
673,4.12
674,4.11
675,4.09
676,4.07
677,4.05
678,4.03
679,4
680,4
681,3.99
682,3.99
683,3.99
684,3.99
685,3.98
686,3.99
687,3.98
688,3.98
689,3.97
690,3.97
691,3.98
692,3.98
693,3.99
694,4
695,4.01
696,4.02
697,4.04
698,4.06
699,4.07
700,4.08
