nm,SCAN
400,68.07
401,68.71
402,69.08
403,69.42
404,69.93
405,70.24
406,70.73
407,71.06
408,71.5
409,72.07
410,72.5
411,72.91
412,73.36
413,73.66
414,74.14
415,74.53
416,74.94
417,75.42
418,75.83
419,76.15
420,76.5
421,76.89
422,77.27
423,77.6
424,78.01
425,78.29
426,78.71
427,79.12
428,79.46
429,79.79
430,80.21
431,80.49
432,80.86
433,81.21
434,81.56
435,81.8
436,82.15
437,82.35
438,82.65
439,83.04
440,83.37
441,83.67
442,83.96
443,84.04
444,84.4
445,84.67
446,84.91
447,85.26
448,85.41
449,85.6
450,85.91
451,86.01
452,86.2
453,86.37
454,86.55
455,86.77
456,86.99
457,87.26
458,87.41
459,87.64
460,87.89
461,88.09
462,88.33
463,88.42
464,88.61
465,88.76
466,88.91
467,89.04
468,89.07
469,89.21
470,89.33
471,89.38
472,89.56
473,89.68
474,89.8
475,90.02
476,90.13
477,90.16
478,90.23
479,90.3
480,90.33
481,90.49
482,90.57
483,90.66
484,90.73
485,90.75
486,90.8
487,90.81
488,90.89
489,90.92
490,90.99
491,91.06
492,91.1
493,91.11
494,91.14
495,91.22
496,91.25
497,91.27
498,91.33
499,91.34
500,91.31
501,91.33
502,91.34
503,91.34
504,91.29
505,91.3
506,91.32
507,91.35
508,91.39
509,91.44
510,91.39
511,91.39
512,91.38
513,91.32
514,91.31
515,91.24
516,91.24
517,91.22
518,91.22
519,91.24
520,91.21
521,91.2
522,91.17
523,91.16
524,91.15
525,91.11
526,91.11
527,91.04
528,91.03
529,91.04
530,90.98
531,90.91
532,90.87
533,90.83
534,90.8
535,90.77
536,90.71
537,90.62
538,90.55
539,90.45
540,90.42
541,90.37
542,90.34
543,90.33
544,90.29
545,90.23
546,90.16
547,90.1
548,90.06
549,89.97
550,89.88
551,89.82
552,89.79
553,89.73
554,89.68
555,89.66
556,89.57
557,89.5
558,89.47
559,89.36
560,89.29
561,89.21
562,89.12
563,89.06
564,88.97
565,88.93
566,88.84
567,88.8
568,88.73
569,88.65
570,88.61
571,88.52
572,88.45
573,88.43
574,88.34
575,88.31
576,88.23
577,88.17
578,88.09
579,87.98
580,87.9
581,87.87
582,87.8
583,87.74
584,87.67
585,87.58
586,87.51
587,87.47
588,87.42
589,87.33
590,87.24
591,87.18
592,87.1
593,87.06
594,87.02
595,86.91
596,86.89
597,86.79
598,86.73
599,86.65
600,86.55
601,86.5
602,86.42
603,86.38
604,86.35
605,86.23
606,86.14
607,86.09
608,85.98
609,85.95
610,85.93
611,85.86
612,85.83
613,85.77
614,85.72
615,85.65
616,85.59
617,85.54
618,85.45
619,85.42
620,85.36
621,85.28
622,85.23
623,85.15
624,85.12
625,85.05
626,85.02
627,84.96
628,84.89
629,84.86
630,84.76
631,84.72
632,84.63
633,84.55
634,84.49
635,84.42
636,84.35
637,84.29
638,84.24
639,84.2
640,84.16
641,84.11
642,84.04
643,83.9
644,83.82
645,83.77
646,83.74
647,83.7
648,83.65
649,83.57
650,83.49
651,83.43
652,83.36
653,83.32
654,83.27
655,83.17
656,83.12
657,83.03
658,82.99
659,82.94
660,82.87
661,82.83
662,82.78
663,82.73
664,82.66
665,82.66
666,82.62
667,82.56
668,82.54
669,82.43
670,82.37
671,82.31
672,82.25
673,82.23
674,82.14
675,82.09
676,82.08
677,82.03
678,81.98
679,81.95
680,81.85
681,81.82
682,81.78
683,81.71
684,81.68
685,81.63
686,81.58
687,81.53
688,81.49
689,81.41
690,81.32
691,81.24
692,81.19
693,81.19
694,81.17
695,81.14
696,81.12
697,81.06
698,81.01
699,80.98
700,80.95
