nm,SCAN
400,91.07
401,91.07
402,90.91
403,90.81
404,90.83
405,90.65
406,90.7
407,90.89
408,90.85
409,90.74
410,90.77
411,90.91
412,91.02
413,91.05
414,91.1
415,91.07
416,91.01
417,91.04
418,91.04
419,91.05
420,90.98
421,90.86
422,90.81
423,90.76
424,90.82
425,90.9
426,90.87
427,91.02
428,90.93
429,90.96
430,91
431,90.91
432,90.98
433,90.94
434,90.96
435,90.95
436,90.94
437,90.94
438,90.97
439,90.94
440,90.93
441,90.88
442,90.89
443,90.95
444,91.04
445,91.18
446,91.15
447,91.12
448,91.1
449,91.07
450,91.09
451,91.15
452,91.12
453,91.13
454,91.17
455,91.09
456,91.03
457,91.02
458,91.03
459,91.1
460,91.13
461,91.15
462,91.05
463,91.05
464,91.01
465,91.02
466,91.19
467,91.2
468,91.28
469,91.32
470,91.26
471,91.24
472,91.16
473,91.2
474,91.22
475,91.22
476,91.2
477,91.25
478,91.22
479,91.24
480,91.29
481,91.29
482,91.29
483,91.27
484,91.28
485,91.26
486,91.25
487,91.32
488,91.31
489,91.34
490,91.41
491,91.38
492,91.47
493,91.45
494,91.43
495,91.42
496,91.39
497,91.38
498,91.4
499,91.39
500,91.46
501,91.44
502,91.5
503,91.5
504,91.49
505,91.47
506,91.45
507,91.5
508,91.53
509,91.53
510,91.53
511,91.52
512,91.48
513,91.49
514,91.54
515,91.53
516,91.55
517,91.57
518,91.62
519,91.61
520,91.6
521,91.6
522,91.55
523,91.56
524,91.57
525,91.61
526,91.62
527,91.63
528,91.69
529,91.69
530,91.73
531,91.76
532,91.71
533,91.72
534,91.72
535,91.7
536,91.7
537,91.75
538,91.72
539,91.74
540,91.76
541,91.74
542,91.74
543,91.76
544,91.75
545,91.78
546,91.77
547,91.8
548,91.82
549,91.79
550,91.81
551,91.77
552,91.78
553,91.75
554,91.74
555,91.72
556,91.7
557,91.71
558,91.76
559,91.78
560,91.8
561,91.79
562,91.77
563,91.76
564,91.74
565,91.72
566,91.73
567,91.69
568,91.69
569,91.73
570,91.72
571,91.75
572,91.76
573,91.72
574,91.73
575,91.7
576,91.7
577,91.71
578,91.72
579,91.73
580,91.76
581,91.74
582,91.74
583,91.74
584,91.71
585,91.72
586,91.76
587,91.74
588,91.75
589,91.79
590,91.77
591,91.75
592,91.73
593,91.7
594,91.7
595,91.7
596,91.7
597,91.7
598,91.7
599,91.68
600,91.66
601,91.63
602,91.64
603,91.69
604,91.69
605,91.72
606,91.68
607,91.65
608,91.68
609,91.72
610,91.72
611,91.73
612,91.66
613,91.62
614,91.62
615,91.65
616,91.67
617,91.71
618,91.71
619,91.69
620,91.71
621,91.68
622,91.7
623,91.71
624,91.69
625,91.71
626,91.72
627,91.7
628,91.67
629,91.65
630,91.63
631,91.63
632,91.66
633,91.65
634,91.64
635,91.65
636,91.63
637,91.59
638,91.56
639,91.55
640,91.55
641,91.56
642,91.57
643,91.56
644,91.55
645,91.51
646,91.52
647,91.49
648,91.48
649,91.55
650,91.53
651,91.52
652,91.5
653,91.47
654,91.46
655,91.46
656,91.43
657,91.4
658,91.42
659,91.43
660,91.41
661,91.38
662,91.35
663,91.33
664,91.34
665,91.33
666,91.31
667,91.29
668,91.29
669,91.32
670,91.3
671,91.31
672,91.3
673,91.28
674,91.25
675,91.23
676,91.21
677,91.18
678,91.16
679,91.16
680,91.17
681,91.17
682,91.21
683,91.16
684,91.09
685,91.11
686,91.05
687,91.06
688,91.1
689,91.07
690,91.07
691,91.06
692,91.04
693,91.02
694,91
695,91.01
696,90.99
697,90.96
698,91.01
699,90.99
700,90.96
