nm,SCAN
400,4.91
401,4.93
402,4.84
403,4.76
404,4.8
405,4.78
406,4.82
407,4.83
408,4.83
409,4.83
410,4.79
411,4.76
412,4.79
413,4.76
414,4.81
415,4.83
416,4.82
417,4.83
418,4.81
419,4.77
420,4.74
421,4.73
422,4.72
423,4.75
424,4.73
425,4.77
426,4.77
427,4.84
428,4.84
429,4.83
430,4.82
431,4.8
432,4.75
433,4.75
434,4.73
435,4.7
436,4.75
437,4.74
438,4.78
439,4.81
440,4.8
441,4.82
442,4.8
443,4.8
444,4.79
445,4.77
446,4.74
447,4.72
448,4.73
449,4.74
450,4.74
451,4.75
452,4.72
453,4.7
454,4.7
455,4.71
456,4.69
457,4.68
458,4.69
459,4.67
460,4.7
461,4.73
462,4.72
463,4.72
464,4.72
465,4.69
466,4.7
467,4.69
468,4.7
469,4.71
470,4.69
471,4.67
472,4.67
473,4.64
474,4.66
475,4.66
476,4.64
477,4.65
478,4.65
479,4.65
480,4.67
481,4.66
482,4.65
483,4.64
484,4.64
485,4.64
486,4.63
487,4.62
488,4.61
489,4.63
490,4.64
491,4.66
492,4.66
493,4.66
494,4.65
495,4.63
496,4.62
497,4.63
498,4.64
499,4.64
500,4.64
501,4.64
502,4.63
503,4.63
504,4.63
505,4.62
506,4.62
507,4.6
508,4.6
509,4.61
510,4.62
511,4.62
512,4.62
513,4.61
514,4.59
515,4.61
516,4.62
517,4.62
518,4.63
519,4.62
520,4.62
521,4.61
522,4.61
523,4.61
524,4.6
525,4.6
526,4.6
527,4.6
528,4.61
529,4.62
530,4.61
531,4.6
532,4.59
533,4.59
534,4.6
535,4.6
536,4.6
537,4.6
538,4.6
539,4.6
540,4.6
541,4.6
542,4.58
543,4.58
544,4.57
545,4.58
546,4.59
547,4.58
548,4.59
549,4.58
550,4.57
551,4.57
552,4.58
553,4.59
554,4.59
555,4.6
556,4.59
557,4.59
558,4.58
559,4.57
560,4.57
561,4.57
562,4.58
563,4.58
564,4.58
565,4.59
566,4.59
567,4.58
568,4.58
569,4.57
570,4.56
571,4.56
572,4.56
573,4.55
574,4.55
575,4.55
576,4.55
577,4.56
578,4.55
579,4.56
580,4.56
581,4.55
582,4.55
583,4.55
584,4.55
585,4.56
586,4.56
587,4.56
588,4.56
589,4.54
590,4.54
591,4.53
592,4.54
593,4.54
594,4.55
595,4.55
596,4.55
597,4.54
598,4.55
599,4.53
600,4.53
601,4.53
602,4.53
603,4.52
604,4.53
605,4.54
606,4.53
607,4.53
608,4.53
609,4.52
610,4.52
611,4.51
612,4.52
613,4.52
614,4.51
615,4.53
616,4.52
617,4.53
618,4.53
619,4.52
620,4.53
621,4.52
622,4.52
623,4.52
624,4.52
625,4.53
626,4.53
627,4.53
628,4.53
629,4.52
630,4.51
631,4.5
632,4.49
633,4.5
634,4.5
635,4.51
636,4.51
637,4.51
638,4.5
639,4.5
640,4.5
641,4.5
642,4.5
643,4.5
644,4.49
645,4.5
646,4.49
647,4.49
648,4.49
649,4.48
650,4.48
651,4.47
652,4.47
653,4.47
654,4.47
655,4.49
656,4.49
657,4.47
658,4.47
659,4.46
660,4.47
661,4.48
662,4.47
663,4.46
664,4.45
665,4.45
666,4.44
667,4.45
668,4.45
669,4.45
670,4.45
671,4.45
672,4.45
673,4.44
674,4.44
675,4.44
676,4.44
677,4.44
678,4.44
679,4.43
680,4.43
681,4.43
682,4.42
683,4.42
684,4.42
685,4.41
686,4.41
687,4.42
688,4.41
689,4.41
690,4.41
691,4.4
692,4.41
693,4.41
694,4.41
695,4.41
696,4.41
697,4.41
698,4.41
699,4.4
700,4.4
