,SCAN,FIT
400,10.61,10.76418645
401,10.61,10.73151438
402,10.47,10.69911656
403,10.39,10.66698284
404,10.35,10.63512392
405,10.34,10.60353374
406,10.32,10.57219692
407,10.36,10.54112461
408,10.39,10.51030937
409,10.4,10.47974192
410,10.4,10.44942109
411,10.45,10.41935109
412,10.35,10.38952818
413,10.29,10.3599427
414,10.3,10.33058897
415,10.24,10.30147525
416,10.17,10.2725885
417,10.14,10.24392639
418,10.09,10.21550536
419,10.12,10.1873024
420,10.13,10.15931313
421,10.1,10.13154426
422,10.09,10.10398038
423,10.04,10.07663933
424,9.9,10.0495263
425,9.86,10.02260551
426,9.8,9.995877695
427,9.83,9.969357478
428,9.88,9.943053258
429,9.85,9.916948172
430,9.82,9.891030211
431,9.75,9.865299785
432,9.67,9.839761665
433,9.6,9.814418543
434,9.59,9.789266903
435,9.61,9.764292505
436,9.61,9.739497589
437,9.6,9.714895207
438,9.55,9.690470234
439,9.52,9.6662151
440,9.48,9.642137762
441,9.45,9.618241443
442,9.5,9.59451914
443,9.51,9.570955071
444,9.51,9.547559576
445,9.51,9.524340075
446,9.51,9.501273442
447,9.43,9.478367155
448,9.4,9.455640842
449,9.36,9.433066164
450,9.32,9.410634339
451,9.3,9.388371109
452,9.3,9.366266412
453,9.28,9.344303594
454,9.25,9.322494272
455,9.2,9.300842252
456,9.16,9.279339226
457,9.16,9.257976049
458,9.14,9.23675047
459,9.12,9.215676756
460,9.09,9.194752235
461,9.06,9.173957808
462,9.06,9.153302102
463,9.04,9.132797837
464,9.03,9.112429376
465,9,9.092187402
466,8.99,9.072079328
467,8.94,9.052106225
468,8.92,9.032264124
469,8.89,9.012552161
470,8.9,8.992970546
471,8.88,8.973519102
472,8.88,8.954195416
473,8.86,8.934994009
474,8.83,8.915913228
475,8.8,8.896954927
476,8.79,8.878121049
477,8.77,8.859412738
478,8.77,8.840826696
479,8.75,8.822359195
480,8.73,8.804009548
481,8.71,8.785776829
482,8.69,8.767658597
483,8.68,8.749653843
484,8.65,8.731763573
485,8.64,8.713987186
486,8.63,8.696322573
487,8.62,8.678770354
488,8.61,8.661332655
489,8.6,8.644006737
490,8.58,8.62678764
491,8.57,8.609673684
492,8.54,8.592664968
493,8.51,8.575763141
494,8.49,8.558969319
495,8.46,8.542280147
496,8.45,8.525691706
497,8.45,8.509202924
498,8.43,8.49281367
499,8.42,8.476524792
500,8.4,8.460337129
501,8.39,8.444250457
502,8.35,8.428263633
503,8.33,8.412372822
504,8.32,8.396574413
