nm,n_Top,k_Top,n_Bottom,k_Bottom,n_Mid,k_Mid
381.203583,2.202147,0.051547,2.27923,0.054272,2.2406885,0.0529095
382.375854,2.199339,0.049448,2.276273,0.052064,2.237806,0.050756
383.555359,2.196542,0.047413,2.273326,0.049922,2.234934,0.0486675
384.742188,2.193756,0.04544,2.270392,0.047846,2.232074,0.046643
385.936371,2.190981,0.043528,2.26747,0.045833,2.2292255,0.0446805
387.138,2.188219,0.041674,2.26456,0.043882,2.2263895,0.042778
388.347107,2.18547,0.039878,2.261665,0.041992,2.2235675,0.040935
389.563812,2.182735,0.038138,2.258785,0.040161,2.22076,0.0391495
390.788177,2.180014,0.036453,2.255918,0.038388,2.217966,0.0374205
392.020233,2.177307,0.034822,2.253067,0.036671,2.215187,0.0357465
393.260071,2.174615,0.033243,2.250233,0.035008,2.212424,0.0341255
394.507813,2.171939,0.031715,2.247414,0.0334,2.2096765,0.0325575
395.763489,2.169279,0.030237,2.244612,0.031844,2.2069455,0.0310405
397.027161,2.166634,0.028807,2.241826,0.030339,2.20423,0.029573
398.298981,2.164006,0.027425,2.239058,0.028883,2.201532,0.028154
399.578918,2.161395,0.026089,2.236307,0.027477,2.198851,0.026783
400.867126,2.1588,0.024798,2.233574,0.026118,2.196187,0.025458
402.163696,2.156222,0.023551,2.230859,0.024805,2.1935405,0.024178
403.468658,2.153662,0.022347,2.228162,0.023538,2.190912,0.0229425
404.782135,2.151119,0.021185,2.225483,0.022315,2.188301,0.02175
406.104156,2.148594,0.020065,2.222823,0.021135,2.1857085,0.0206
407.434875,2.146086,0.018984,2.220181,0.019997,2.1831335,0.0194905
408.774323,2.143596,0.017942,2.217559,0.0189,2.1805775,0.018421
410.12262,2.141124,0.016939,2.214954,0.017844,2.178039,0.0173915
411.479828,2.13867,0.015973,2.212369,0.016826,2.1755195,0.0163995
412.846039,2.136234,0.015044,2.209803,0.015848,2.1730185,0.015446
414.221375,2.133817,0.01415,2.207256,0.014906,2.1705365,0.014528
415.605896,2.131417,0.013291,2.204728,0.014002,2.1680725,0.0136465
416.999695,2.129036,0.012466,2.202219,0.013133,2.1656275,0.0127995
418.402893,2.126673,0.011674,2.19973,0.012299,2.1632015,0.0119865
419.815521,2.124328,0.010915,2.197259,0.011499,2.1607935,0.011207
421.237732,2.122002,0.010187,2.194808,0.010733,2.158405,0.01046
422.669617,2.119694,0.009491,2.192376,0.01,2.156035,0.0097455
424.111328,2.117404,0.008825,2.189964,0.009299,2.153684,0.009062
425.562836,2.115132,0.008189,2.18757,0.008629,2.151351,0.008409
427.024353,2.112879,0.007582,2.185196,0.007989,2.1490375,0.0077855
428.495941,2.110644,0.007004,2.182842,0.00738,2.146743,0.007192
429.977722,2.108428,0.006454,2.180506,0.0068,2.144467,0.006627
431.469788,2.106229,0.005931,2.17819,0.006249,2.1422095,0.00609
432.972229,2.10405,0.005435,2.175893,0.005727,2.1399715,0.005581
434.485168,2.101888,0.004965,2.173615,0.005232,2.1377515,0.0050985
436.008698,2.099745,0.00452,2.171357,0.004764,2.135551,0.004642
437.542969,2.09762,0.004101,2.169117,0.004322,2.1333685,0.0042115
439.088043,2.095514,0.003707,2.166898,0.003907,2.131206,0.003807
440.644104,2.093426,0.003337,2.164698,0.003517,2.129062,0.003427
442.211243,2.091357,0.002991,2.162517,0.003152,2.126937,0.0030715
443.789551,2.089306,0.002668,2.160355,0.002812,2.1248305,0.00274
445.37915,2.087274,0.002369,2.158214,0.002496,2.122744,0.0024325
446.980225,2.08526,0.002091,2.156091,0.002204,2.1206755,0.0021475
448.592834,2.083265,0.001836,2.153989,0.001935,2.118627,0.0018855
450.217102,2.08129,0.001602,2.151907,0.001689,2.1165985,0.0016455
451.85318,2.079333,0.00139,2.149845,0.001465,2.114589,0.0014275
453.501129,2.077396,0.001199,2.147803,0.001264,2.1125995,0.0012315
455.161224,2.075478,0.001029,2.145782,0.001084,2.11063,0.0010565
456.833496,2.07358,0.000879,2.143781,0.000926,2.1086805,0.0009025
458.518127,2.071703,0.000748,2.141802,0.000789,2.1067525,0.0007685
460.215179,2.069846,0.000638,2.139845,0.000672,2.1048455,0.000655
