,SCAN,FIT
400,8.96,8.919257554
401,8.84,8.880766859
402,8.83,8.842789424
403,8.83,8.805312931
404,8.76,8.768333244
405,8.73,8.731838563
406,8.67,8.695816435
407,8.63,8.660270123
408,8.6,8.625187131
409,8.55,8.590554609
410,8.56,8.556364346
411,8.56,8.522608394
412,8.51,8.489281902
413,8.49,8.456380081
414,8.48,8.423895105
415,8.47,8.391815044
416,8.41,8.360132991
417,8.38,8.328845751
418,8.32,8.297949662
419,8.28,8.267433392
420,8.27,8.23728923
421,8.22,8.207512646
422,8.17,8.17809695
423,8.08,8.149038314
424,8.04,8.120331044
425,8.06,8.091965788
426,8.05,8.063939837
427,8.08,8.036247294
428,8.06,8.008878672
429,8.03,7.981836181
430,8.01,7.955114513
431,7.93,7.928700863
432,7.91,7.902594413
433,7.89,7.876791332
434,7.86,7.851283797
435,7.83,7.826070192
436,7.81,7.80114605
437,7.77,7.776503766
438,7.71,7.752141046
439,7.71,7.728056449
440,7.7,7.704246524
441,7.7,7.680701729
442,7.75,7.657414347
443,7.7,7.634382796
444,7.71,7.611611322
445,7.66,7.589097977
446,7.6,7.5668239
447,7.59,7.544790005
448,7.55,7.523006033
449,7.49,7.501455663
450,7.47,7.480130205
451,7.48,7.459037316
452,7.45,7.438176798
453,7.48,7.417542259
454,7.46,7.397122144
455,7.43,7.376914268
456,7.39,7.356924946
457,7.36,7.337147884
458,7.35,7.317574912
459,7.32,7.298205983
460,7.31,7.279040522
461,7.28,7.260075999
462,7.28,7.241307059
463,7.28,7.222728759
464,7.24,7.204342071
465,7.26,7.186145698
466,7.23,7.16813337
467,7.21,7.15030293
468,7.19,7.132654888
469,7.16,7.115185769
470,7.15,7.097891102
471,7.14,7.080767755
472,7.11,7.063814887
473,7.08,7.047034466
474,7.05,7.030421078
475,7.03,7.013964049
476,7.01,6.997666681
477,6.98,6.98153652
478,7,6.965565029
479,6.96,6.949742121
480,6.94,6.93406804
481,6.93,6.918544098
482,6.89,6.90316994
483,6.89,6.887943395
484,6.87,6.872860184
485,6.85,6.857916401
486,6.83,6.843108799
487,6.82,6.828437756
488,6.81,6.813905388
489,6.81,6.799505761
490,6.81,6.785230373
491,6.81,6.771083225
492,6.8,6.757071248
493,6.79,6.743187393
494,6.76,6.729421779
495,6.73,6.715774907
496,6.73,6.702249422
497,6.73,6.688843272
498,6.71,6.675553475
499,6.7,6.662378625
500,6.68,6.649317757
501,6.65,6.63636998
502,6.65,6.623533918
503,6.64,6.610806106
504,6.63,6.598182933
505,6.63,6.585662507
506,6.61,6.573243879
507,6.59,6.560928409
508,6.57,6.548717502
509,6.55,6.536608342
510,6.55,6.524596781
511,6.55,6.512680605
512,6.54,6.500858581
513,6.54,6.489130597
514,6.52,6.477497173
515,6.52,6.465956713
516,6.5,6.454505841
517,6.49,6.443142107
518,6.48,6.431864253
519,6.46,6.420672386
520,6.46,6.40956876
521,6.45,6.398553733
522,6.44,6.387622092
523,6.44,6.376768827
524,6.43,6.365993835
525,6.43,6.355298265
526,6.42,6.344682453
527,6.41,6.334146337
528,6.39,6.32368856
529,6.37,6.313306512
530,6.36,6.302997912
531,6.36,6.292761193
532,6.35,6.282595326
533,6.34,6.272500869
534,6.34,6.262478503
535,6.32,6.252526922
536,6.31,6.242643856
537,6.31,6.232827828
538,6.29,6.223078242
539,6.28,6.213395258
540,6.26,6.203780911
541,6.25,6.194236761
542,6.25,6.18475859
543,6.25,6.175339867
544,6.24,6.165979984
545,6.22,6.156685042
546,6.21,6.147459268
547,6.19,6.138299781
548,6.18,6.129202513
549,6.18,6.120165632
550,6.18,6.111188696
551,6.19,6.102271439
552,6.18,6.093413936
553,6.18,6.084616322
554,6.17,6.075878781
555,6.16,6.067201516
556,6.15,6.058584335
557,6.14,6.050026468
558,6.13,6.041526957
559,6.1,6.033083927
560,6.09,6.024695194
561,6.08,6.016360456
562,6.07,6.008082135
563,6.06,5.999862356
564,6.06,5.99169976
565,6.05,5.983591571
566,6.04,5.975536015
567,6.03,5.967533122
568,6.03,5.95958311
569,6.04,5.951686285
570,6.02,5.943843026
571,6.02,5.936053381
572,6.01,5.928316327
573,5.99,5.920630653
574,5.98,5.912995728
575,5.97,5.905411551
576,5.97,5.897878096
577,5.96,5.890394982
578,5.96,5.882961705
579,5.96,5.8755778
580,5.95,5.868242866
581,5.94,5.860956523
582,5.93,5.853718952
583,5.92,5.846530978
584,5.92,5.839393227
585,5.91,5.832304036
586,5.9,5.825260503
587,5.89,5.818260558
588,5.88,5.811305724
589,5.88,5.804398476
590,5.87,5.797539984
591,5.86,5.790728542
592,5.86,5.783962096
593,5.85,5.777239732
594,5.85,5.770561983
595,5.83,5.763929425
596,5.82,5.757341949
597,5.81,5.750798909
598,5.81,5.744299657
599,5.82,5.737843467
600,5.82,5.731429552
601,5.81,5.725057293
602,5.8,5.718727251
603,5.79,5.712440476
604,5.77,5.706197672
605,5.77,5.699997776
606,5.77,5.693839172
607,5.75,5.687720645
608,5.75,5.681642648
609,5.74,5.675606065
610,5.73,5.669611338
611,5.73,5.663657219
612,5.73,5.657742063
613,5.72,5.651864769
614,5.72,5.646026243
615,5.72,5.640227861
616,5.72,5.634470551
617,5.72,5.628753403
618,5.71,5.623075047
619,5.71,5.617434306
620,5.69,5.611830953
621,5.69,5.606265038
622,5.69,5.600736537
623,5.68,5.595244935
624,5.68,5.589789529
625,5.68,5.584369687
626,5.67,5.578985337
627,5.67,5.573636709
628,5.65,5.568323984
629,5.64,5.563046581
630,5.63,5.557803313
631,5.63,5.552592996
632,5.62,5.547415078
633,5.62,5.542269818
634,5.61,5.537157523
635,5.6,5.532078153
636,5.6,5.527030851
637,5.58,5.52201465
638,5.58,5.517028746
639,5.58,5.512073144
640,5.57,5.5071481
641,5.57,5.502253855
642,5.57,5.497390352
643,5.56,5.492557322
644,5.56,5.487754481
645,5.55,5.482981378
646,5.55,5.478237326
647,5.53,5.473521632
648,5.52,5.468833737
649,5.52,5.46417362
650,5.51,5.459541389
651,5.49,5.454937126
652,5.49,5.450360562
653,5.48,5.445811178
654,5.48,5.441288459
655,5.49,5.436791968
656,5.49,5.43232144
657,5.49,5.42787663
658,5.48,5.423457284
659,5.48,5.41906314
660,5.48,5.414693931
661,5.47,5.410349394
662,5.46,5.406029258
663,5.46,5.401733224
664,5.45,5.397460996
665,5.44,5.393212292
666,5.44,5.388986976
667,5.43,5.38478499
668,5.42,5.380606279
669,5.42,5.376450769
670,5.42,5.372318352
671,5.42,5.368208916
672,5.4,5.364122337
673,5.4,5.360058308
674,5.4,5.356016348
675,5.38,5.351995971
676,5.39,5.34799672
677,5.38,5.344018303
678,5.38,5.340060488
679,5.37,5.336123048
680,5.38,5.332205854
681,5.38,5.328308996
682,5.37,5.324432589
683,5.37,5.32057673
684,5.35,5.316741112
685,5.33,5.312925004
686,5.33,5.309127657
687,5.33,5.305348399
688,5.33,5.30158731
689,5.32,5.297844889
690,5.32,5.294121643
691,5.3,5.290417938
692,5.3,5.286733429
693,5.3,5.28306753
694,5.3,5.279419661
695,5.31,5.275789281
696,5.3,5.272175978
697,5.29,5.268579365
698,5.29,5.264999053
699,5.28,5.261434904
700,5.27,5.257887413
