,SCAN,FIT
400,4.72,4.803061367
401,4.73,4.799675737
402,4.76,4.796305645
403,4.8,4.792961453
404,4.88,4.78963791
405,4.85,4.786328968
406,4.89,4.783037563
407,4.93,4.779770449
408,4.98,4.776528918
409,4.95,4.773308214
410,4.95,4.770102516
411,4.84,4.766911865
412,4.76,4.763742522
413,4.74,4.760597015
414,4.72,4.757473973
415,4.74,4.75437486
416,4.79,4.751292943
417,4.85,4.748226228
418,4.76,4.745182347
419,4.77,4.742160661
420,4.78,4.739159775
421,4.72,4.736180298
422,4.71,4.733223667
423,4.75,4.730282486
424,4.76,4.727355926
425,4.77,4.724457431
426,4.73,4.721584244
427,4.72,4.718727381
428,4.74,4.715882004
429,4.72,4.713060744
430,4.73,4.710265278
431,4.77,4.707486804
432,4.73,4.704734393
433,4.79,4.702004195
434,4.74,4.699283532
435,4.73,4.696585211
436,4.79,4.69391199
437,4.73,4.691254935
438,4.75,4.688620241
439,4.81,4.686009614
440,4.83,4.683416282
441,4.79,4.680838981
442,4.8,4.678279914
443,4.78,4.675743157
444,4.77,4.673230316
445,4.79,4.670739522
446,4.76,4.668264635
447,4.75,4.665807587
448,4.74,4.663373718
449,4.73,4.660957575
450,4.74,4.658556361
451,4.75,4.656174295
452,4.73,4.653818455
453,4.71,4.651489888
454,4.7,4.649171874
455,4.64,4.646864024
456,4.64,4.644582571
457,4.67,4.642326718
458,4.65,4.640089065
459,4.66,4.637863957
460,4.66,4.635654804
461,4.65,4.633472033
462,4.66,4.631308986
463,4.66,4.629156635
464,4.69,4.627024356
465,4.69,4.624917151
466,4.71,4.622828495
467,4.7,4.620756152
468,4.66,4.618701537
469,4.66,4.616664935
470,4.65,4.614645793
471,4.64,4.612642471
472,4.62,4.61065627
473,4.62,4.608692878
474,4.61,4.606749164
475,4.6,4.604815365
476,4.62,4.602895722
477,4.62,4.60099909
478,4.61,4.599119897
479,4.62,4.597250674
480,4.61,4.595391786
481,4.61,4.593545135
482,4.62,4.591712746
483,4.61,4.589896411
484,4.6,4.58809736
485,4.58,4.586312045
486,4.58,4.584533066
487,4.57,4.582761192
488,4.6,4.581002138
489,4.6,4.579253225
490,4.62,4.577508794
491,4.62,4.575774492
492,4.59,4.574058111
493,4.59,4.572351932
494,4.58,4.570645894
495,4.58,4.568945167
496,4.58,4.567257199
497,4.58,4.565579338
498,4.58,4.563907277
499,4.59,4.562241128
500,4.59,4.560581961
501,4.59,4.558930169
502,4.59,4.55728555
503,4.58,4.555646133
504,4.56,4.554009838
505,4.55,4.552376128
506,4.55,4.550745273
507,4.55,4.549119441
508,4.56,4.547500893
509,4.55,4.54588874
510,4.55,4.544280804
511,4.54,4.542674154
512,4.55,4.541066042
513,4.56,4.53945947
514,4.56,4.537860548
515,4.55,4.536268823
516,4.55,4.534678535
517,4.55,4.533086908
518,4.56,4.531494772
519,4.55,4.529903548
520,4.55,4.528315323
521,4.53,4.526731296
522,4.53,4.525150138
523,4.54,4.523569958
524,4.54,4.521988214
525,4.54,4.520402769
526,4.54,4.518816586
527,4.55,4.517234963
528,4.54,4.515657891
529,4.54,4.5140805
530,4.53,4.512499777
531,4.53,4.510916207
532,4.53,4.509330836
533,4.54,4.507745477
534,4.53,4.506161835
535,4.53,4.50457924
536,4.52,4.502995852
537,4.52,4.501410381
538,4.52,4.499822152
539,4.54,4.49823183
540,4.54,4.496643483
541,4.54,4.495060845
542,4.54,4.493481411
543,4.52,4.491900107
544,4.51,4.490316186
545,4.51,4.488733796
546,4.51,4.487156295
547,4.52,4.48558368
548,4.51,4.484015228
549,4.51,4.482449668
550,4.52,4.480885395
551,4.53,4.479321813
552,4.53,4.477760264
553,4.51,4.47620224
554,4.52,4.47464876
555,4.51,4.473100635
556,4.49,4.471558492
557,4.5,4.47002268
558,4.51,4.468493251
559,4.51,4.466968588
560,4.51,4.465446501
561,4.51,4.463927005
562,4.51,4.462413297
563,4.49,4.460908303
564,4.49,4.45941144
565,4.5,4.457920689
566,4.49,4.456434626
567,4.49,4.454952913
568,4.48,4.453475494
569,4.47,4.452004021
570,4.47,4.450541157
571,4.48,4.449088582
572,4.48,4.447645015
573,4.49,4.446208664
574,4.49,4.444778611
575,4.49,4.443354875
576,4.48,4.441937619
577,4.47,4.440527705
578,4.48,4.439126282
579,4.48,4.437733992
580,4.49,4.436350184
581,4.49,4.434974054
582,4.49,4.433606054
583,4.49,4.432248048
584,4.48,4.430901617
585,4.48,4.429565058
586,4.47,4.428234893
587,4.47,4.426908831
588,4.48,4.425589615
589,4.47,4.424281301
590,4.48,4.422986178
591,4.46,4.421702692
592,4.46,4.42042881
593,4.46,4.419163401
594,4.44,4.417906483
595,4.44,4.416658183
596,4.44,4.415419201
597,4.44,4.414190701
598,4.44,4.412973668
599,4.45,4.411767275
600,4.45,4.410569694
601,4.44,4.409379508
602,4.44,4.408198029
603,4.44,4.407027657
604,4.44,4.405870217
605,4.45,4.404724696
606,4.45,4.403589206
607,4.45,4.402462416
608,4.44,4.401345276
609,4.44,4.400239321
610,4.42,4.399145497
611,4.42,4.39806255
612,4.42,4.396988717
613,4.42,4.395922925
614,4.43,4.394866661
615,4.43,4.393822004
616,4.43,4.392790452
617,4.43,4.391771181
618,4.42,4.390762781
619,4.42,4.389764082
620,4.42,4.388775029
621,4.42,4.387795901
622,4.42,4.386826924
623,4.43,4.385867991
624,4.43,4.38491887
625,4.43,4.383979353
626,4.44,4.383049474
627,4.44,4.382129392
628,4.43,4.381219235
629,4.43,4.380318586
630,4.41,4.379426592
631,4.41,4.378542402
632,4.4,4.377665704
633,4.41,4.376796876
634,4.4,4.375936339
635,4.39,4.375084067
636,4.4,4.374239005
637,4.39,4.373399955
638,4.4,4.372566131
639,4.4,4.371738696
640,4.4,4.370919396
641,4.4,4.370109807
642,4.4,4.369309544
643,4.39,4.368516937
644,4.39,4.367730312
645,4.39,4.366948785
646,4.39,4.366172658
647,4.38,4.36540233
648,4.37,4.3646381
649,4.38,4.363879867
650,4.37,4.363127433
651,4.37,4.362380609
652,4.37,4.361639395
653,4.36,4.360903927
654,4.37,4.360174344
655,4.37,4.359450582
656,4.37,4.35873211
657,4.36,4.358018338
658,4.35,4.357308718
659,4.33,4.356603135
660,4.33,4.355901702
661,4.34,4.355204532
662,4.34,4.354511686
663,4.35,4.353823121
664,4.35,4.353138781
665,4.35,4.352458611
666,4.36,4.351782555
667,4.35,4.351110556
668,4.36,4.350442561
669,4.35,4.34977855
670,4.34,4.349118606
671,4.35,4.348462823
672,4.34,4.347811284
673,4.35,4.34716378
674,4.35,4.346519843
675,4.34,4.345878996
676,4.34,4.345240826
677,4.33,4.344605278
678,4.32,4.343972418
679,4.32,4.343342311
680,4.31,4.342715033
681,4.3,4.342090679
682,4.31,4.341469346
683,4.3,4.340851119
684,4.31,4.34023578
685,4.31,4.339622795
686,4.31,4.339011614
687,4.32,4.338401755
688,4.32,4.337793401
689,4.33,4.337187112
690,4.32,4.336583449
691,4.31,4.335982858
692,4.3,4.335385179
693,4.31,4.334790051
694,4.31,4.334197111
695,4.31,4.333605965
696,4.31,4.333016099
697,4.3,4.332426976
698,4.3,4.331838062
699,4.31,4.331249252
700,4.3,4.330661524
