nm,R
400,0.503722527
401,0.450561973
402,0.385286469
403,0.371250914
404,0.450506001
405,0.492526037
406,0.448426016
407,0.41938446
408,0.408355057
409,0.398316771
410,0.377255808
411,0.416332723
412,0.451343052
413,0.426375308
414,0.403335666
415,0.397325537
416,0.387289679
417,0.314113256
418,0.308104267
419,0.376182267
420,0.362111617
421,0.349141191
422,0.370184718
423,0.385235267
424,0.400290287
425,0.402251887
426,0.410192415
427,0.387195559
428,0.38007736
429,0.402083559
430,0.385095293
431,0.418108048
432,0.35415534
433,0.310100109
434,0.294077924
435,0.312084025
436,0.324077889
437,0.326125098
438,0.360153501
439,0.360153501
440,0.365168861
441,0.363086222
442,0.3360636
443,0.342053401
444,0.337040087
445,0.319066716
446,0.34706721
447,0.314056039
448,0.340097024
449,0.349141191
450,0.32810438
451,0.334101722
452,0.341076696
453,0.299026982
454,0.298043117
455,0.332027271
456,0.34901216
457,0.354026898
458,0.34706721
459,0.325059876
460,0.292048024
461,0.297056281
462,0.293034641
463,0.305017288
464,0.322976001
465,0.322976001
466,0.306970626
467,0.311980963
468,0.33995178
469,0.327988041
470,0.32992535
471,0.336864238
472,0.319900905
473,0.330889572
474,0.342836877
475,0.335902753
476,0.330889572
477,0.309878444
478,0.29291417
479,0.298892078
480,0.276919011
481,0.264955895
482,0.2879056
483,0.288874012
484,0.299857968
485,0.300820908
486,0.2958112
487,0.288874012
488,0.288874012
489,0.299857968
490,0.310841812
491,0.299857968
492,0.277889946
493,0.278857929
494,0.273850631
495,0.262870181
496,0.279822963
497,0.273850631
498,0.290801988
499,0.284830971
500,0.301780902
501,0.290801988
502,0.290801988
503,0.285793271
504,0.285793271
505,0.285793271
506,0.26383752
507,0.29772782
508,0.291761556
509,0.275777325
510,0.286752627
511,0.269808434
512,0.275777325
513,0.28078505
514,0.286752627
515,0.292718183
516,0.303692062
517,0.303692062
518,0.308702902
519,0.308702902
520,0.29772782
521,0.269808434
522,0.258831708
523,0.269808434
524,0.258831708
525,0.26383752
526,0.257864583
527,0.269808434
528,0.269808434
529,0.264801913
530,0.253826391
531,0.258831708
532,0.258831708
533,0.247854872
534,0.264801913
535,0.25285948
536,0.241881329
537,0.241881329
538,0.246885227
539,0.258831708
540,0.258831708
541,0.253826391
542,0.253826391
543,0.242850759
544,0.237847141
545,0.231875017
546,0.237847141
547,0.243817241
548,0.243817241
549,0.24478078
550,0.24478078
551,0.238813409
552,0.24978532
553,0.238813409
554,0.243817241
555,0.24478078
556,0.239776734
557,0.245741376
558,0.234773183
559,0.240737118
560,0.234773183
561,0.223804882
562,0.240737118
563,0.240737118
564,0.229770128
565,0.235733355
566,0.235733355
567,0.240737118
568,0.246699034
569,0.246699034
570,0.235733355
571,0.235733355
572,0.246699034
573,0.235733355
574,0.246699034
575,0.240737118
576,0.240737118
577,0.240737118
578,0.235733355
579,0.241694564
580,0.247653756
581,0.241694564
582,0.247653756
583,0.242649075
584,0.237644888
585,0.254560002
586,0.243600653
587,0.231687109
588,0.226684123
589,0.226684123
590,0.220725034
591,0.226684123
592,0.243600653
593,0.226684123
594,0.232641197
595,0.221681633
596,0.226684123
597,0.238596257
598,0.233592355
599,0.239544696
600,0.245495026
601,0.234540585
602,0.222635299
603,0.233592355
604,0.233592355
605,0.233592355
606,0.234540585
607,0.223586036
608,0.21858362
609,0.235485889
610,0.241432801
611,0.247377703
612,0.241432801
613,0.213581698
614,0.21858362
615,0.21858362
616,0.20667713
617,0.228588948
618,0.228588948
619,0.245495026
620,0.228588948
621,0.234540585
622,0.24049021
623,0.228588948
624,0.229536968
625,0.229536968
626,0.223586036
627,0.229536968
628,0.21858362
629,0.21858362
630,0.229536968
631,0.235485889
632,0.246437825
633,0.247377703
634,0.230482064
635,0.225478734
636,0.225478734
637,0.236428272
638,0.237367735
639,0.2264207
640,0.232363494
641,0.227359748
642,0.227359748
643,0.227359748
644,0.227359748
645,0.233299833
646,0.238304282
647,0.244243064
648,0.233299833
649,0.233299833
650,0.222356497
651,0.228295881
652,0.228295881
653,0.228295881
654,0.229229101
655,0.218289461
656,0.218289461
657,0.229229101
658,0.228295881
659,0.235163777
660,0.246102011
661,0.235163777
662,0.230159413
663,0.218289461
664,0.218289461
665,0.213286994
666,0.224225438
667,0.208285021
668,0.214219596
669,0.209217418
670,0.198282562
671,0.192347387
672,0.193282074
673,0.204215735
674,0.204215735
675,0.221079165
676,0.209217418
677,0.226082744
678,0.22700704
679,0.237937894
680,0.232932918
681,0.216999972
682,0.216999972
683,0.227928437
684,0.227928437
685,0.244778684
686,0.238856798
687,0.227928437
688,0.227928437
689,0.23385162
690,0.23385162
691,0.223842748
692,0.240685922
693,0.218839056
694,0.229762541
695,0.223842748
696,0.23568034
697,0.241596147
698,0.230675254
699,0.230675254
700,0.224758151
