,glass,SiO2,SiO2H
400,4.72,4.39,4.91
401,4.73,4.37,4.89
402,4.76,4.45,4.88
403,4.8,4.42,4.94
404,4.88,4.42,4.85
405,4.85,4.37,4.93
406,4.89,4.28,4.93
407,4.93,4.32,4.95
408,4.98,4.35,4.94
409,4.95,4.4,4.92
410,4.95,4.42,4.95
411,4.84,4.46,4.95
412,4.76,4.44,5
413,4.74,4.42,4.99
414,4.72,4.43,4.98
415,4.74,4.4,4.98
416,4.79,4.37,4.91
417,4.85,4.38,4.86
418,4.76,4.34,4.84
419,4.77,4.39,4.84
420,4.78,4.35,4.83
421,4.72,4.36,4.79
422,4.71,4.36,4.81
423,4.75,4.33,4.77
424,4.76,4.32,4.7
425,4.77,4.33,4.71
426,4.73,4.31,4.74
427,4.72,4.36,4.75
428,4.74,4.4,4.79
429,4.72,4.42,4.8
430,4.73,4.43,4.82
431,4.77,4.35,4.81
432,4.73,4.28,4.82
433,4.79,4.26,4.82
434,4.74,4.26,4.8
435,4.73,4.28,4.77
436,4.79,4.3,4.78
437,4.73,4.32,4.76
438,4.75,4.29,4.77
439,4.81,4.29,4.78
440,4.83,4.33,4.77
441,4.79,4.29,4.78
442,4.8,4.3,4.77
443,4.78,4.31,4.75
444,4.77,4.28,4.78
445,4.79,4.28,4.74
446,4.76,4.29,4.75
447,4.75,4.28,4.77
448,4.74,4.29,4.76
449,4.73,4.28,4.77
450,4.74,4.3,4.74
451,4.75,4.33,4.73
452,4.73,4.32,4.72
453,4.71,4.32,4.74
454,4.7,4.32,4.74
455,4.64,4.3,4.72
456,4.64,4.3,4.7
457,4.67,4.27,4.7
458,4.65,4.26,4.67
459,4.66,4.25,4.67
460,4.66,4.21,4.68
461,4.65,4.21,4.65
462,4.66,4.22,4.67
463,4.66,4.23,4.67
464,4.69,4.23,4.69
465,4.69,4.23,4.72
466,4.71,4.26,4.7
467,4.7,4.27,4.7
468,4.66,4.26,4.69
469,4.66,4.27,4.68
470,4.65,4.24,4.69
471,4.64,4.23,4.7
472,4.62,4.21,4.69
473,4.62,4.18,4.68
474,4.61,4.19,4.68
475,4.6,4.19,4.68
476,4.62,4.21,4.67
477,4.62,4.22,4.67
478,4.61,4.21,4.67
479,4.62,4.21,4.68
480,4.61,4.2,4.67
481,4.61,4.19,4.67
482,4.62,4.21,4.68
483,4.61,4.23,4.66
484,4.6,4.22,4.66
485,4.58,4.23,4.65
486,4.58,4.23,4.63
487,4.57,4.22,4.63
488,4.6,4.2,4.63
489,4.6,4.2,4.63
490,4.62,4.22,4.64
491,4.62,4.21,4.65
492,4.59,4.22,4.65
493,4.59,4.2,4.64
494,4.58,4.18,4.64
495,4.58,4.17,4.64
496,4.58,4.16,4.63
497,4.58,4.17,4.64
498,4.58,4.17,4.64
499,4.59,4.17,4.64
500,4.59,4.18,4.63
501,4.59,4.17,4.62
502,4.59,4.17,4.63
503,4.58,4.17,4.62
504,4.56,4.17,4.62
505,4.55,4.17,4.61
506,4.55,4.17,4.6
507,4.55,4.18,4.6
508,4.56,4.18,4.59
509,4.55,4.18,4.6
510,4.55,4.17,4.61
511,4.54,4.15,4.61
512,4.55,4.16,4.61
513,4.56,4.16,4.61
514,4.56,4.16,4.6
515,4.55,4.15,4.61
516,4.55,4.14,4.6
517,4.55,4.14,4.59
518,4.56,4.14,4.59
519,4.55,4.15,4.59
520,4.55,4.16,4.59
521,4.53,4.16,4.6
522,4.53,4.16,4.61
523,4.54,4.16,4.61
524,4.54,4.16,4.61
525,4.54,4.16,4.61
526,4.54,4.16,4.61
527,4.55,4.15,4.6
528,4.54,4.15,4.6
529,4.54,4.14,4.6
530,4.53,4.15,4.59
531,4.53,4.14,4.58
532,4.53,4.14,4.59
533,4.54,4.14,4.59
534,4.53,4.13,4.58
535,4.53,4.13,4.59
536,4.52,4.14,4.58
537,4.52,4.15,4.58
538,4.52,4.15,4.59
539,4.54,4.14,4.59
540,4.54,4.14,4.59
541,4.54,4.14,4.59
542,4.54,4.13,4.58
543,4.52,4.15,4.58
544,4.51,4.14,4.58
545,4.51,4.14,4.59
546,4.51,4.14,4.59
547,4.52,4.15,4.58
548,4.51,4.15,4.58
549,4.51,4.16,4.56
550,4.52,4.15,4.55
551,4.53,4.13,4.56
552,4.53,4.13,4.55
553,4.51,4.12,4.56
554,4.52,4.12,4.56
555,4.51,4.12,4.56
556,4.49,4.12,4.56
557,4.5,4.12,4.57
558,4.51,4.13,4.56
559,4.51,4.13,4.56
560,4.51,4.13,4.56
561,4.51,4.13,4.56
