nm,n,k
381.203583,2.219883,0.054597
382.375854,2.217017,0.053291
383.555359,2.214192,0.052024
384.742188,2.211406,0.050793
385.936371,2.208659,0.049598
387.138,2.20595,0.048437
388.347107,2.203278,0.047309
389.563812,2.200643,0.046212
390.788177,2.198043,0.045147
392.020233,2.195477,0.04411
393.260071,2.192946,0.043102
394.507813,2.190447,0.042122
395.763489,2.187981,0.041168
397.027161,2.185546,0.04024
398.298981,2.183143,0.039337
399.578918,2.180769,0.038457
400.867126,2.178425,0.037601
402.163696,2.17611,0.036766
403.468658,2.173823,0.035954
404.782135,2.171564,0.035162
406.104156,2.169332,0.03439
407.434875,2.167125,0.033638
408.774323,2.164945,0.032905
410.12262,2.162789,0.03219
411.479828,2.160659,0.031493
412.846039,2.158552,0.030813
414.221375,2.156468,0.03015
415.605896,2.154408,0.029502
416.999695,2.15237,0.028871
418.402893,2.150354,0.028254
419.815521,2.148359,0.027652
421.237732,2.146385,0.027065
422.669617,2.144432,0.026491
424.111328,2.142498,0.02593
425.562836,2.140584,0.025383
427.024353,2.138689,0.024848
428.495941,2.136813,0.024325
429.977722,2.134954,0.023814
431.469788,2.133114,0.023315
432.972229,2.131291,0.022827
434.485168,2.129484,0.022349
436.008698,2.127695,0.021883
437.542969,2.125921,0.021426
439.088043,2.124163,0.02098
440.644104,2.122421,0.020543
442.211243,2.120693,0.020116
443.789551,2.118981,0.019698
445.37915,2.117282,0.019289
446.980225,2.115597,0.018888
448.592834,2.113927,0.018496
450.217102,2.112269,0.018113
451.85318,2.110624,0.017737
453.501129,2.108992,0.017369
455.161224,2.107372,0.017009
456.833496,2.105765,0.016656
458.518127,2.104168,0.01631
460.215179,2.102584,0.015971
461.924896,2.10101,0.01564
463.647308,2.099447,0.015315
465.38266,2.097894,0.014996
467.131042,2.096352,0.014684
468.892578,2.09482,0.014378
470.66748,2.093297,0.014078
472.455872,2.091784,0.013784
474.257904,2.090279,0.013495
476.07373,2.088784,0.013213
477.903503,2.087297,0.012935
479.747406,2.085818,0.012663
481.605621,2.084348,0.012397
483.47821,2.082885,0.012135
485.36554,2.081429,0.011878
487.267517,2.079982,0.011627
489.18457,2.07854,0.01138
491.116699,2.077106,0.011137
493.064148,2.075679,0.010899
495.027161,2.074257,0.010666
497.005859,2.072842,0.010437
499.000397,2.071432,0.010212
501.011047,2.070028,0.009991
503.037933,2.068629,0.009775
505.081299,2.067236,0.009562
507.141357,2.065847,0.009353
509.218262,2.064463,0.009148
511.312256,2.063083,0.008947
513.423523,2.061708,0.008749
515.552368,2.060336,0.008555
517.698853,2.058969,0.008365
519.863342,2.057604,0.008178
522.046021,2.056243,0.007994
524.247009,2.054885,0.007813
526.466736,2.05353,0.007636
528.705322,2.052177,0.007462
530.963013,2.050827,0.007291
533.240051,2.049479,0.007123
535.536621,2.048133,0.006957
537.853149,2.046788,0.006795
540.189819,2.045445,0.006636
542.546875,2.044104,0.006479
544.924622,2.042763,0.006326
547.323242,2.041423,0.006174
549.743103,2.040083,0.006026
552.184448,2.038744,0.00588
554.647583,2.037405,0.005737
557.132751,2.036066,0.005596
559.64032,2.034727,0.005458
562.170593,2.033386,0.005322
564.723816,2.032045,0.005188
567.300354,2.030703,0.005057
569.900513,2.02936,0.004928
572.524536,2.028015,0.004801
575.172974,2.026668,0.004677
577.845947,2.025319,0.004555
580.543823,2.023968,0.004434
583.267151,2.022614,0.004316
586.016052,2.021257,0.0042
588.790894,2.019897,0.004087
591.592285,2.018534,0.003975
594.420471,2.017167,0.003865
597.275757,2.015797,0.003757
600.15863,2.014422,0.003651
603.069458,2.013043,0.003547
606.008667,2.011659,0.003445
608.976685,2.01027,0.003344
611.973938,2.008876,0.003246
615.000793,2.007476,0.003149
618.057739,2.00607,0.003054
621.145264,2.004658,0.002961
624.263794,2.00324,0.002869
627.413757,2.001815,0.002779
630.595703,2.000383,0.002691
633.810059,1.998943,0.002605
637.057312,1.997496,0.00252
640.338074,1.99604,0.002437
643.652771,1.994576,0.002355
647.002014,1.993104,0.002275
650.386292,1.991622,0.002197
653.806091,1.99013,0.00212
657.262085,1.988629,0.002045
660.754822,1.987117,0.001971
664.284851,1.985595,0.001899
667.852844,1.984062,0.001828
671.45929,1.982517,0.001759
675.104919,1.980961,0.001692
678.790405,1.979392,0.001625
682.516357,1.97781,0.001561
686.283386,1.976215,0.001497
690.092285,1.974607,0.001435
693.943665,1.972984,0.001375
697.838257,1.971347,0.001316
701.776855,1.969695,0.001258
705.760132,1.968027,0.001202
