,n1,n2,k1,k2
245.89743,2.472319,2.606928,1.174918,1.305788
247.487381,2.503301,2.637186,1.164188,1.298864
249.077316,2.533854,2.667656,1.152105,1.289856
250.667236,2.563895,2.698162,1.138684,1.278801
252.257172,2.593343,2.728537,1.123948,1.265743
253.847092,2.622112,2.758616,1.107925,1.25073
255.437012,2.650122,2.788244,1.090652,1.233817
257.026917,2.677295,2.81727,1.072171,1.215069
258.616821,2.703552,2.845549,1.052533,1.194555
260.206726,2.728823,2.872944,1.031793,1.172356
261.7966,2.753037,2.899324,1.010015,1.14856
263.386505,2.776133,2.92457,0.987266,1.123263
264.976379,2.79805,2.948567,0.963622,1.096573
266.566223,2.81874,2.971216,0.93916,1.0686
268.156067,2.838156,2.992425,0.913964,1.039464
269.745911,2.856261,3.012115,0.888119,1.009291
271.335754,2.873026,3.030222,0.861714,0.978211
272.925598,2.888428,3.046689,0.834839,0.946356
274.515411,2.902452,3.061479,0.807586,0.913864
276.105194,2.915093,3.074562,0.780045,0.880869
277.695007,2.92635,3.085925,0.752306,0.847507
279.28476,2.936232,3.095567,0.72446,0.813913
280.874542,2.944754,3.103497,0.69659,0.780215
282.464294,2.951939,3.109737,0.668781,0.746541
284.054016,2.957814,3.11432,0.641113,0.713009
285.643738,2.962412,3.117288,0.613662,0.679735
287.233459,2.965773,3.118692,0.586497,0.646823
288.823181,2.967939,3.118589,0.559686,0.614374
290.412842,2.968957,3.117045,0.53329,0.582476
292.002502,2.968878,3.114129,0.507365,0.551213
293.592163,2.967753,3.109915,0.481962,0.520657
295.181824,2.965638,3.104481,0.457124,0.490872
296.771423,2.962588,3.097906,0.432894,0.461914
298.361023,2.95866,3.090271,0.409305,0.433831
299.950623,2.953912,3.081657,0.386387,0.406662
301.540192,2.9484,3.072145,0.364165,0.380439
303.12973,2.942182,3.061814,0.342659,0.355186
304.719269,2.935313,3.050743,0.321885,0.330922
306.308777,2.927848,3.039007,0.301854,0.307658
307.898285,2.919842,3.026682,0.282575,0.285401
309.487762,2.911345,3.013838,0.264051,0.26415
311.077209,2.90241,3.000543,0.246285,0.243903
312.666656,2.893082,2.986861,0.229275,0.224652
314.256073,2.88341,2.972855,0.213015,0.206385
315.845459,2.873438,2.958583,0.197499,0.189088
317.434845,2.863208,2.944099,0.182718,0.172743
319.0242,2.85276,2.929456,0.168662,0.157331
320.613525,2.842132,2.914701,0.155318,0.142829
322.20282,2.831359,2.89988,0.142671,0.129215
323.792114,2.820477,2.885035,0.130708,0.116464
325.381409,2.809516,2.870204,0.119412,0.10455
326.970642,2.798506,2.855423,0.108766,0.093446
328.559845,2.787476,2.840727,0.098752,0.083126
330.149017,2.776451,2.826144,0.089352,0.073562
331.73822,2.765455,2.811704,0.080548,0.064725
333.327332,2.75451,2.797432,0.072321,0.056589
334.916443,2.743638,2.783353,0.064652,0.049125
336.505554,2.732858,2.769487,0.05752,0.042307
338.094604,2.722187,2.755854,0.050908,0.036105
339.683655,2.711643,2.742473,0.044797,0.030494
341.272644,2.701239,2.729361,0.039166,0.025448
342.861633,2.69099,2.716531,0.033997,0.020939
344.450623,2.68091,2.703999,0.029273,0.016943
346.03952,2.67101,2.691777,0.024973,0.013434
347.628418,2.6613,2.679878,0.02108,0.010388
349.217316,2.65179,2.668312,0.017577,0.007782
350.806152,2.642491,2.657093,0.014446,0.005593
352.394958,2.633411,2.646231,0.01167,0.003798
353.983734,2.624557,2.635739,0.009233,0.002375
355.572479,2.615939,2.625632,0.007118,0.001304
357.161194,2.607563,2.615928,0.005309,0.000564
358.749908,2.599437,2.606654,0.003792,0.000136
360.338562,2.59157,2.597868,0.002551,0
361.927185,2.58397,2.589669,0.001572,0
363.515778,2.576649,2.581913,0.000841,0
365.10434,2.569619,2.574522,0.000345,0
366.692871,2.562903,2.567451,0.00007,0
368.281372,2.556552,2.560665,0,0
369.869812,2.550617,2.55414,0,0
371.458252,2.544989,2.547854,0,0
373.046631,2.53962,2.54179,0,0
374.63501,2.534478,2.535933,0,0
376.223328,2.529541,2.530269,0,0
377.811615,2.52479,2.524786,0,0
379.399841,2.520212,2.519475,0,0
380.988098,2.515793,2.514324,0,0
382.576233,2.511524,2.509326,0,0
384.164398,2.507393,2.504472,0,0
385.752502,2.503394,2.499755,0,0
387.340546,2.499518,2.49517,0,0
388.928589,2.495759,2.490708,0,0
390.516571,2.49211,2.486366,0,0
392.104523,2.488566,2.482137,0,0
393.692444,2.485122,2.478017,0,0
395.280304,2.481773,2.474001,0,0
396.868134,2.478514,2.470085,0,0
398.455902,2.475341,2.466264,0,0
400.043671,2.472251,2.462535,0,0
401.631378,2.46924,2.458895,0,0
403.219055,2.466305,2.45534,0,0
404.806671,2.463442,2.451866,0,0
406.394226,2.460649,2.448472,0,0
407.981781,2.457923,2.445153,0,0
409.569275,2.455261,2.441907,0,0
411.156738,2.452661,2.438733,0,0
412.744141,2.450121,2.435627,0,0
414.331482,2.447638,2.432586,0,0
415.918793,2.445211,2.42961,0,0
417.506042,2.442837,2.426696,0,0
419.093323,2.440515,2.423841,0,0
420.680481,2.438242,2.421044,0,0
422.267639,2.436018,2.418303,0,0
423.854675,2.433841,2.415617,0,0
425.441742,2.431708,2.412983,0,0
427.028748,2.429619,2.410401,0,0
428.615662,2.427573,2.407868,0,0
430.202576,2.425567,2.405383,0,0
431.789459,2.423601,2.402945,0,0
433.376221,2.421674,2.400553,0,0
434.962982,2.419784,2.398205,0,0
436.549713,2.41793,2.395899,0,0
438.136322,2.416111,2.393636,0,0
439.722961,2.414326,2.391412,0,0
441.309479,2.412575,2.389229,0,0
442.895996,2.410856,2.387084,0,0
444.482422,2.409168,2.384976,0,0
446.068848,2.407511,2.382905,0,0
447.655182,2.405884,2.380869,0,0
449.241455,2.404285,2.378868,0,0
450.827698,2.402715,2.376901,0,0
452.413879,2.401171,2.374967,0,0
454,2.399655,2.373065,0,0
455.58609,2.398165,2.371193,0,0
457.172119,2.396699,2.369353,0,0
458.758057,2.395259,2.367542,0,0
460.343994,2.393842,2.365761,0,0
461.92984,2.392449,2.364007,0,0
463.515625,2.391079,2.362282,0,0
465.101379,2.389731,2.360584,0,0
466.687073,2.388405,2.358912,0,0
468.272705,2.3871,2.357266,0,0
469.858246,2.385816,2.355645,0,0
471.443787,2.384552,2.354049,0,0
473.029236,2.383308,2.352477,0,0
474.614655,2.382083,2.350928,0,0
476.199951,2.380878,2.349403,0,0
477.785248,2.37969,2.3479,0,0
479.370453,2.378521,2.34642,0,0
480.955627,2.37737,2.344961,0,0
482.54071,2.376235,2.343523,0,0
484.125732,2.375118,2.342106,0,0
485.710754,2.374017,2.340709,0,0
487.295654,2.372932,2.339332,0,0
488.880463,2.371863,2.337975,0,0
490.465271,2.37081,2.336636,0,0
492.049988,2.369771,2.335317,0,0
493.634674,2.368748,2.334015,0,0
495.219299,2.367739,2.332732,0,0
496.803802,2.366744,2.331466,0,0
498.388275,2.365763,2.330217,0,0
499.972656,2.364796,2.328985,0,0
501.557037,2.363843,2.32777,0,0
503.141296,2.362902,2.326571,0,0
504.725494,2.361974,2.325388,0,0
506.309662,2.361059,2.32422,0,0
507.893707,2.360156,2.323068,0,0
509.477722,2.359265,2.321931,0,0
511.061676,2.358387,2.320809,0,0
512.645569,2.357519,2.319701,0,0
514.22937,2.356663,2.318607,0,0
515.81311,2.355819,2.317527,0,0
517.39679,2.354985,2.316461,0,0
518.980347,2.354162,2.315408,0,0
520.563904,2.35335,2.314369,0,0
522.147339,2.352548,2.313343,0,0
523.730774,2.351757,2.312329,0,0
525.314087,2.350975,2.311328,0,0
526.897339,2.350204,2.310339,0,0
528.48053,2.349441,2.309362,0,0
530.063599,2.348689,2.308397,0,0
531.646606,2.347945,2.307444,0,0
533.229614,2.347211,2.306502,0,0
534.8125,2.346486,2.305571,0,0
536.395325,2.34577,2.304652,0,0
537.978027,2.345062,2.303743,0,0
