nm,n,k
381.203583,2.337569,0
382.375854,2.334984,0
383.555359,2.332419,0
384.742188,2.329875,0
385.936371,2.327351,0
387.138,2.324847,0
388.347107,2.322363,0
389.563812,2.319899,0
390.788177,2.317454,0
392.020233,2.31503,0
393.260071,2.312625,0
394.507813,2.310239,0
395.763489,2.307873,0
397.027161,2.305526,0
398.298981,2.303198,0
399.578918,2.300889,0
400.867126,2.298599,0
402.163696,2.296328,0
403.468658,2.294075,0
404.782135,2.291841,0
406.104156,2.289625,0
407.434875,2.287428,0
408.774323,2.285249,0
410.12262,2.283088,0
411.479828,2.280945,0
412.846039,2.27882,0
414.221375,2.276713,0
415.605896,2.274623,0
416.999695,2.272551,0
418.402893,2.270497,0
419.815521,2.26846,0
421.237732,2.26644,0
422.669617,2.264437,0
424.111328,2.262452,0
425.562836,2.260483,0
427.024353,2.258531,0
428.495941,2.256596,0
429.977722,2.254678,0
431.469788,2.252776,0
432.972229,2.25089,0
434.485168,2.249021,0
436.008698,2.247168,0
437.542969,2.245331,0
439.088043,2.24351,0
440.644104,2.241706,0
442.211243,2.239917,0
443.789551,2.238143,0
445.37915,2.236386,0
446.980225,2.234643,0
448.592834,2.232917,0
450.217102,2.231205,0
451.85318,2.229509,0
453.501129,2.227828,0
455.161224,2.226162,0
456.833496,2.224511,0
458.518127,2.222874,0
460.215179,2.221253,0
461.924896,2.219646,0
463.647308,2.218054,0
465.38266,2.216476,0
467.131042,2.214912,0
468.892578,2.213363,0
470.66748,2.211828,0
472.455872,2.210307,0
474.257904,2.2088,0
476.07373,2.207306,0
477.903503,2.205827,0
479.747406,2.204361,0
481.605621,2.202909,0
483.47821,2.201471,0
485.36554,2.200045,0
487.267517,2.198633,0
489.18457,2.197235,0
491.116699,2.195849,0
493.064148,2.194477,0
495.027161,2.193118,0
497.005859,2.191771,0
499.000397,2.190437,0
501.011047,2.189116,0
503.037933,2.187808,0
505.081299,2.186512,0
507.141357,2.185228,0
509.218262,2.183957,0
511.312256,2.182698,0
513.423523,2.181452,0
515.552368,2.180217,0
517.698853,2.178994,0
519.863342,2.177783,0
522.046021,2.176585,0
524.247009,2.175397,0
526.466736,2.174222,0
528.705322,2.173058,0
530.963013,2.171906,0
533.240051,2.170765,0
535.536621,2.169635,0
537.853149,2.168516,0
540.189819,2.167409,0
542.546875,2.166313,0
544.924622,2.165228,0
547.323242,2.164154,0
549.743103,2.16309,0
552.184448,2.162037,0
554.647583,2.160995,0
557.132751,2.159964,0
559.64032,2.158943,0
562.170593,2.157932,0
564.723816,2.156932,0
567.300354,2.155942,0
569.900513,2.154963,0
572.524536,2.153993,0
575.172974,2.153033,0
577.845947,2.152084,0
580.543823,2.151144,0
583.267151,2.150214,0
586.016052,2.149294,0
588.790894,2.148384,0
591.592285,2.147483,0
594.420471,2.146591,0
597.275757,2.14571,0
600.15863,2.144837,0
603.069458,2.143974,0
606.008667,2.14312,0
608.976685,2.142275,0
611.973938,2.141439,0
615.000793,2.140612,0
618.057739,2.139794,0
621.145264,2.138985,0
624.263794,2.138185,0
627.413757,2.137393,0
630.595703,2.13661,0
633.810059,2.135835,0
637.057312,2.135069,0
640.338074,2.134312,0
643.652771,2.133563,0
647.002014,2.132822,0
650.386292,2.132089,0
653.806091,2.131365,0
657.262085,2.130648,0
660.754822,2.12994,0
664.284851,2.12924,0
667.852844,2.128547,0
671.45929,2.127862,0
675.104919,2.127185,0
678.790405,2.126516,0
682.516357,2.125854,0
686.283386,2.1252,0
690.092285,2.124553,0
693.943665,2.123914,0
697.838257,2.123282,0
701.776855,2.122658,0
705.760132,2.12204,0
709.78894,2.12143,0
713.863892,2.120827,0
717.985962,2.120231,0
722.155884,2.119642,0
726.374634,2.11906,0
730.642883,2.118484,0
734.961548,2.117916,0
739.331665,2.117354,0
743.754028,2.116799,0
748.229614,2.116251,0
752.759399,2.115709,0
757.344299,2.115173,0
761.985474,2.114645,0
766.683838,2.114122,0
771.440552,2.113606,0
776.256592,2.113096,0
781.133179,2.112592,0
786.071411,2.112094,0
791.07251,2.111603,0
796.137573,2.111117,0
801.268005,2.110638,0
806.464966,2.110164,0
811.729736,2.109697,0
817.063721,2.109235,0
822.468262,2.108779,0
827.944824,2.108328,0
833.494751,2.107884,0
839.119629,2.107445,0
844.820923,2.107011,0
850.600281,2.106583,0
856.459167,2.10616,0
862.399292,2.105743,0
868.422485,2.105331,0
874.530396,2.104924,0
880.724792,2.104523,0
887.007629,2.104127,0
893.380676,2.103736,0
