nm,n,k
245.89743,1.724165,0
247.487381,1.720372,0
249.077316,1.716684,0
250.667236,1.713099,0
252.257172,1.709612,0
253.847092,1.70622,0
255.437012,1.70292,0
257.026917,1.699708,0
258.616821,1.696582,0
260.206726,1.693539,0
261.7966,1.690576,0
263.386505,1.68769,0
264.976379,1.684878,0
266.566223,1.682139,0
268.156067,1.67947,0
269.745911,1.676869,0
271.335754,1.674333,0
272.925598,1.67186,0
274.515411,1.669449,0
276.105194,1.667097,0
277.695007,1.664803,0
279.28476,1.662565,0
280.874542,1.66038,0
282.464294,1.658248,0
284.054016,1.656167,0
285.643738,1.654135,0
287.233459,1.652151,0
288.823181,1.650213,0
290.412842,1.64832,0
292.002502,1.646471,0
293.592163,1.644664,0
295.181824,1.642898,0
296.771423,1.641172,0
298.361023,1.639485,0
299.950623,1.637835,0
301.540192,1.636222,0
303.12973,1.634645,0
304.719269,1.633102,0
306.308777,1.631592,0
307.898285,1.630115,0
309.487762,1.62867,0
311.077209,1.627256,0
312.666656,1.625872,0
314.256073,1.624516,0
315.845459,1.62319,0
317.434845,1.62189,0
319.0242,1.620618,0
320.613525,1.619372,0
322.20282,1.618151,0
323.792114,1.616955,0
325.381409,1.615784,0
326.970642,1.614635,0
328.559845,1.61351,0
330.149017,1.612407,0
331.73822,1.611326,0
333.327332,1.610266,0
334.916443,1.609226,0
336.505554,1.608207,0
338.094604,1.607207,0
339.683655,1.606227,0
341.272644,1.605265,0
342.861633,1.604321,0
344.450623,1.603396,0
346.03952,1.602487,0
347.628418,1.601596,0
349.217316,1.60072,0
350.806152,1.599861,0
352.394958,1.599018,0
353.983734,1.59819,0
355.572479,1.597377,0
357.161194,1.596579,0
358.749908,1.595795,0
360.338562,1.595025,0
361.927185,1.594268,0
363.515778,1.593525,0
365.10434,1.592795,0
366.692871,1.592077,0
368.281372,1.591372,0
369.869812,1.59068,0
371.458252,1.589999,0
373.046631,1.589329,0
374.63501,1.588671,0
376.223328,1.588024,0
377.811615,1.587388,0
379.399841,1.586763,0
380.988098,1.586148,0
382.576233,1.585543,0
384.164398,1.584948,0
385.752502,1.584363,0
387.340546,1.583787,0
388.928589,1.583221,0
390.516571,1.582664,0
392.104523,1.582115,0
393.692444,1.581576,0
395.280304,1.581045,0
396.868134,1.580522,0
398.455902,1.580008,0
400.043671,1.579501,0
401.631378,1.579003,0
403.219055,1.578512,0
404.806671,1.578029,0
406.394226,1.577553,0
407.981781,1.577084,0
409.569275,1.576623,0
411.156738,1.576168,0
412.744141,1.575721,0
414.331482,1.57528,0
415.918793,1.574845,0
417.506042,1.574417,0
419.093323,1.573996,0
420.680481,1.57358,0
422.267639,1.573171,0
423.854675,1.572767,0
425.441742,1.57237,0
427.028748,1.571978,0
428.615662,1.571591,0
430.202576,1.571211,0
431.789459,1.570835,0
433.376221,1.570465,0
434.962982,1.570101,0
436.549713,1.569741,0
438.136322,1.569386,0
439.722961,1.569036,0
441.309479,1.568691,0
442.895996,1.568351,0
444.482422,1.568016,0
446.068848,1.567685,0
447.655182,1.567358,0
449.241455,1.567036,0
450.827698,1.566719,0
452.413879,1.566405,0
454,1.566096,0
455.58609,1.565791,0
457.172119,1.56549,0
458.758057,1.565192,0
460.343994,1.564899,0
461.92984,1.56461,0
463.515625,1.564324,0
465.101379,1.564042,0
466.687073,1.563764,0
468.272705,1.563489,0
469.858246,1.563218,0
471.443787,1.56295,0
473.029236,1.562685,0
474.614655,1.562424,0
476.199951,1.562166,0
477.785248,1.561912,0
479.370453,1.561661,0
480.955627,1.561412,0
482.54071,1.561167,0
484.125732,1.560925,0
485.710754,1.560686,0
487.295654,1.560449,0
488.880463,1.560216,0
490.465271,1.559985,0
492.049988,1.559757,0
493.634674,1.559532,0
495.219299,1.55931,0
496.803802,1.55909,0
498.388275,1.558873,0
499.972656,1.558659,0
501.557037,1.558447,0
503.141296,1.558237,0
504.725494,1.55803,0
506.309662,1.557825,0
507.893707,1.557623,0
509.477722,1.557423,0
511.061676,1.557225,0
512.645569,1.55703,0
514.22937,1.556837,0
515.81311,1.556646,0
517.39679,1.556457,0
518.980347,1.55627,0
520.563904,1.556086,0
522.147339,1.555903,0
523.730774,1.555723,0
525.314087,1.555544,0
526.897339,1.555368,0
528.48053,1.555193,0
530.063599,1.555021,0
531.646606,1.55485,0
533.229614,1.554681,0
534.8125,1.554514,0
536.395325,1.554349,0
537.978027,1.554185,0
539.560669,1.554024,0
541.143311,1.553864,0
542.72583,1.553706,0
544.308228,1.553549,0
545.890625,1.553394,0
547.472961,1.553241,0
549.055115,1.553089,0
550.637329,1.552939,0
552.21936,1.552791,0
553.801331,1.552644,0
555.38324,1.552498,0
556.965088,1.552354,0
558.546814,1.552212,0
560.128479,1.552071,0
561.710083,1.551932,0
563.291626,1.551793,0
564.873047,1.551657,0
566.454407,1.551521,0
568.035645,1.551387,0
569.616821,1.551255,0
571.197937,1.551124,0
572.778992,1.550994,0
574.359924,1.550865,0
575.940796,1.550738,0
577.521606,1.550611,0
579.102234,1.550487,0
580.682861,1.550363,0
582.263428,1.55024,0
583.843872,1.550119,0
585.424194,1.549999,0
587.004517,1.54988,0
588.584656,1.549762,0
590.164795,1.549646,0
591.744751,1.54953,0
593.324707,1.549416,0
