nm,n,k
245.89743,1.623896,0.041149
247.487381,1.622251,0.039276
249.077316,1.620641,0.037511
250.667236,1.619066,0.035846
252.257172,1.617522,0.034275
253.847092,1.616011,0.03279
255.437012,1.61453,0.031388
257.026917,1.61308,0.030061
258.616821,1.611658,0.028807
260.206726,1.610266,0.027618
261.7966,1.608901,0.026493
263.386505,1.607563,0.025426
264.976379,1.606251,0.024414
266.566223,1.604965,0.023453
268.156067,1.603703,0.022542
269.745911,1.602466,0.021675
271.335754,1.601253,0.020852
272.925598,1.600062,0.020069
274.515411,1.598894,0.019324
276.105194,1.597748,0.018615
277.695007,1.596624,0.017939
279.28476,1.59552,0.017295
280.874542,1.594436,0.016681
282.464294,1.593372,0.016096
284.054016,1.592327,0.015537
285.643738,1.591302,0.015004
287.233459,1.590294,0.014494
288.823181,1.589305,0.014008
290.412842,1.588333,0.013542
292.002502,1.587378,0.013097
293.592163,1.58644,0.012671
295.181824,1.585518,0.012264
296.771423,1.584612,0.011873
298.361023,1.583722,0.011499
299.950623,1.582846,0.011141
301.540192,1.581986,0.010797
303.12973,1.58114,0.010467
304.719269,1.580308,0.010151
306.308777,1.57949,0.009848
307.898285,1.578686,0.009556
309.487762,1.577895,0.009276
311.077209,1.577117,0.009007
312.666656,1.576351,0.008748
314.256073,1.575598,0.0085
315.845459,1.574857,0.00826
317.434845,1.574128,0.00803
319.0242,1.573411,0.007809
320.613525,1.572705,0.007595
322.20282,1.57201,0.00739
323.792114,1.571326,0.007192
325.381409,1.570652,0.007001
326.970642,1.56999,0.006817
328.559845,1.569337,0.00664
330.149017,1.568694,0.006468
331.73822,1.568061,0.006303
333.327332,1.567438,0.006144
334.916443,1.566824,0.00599
336.505554,1.566219,0.005841
338.094604,1.565623,0.005697
339.683655,1.565037,0.005559
341.272644,1.564458,0.005424
342.861633,1.563889,0.005295
344.450623,1.563328,0.005169
346.03952,1.562774,0.005048
347.628418,1.562229,0.00493
349.217316,1.561692,0.004817
350.806152,1.561162,0.004706
352.394958,1.56064,0.0046
353.983734,1.560126,0.004497
355.572479,1.559619,0.004396
357.161194,1.559118,0.004299
358.749908,1.558625,0.004205
360.338562,1.558139,0.004114
361.927185,1.557659,0.004026
363.515778,1.557186,0.00394
365.10434,1.55672,0.003857
366.692871,1.55626,0.003776
368.281372,1.555806,0.003698
369.869812,1.555358,0.003622
371.458252,1.554917,0.003548
373.046631,1.554481,0.003476
374.63501,1.554051,0.003406
376.223328,1.553627,0.003339
377.811615,1.553208,0.003273
379.399841,1.552795,0.003209
380.988098,1.552388,0.003147
382.576233,1.551985,0.003086
384.164398,1.551588,0.003027
385.752502,1.551196,0.00297
387.340546,1.550809,0.002914
388.928589,1.550427,0.00286
390.516571,1.55005,0.002807
392.104523,1.549678,0.002756
393.692444,1.54931,0.002706
395.280304,1.548947,0.002657
396.868134,1.548589,0.002609
398.455902,1.548235,0.002563
400.043671,1.547886,0.002518
401.631378,1.54754,0.002474
403.219055,1.547199,0.002431
404.806671,1.546863,0.002389
406.394226,1.54653,0.002348
407.981781,1.546201,0.002309
409.569275,1.545877,0.00227
411.156738,1.545556,0.002232
412.744141,1.545239,0.002195
414.331482,1.544926,0.002159
415.918793,1.544617,0.002124
417.506042,1.544312,0.00209
419.093323,1.544009,0.002056
420.680481,1.543711,0.002023
422.267639,1.543416,0.001991
423.854675,1.543125,0.00196
425.441742,1.542837,0.00193
427.028748,1.542552,0.0019
428.615662,1.54227,0.001871
430.202576,1.541992,0.001842
431.789459,1.541717,0.001814
433.376221,1.541445,0.001787
434.962982,1.541176,0.001761
436.549713,1.540911,0.001734
438.136322,1.540648,0.001709
439.722961,1.540388,0.001684
441.309479,1.540131,0.00166
442.895996,1.539877,0.001636
444.482422,1.539626,0.001613
446.068848,1.539377,0.00159
447.655182,1.539132,0.001567
449.241455,1.538889,0.001545
450.827698,1.538648,0.001524
452.413879,1.538411,0.001503
454,1.538176,0.001483
455.58609,1.537943,0.001462
457.172119,1.537713,0.001443
458.758057,1.537485,0.001423
460.343994,1.53726,0.001404
461.92984,1.537037,0.001386
463.515625,1.536817,0.001368
465.101379,1.536599,0.00135
466.687073,1.536383,0.001332
468.272705,1.53617,0.001315
469.858246,1.535958,0.001298
471.443787,1.535749,0.001282
473.029236,1.535542,0.001266
474.614655,1.535338,0.00125
476.199951,1.535135,0.001234
477.785248,1.534934,0.001219
479.370453,1.534736,0.001204
480.955627,1.534539,0.00119
482.54071,1.534345,0.001175
484.125732,1.534153,0.001161
485.710754,1.533962,0.001147
487.295654,1.533773,0.001134
488.880463,1.533587,0.00112
490.465271,1.533402,0.001107
492.049988,1.533219,0.001094
493.634674,1.533038,0.001082
495.219299,1.532858,0.001069
496.803802,1.532681,0.001057
498.388275,1.532505,0.001045
499.972656,1.532331,0.001033
501.557037,1.532158,0.001022
503.141296,1.531987,0.00101
504.725494,1.531818,0.000999
506.309662,1.531651,0.000988
507.893707,1.531485,0.000977
509.477722,1.531321,0.000967
511.061676,1.531158,0.000956
512.645569,1.530997,0.000946
514.22937,1.530837,0.000936
515.81311,1.530679,0.000926
517.39679,1.530523,0.000916
518.980347,1.530367,0.000907
520.563904,1.530214,0.000897
522.147339,1.530062,0.000888
523.730774,1.529911,0.000879
525.314087,1.529762,0.00087
526.897339,1.529613,0.000861
528.48053,1.529467,0.000852
530.063599,1.529322,0.000844
531.646606,1.529178,0.000835
533.229614,1.529035,0.000827
534.8125,1.528894,0.000819
536.395325,1.528754,0.000811
537.978027,1.528615,0.000803
539.560669,1.528477,0.000795
541.143311,1.528341,0.000788
542.72583,1.528206,0.00078
544.308228,1.528072,0.000773
545.890625,1.52794,0.000765
547.472961,1.527808,0.000758
549.055115,1.527678,0.000751
550.637329,1.527549,0.000744
552.21936,1.527421,0.000737
553.801331,1.527294,0.000731
555.38324,1.527168,0.000724
556.965088,1.527044,0.000717
558.546814,1.52692,0.000711
560.128479,1.526798,0.000704
561.710083,1.526676,0.000698
563.291626,1.526556,0.000692
564.873047,1.526437,0.000686
566.454407,1.526318,0.00068
568.035645,1.526201,0.000674
569.616821,1.526085,0.000668
571.197937,1.52597,0.000662
572.778992,1.525855,0.000657
574.359924,1.525742,0.000651
575.940796,1.52563,0.000646
577.521606,1.525518,0.00064
579.102234,1.525408,0.000635
580.682861,1.525298,0.000629
582.263428,1.525189,0.000624
583.843872,1.525082,0.000619
585.424194,1.524975,0.000614
587.004517,1.524869,0.000609
588.584656,1.524764,0.000604
590.164795,1.52466,0.000599
591.744751,1.524556,0.000594
593.324707,1.524454,0.00059
594.904602,1.524352,0.000585
596.484314,1.524251,0.00058
598.064026,1.524151,0.000576
599.643555,1.524052,0.000571
601.223022,1.523954,0.000567
602.80249,1.523856,0.000562
604.381775,1.523759,0.000558
605.960999,1.523663,0.000554
607.540161,1.523568,0.00055
609.119202,1.523473,0.000545
610.69812,1.523379,0.000541
612.276978,1.523286,0.000537
613.855774,1.523194,0.000533
615.434448,1.523103,0.000529
617.013062,1.523012,0.000525
618.591553,1.522922,0.000521
620.169922,1.522832,0.000518
621.74823,1.522743,0.000514
623.326477,1.522655,0.00051
624.904602,1.522568,0.000506
626.482605,1.522481,0.000503
628.060547,1.522395,0.000499
629.638367,1.52231,0.000496
631.216125,1.522225,0.000492
632.793762,1.522141,0.000489
634.371277,1.522058,0.000485
635.94873,1.521975,0.000482
637.526123,1.521893,0.000479
639.103394,1.521812,0.000475
640.680542,1.521731,0.000472
642.257568,1.52165,0.000469
643.834595,1.521571,0.000466
645.411438,1.521492,0.000463
646.988159,1.521413,0.000459
648.564819,1.521335,0.000456
650.141418,1.521258,0.000453
651.717896,1.521181,0.00045
653.29425,1.521105,0.000447
654.870483,1.52103,0.000444
656.446655,1.520954,0.000442
658.022766,1.52088,0.000439
659.598694,1.520806,0.000436
661.174561,1.520733,0.000433
662.750305,1.52066,0.00043
664.325989,1.520587,0.000428
665.901489,1.520516,0.000425
667.476929,1.520444,0.000422
669.052307,1.520374,0.00042
670.627563,1.520303,0.000417
672.202637,1.520234,0.000414
673.77771,1.520164,0.000412
675.3526,1.520096,0.000409
676.927368,1.520027,0.000407
678.502075,1.51996,0.000404
680.076721,1.519892,0.000402
681.651184,1.519825,0.000399
683.225586,1.519759,0.000397
684.799866,1.519693,0.000395
686.374023,1.519628,0.000392
687.94812,1.519563,0.00039
689.522034,1.519498,0.000388
691.095825,1.519434,0.000385
692.669556,1.519371,0.000383
694.243225,1.519308,0.000381
695.816772,1.519245,0.000379
697.390137,1.519183,0.000377
698.96344,1.519121,0.000374
700.53656,1.519059,0.000372
702.10968,1.518998,0.00037
703.682617,1.518938,0.000368
705.255493,1.518878,0.000366
706.828186,1.518818,0.000364
708.400757,1.518758,0.000362
709.973267,1.5187,0.00036
711.545654,1.518641,0.000358
713.11792,1.518583,0.000356
714.690063,1.518525,0.000354
716.262146,1.518468,0.000352
717.834106,1.518411,0.00035
719.405884,1.518354,0.000348
720.977539,1.518298,0.000346
722.549133,1.518242,0.000344
724.120605,1.518187,0.000343
725.691956,1.518131,0.000341
727.263123,1.518077,0.000339
728.83429,1.518022,0.000337
730.405212,1.517968,0.000335
731.976135,1.517915,0.000334
733.546875,1.517861,0.000332
735.117493,1.517809,0.00033
