nm,n,k
245.89743,1.575571,0
247.487381,1.574964,0
249.077316,1.574358,0
250.667236,1.573753,0
252.257172,1.57315,0
253.847092,1.572548,0
255.437012,1.571949,0
257.026917,1.571352,0
258.616821,1.570758,0
260.206726,1.570166,0
261.7966,1.569577,0
263.386505,1.568991,0
264.976379,1.568409,0
266.566223,1.56783,0
268.156067,1.567254,0
269.745911,1.566682,0
271.335754,1.566114,0
272.925598,1.565549,0
274.515411,1.564988,0
276.105194,1.564432,0
277.695007,1.563879,0
279.28476,1.563331,0
280.874542,1.562786,0
282.464294,1.562246,0
284.054016,1.56171,0
285.643738,1.561178,0
287.233459,1.560651,0
288.823181,1.560128,0
290.412842,1.559609,0
292.002502,1.559095,0
293.592163,1.558585,0
295.181824,1.558079,0
296.771423,1.557579,0
298.361023,1.557082,0
299.950623,1.55659,0
301.540192,1.556102,0
303.12973,1.555619,0
304.719269,1.55514,0
306.308777,1.554665,0
307.898285,1.554195,0
309.487762,1.553729,0
311.077209,1.553268,0
312.666656,1.552811,0
314.256073,1.552358,0
315.845459,1.551909,0
317.434845,1.551465,0
319.0242,1.551025,0
320.613525,1.550589,0
322.20282,1.550158,0
323.792114,1.54973,0
325.381409,1.549307,0
326.970642,1.548888,0
328.559845,1.548473,0
330.149017,1.548062,0
331.73822,1.547655,0
333.327332,1.547252,0
334.916443,1.546852,0
336.505554,1.546457,0
338.094604,1.546066,0
339.683655,1.545679,0
341.272644,1.545295,0
342.861633,1.544915,0
344.450623,1.544539,0
346.03952,1.544167,0
347.628418,1.543798,0
349.217316,1.543433,0
350.806152,1.543072,0
352.394958,1.542714,0
353.983734,1.542359,0
355.572479,1.542009,0
357.161194,1.541661,0
358.749908,1.541317,0
360.338562,1.540977,0
361.927185,1.54064,0
363.515778,1.540306,0
365.10434,1.539975,0
366.692871,1.539648,0
368.281372,1.539324,0
369.869812,1.539003,0
371.458252,1.538685,0
373.046631,1.538371,0
374.63501,1.538059,0
376.223328,1.537751,0
377.811615,1.537446,0
379.399841,1.537143,0
380.988098,1.536844,0
382.576233,1.536548,0
384.164398,1.536254,0
385.752502,1.535963,0
387.340546,1.535675,0
388.928589,1.53539,0
390.516571,1.535108,0
392.104523,1.534829,0
393.692444,1.534552,0
395.280304,1.534278,0
396.868134,1.534006,0
398.455902,1.533737,0
400.043671,1.533471,0
401.631378,1.533207,0
403.219055,1.532946,0
404.806671,1.532687,0
406.394226,1.532431,0
407.981781,1.532177,0
409.569275,1.531926,0
411.156738,1.531677,0
412.744141,1.53143,0
414.331482,1.531186,0
415.918793,1.530944,0
417.506042,1.530705,0
419.093323,1.530467,0
420.680481,1.530232,0
422.267639,1.529999,0
423.854675,1.529769,0
425.441742,1.52954,0
427.028748,1.529314,0
428.615662,1.529089,0
430.202576,1.528867,0
431.789459,1.528647,0
433.376221,1.528429,0
434.962982,1.528213,0
436.549713,1.527999,0
438.136322,1.527787,0
439.722961,1.527577,0
441.309479,1.527368,0
442.895996,1.527162,0
444.482422,1.526958,0
446.068848,1.526755,0
447.655182,1.526555,0
449.241455,1.526356,0
450.827698,1.526159,0
452.413879,1.525963,0
454,1.52577,0
455.58609,1.525578,0
457.172119,1.525388,0
458.758057,1.5252,0
460.343994,1.525013,0
461.92984,1.524828,0
463.515625,1.524645,0
465.101379,1.524463,0
466.687073,1.524283,0
468.272705,1.524104,0
469.858246,1.523928,0
471.443787,1.523752,0
473.029236,1.523579,0
474.614655,1.523406,0
476.199951,1.523235,0
477.785248,1.523066,0
479.370453,1.522898,0
480.955627,1.522732,0
482.54071,1.522567,0
484.125732,1.522404,0
485.710754,1.522242,0
487.295654,1.522081,0
488.880463,1.521922,0
490.465271,1.521764,0
492.049988,1.521608,0
493.634674,1.521452,0
495.219299,1.521299,0
496.803802,1.521146,0
498.388275,1.520995,0
499.972656,1.520845,0
501.557037,1.520696,0
503.141296,1.520549,0
504.725494,1.520402,0
506.309662,1.520257,0
507.893707,1.520114,0
509.477722,1.519971,0
511.061676,1.51983,0
512.645569,1.51969,0
514.22937,1.519551,0
515.81311,1.519413,0
517.39679,1.519276,0
518.980347,1.51914,0
520.563904,1.519006,0
522.147339,1.518873,0
523.730774,1.51874,0
525.314087,1.518609,0
526.897339,1.518479,0
528.48053,1.51835,0
530.063599,1.518222,0
531.646606,1.518095,0
533.229614,1.517969,0
534.8125,1.517844,0
536.395325,1.51772,0
537.978027,1.517597,0
539.560669,1.517475,0
541.143311,1.517354,0
542.72583,1.517234,0
544.308228,1.517115,0
545.890625,1.516997,0
547.472961,1.51688,0
549.055115,1.516764,0
550.637329,1.516649,0
552.21936,1.516534,0
553.801331,1.516421,0
555.38324,1.516308,0
556.965088,1.516196,0
558.546814,1.516086,0
560.128479,1.515975,0
561.710083,1.515866,0
563.291626,1.515758,0
564.873047,1.515651,0
566.454407,1.515544,0
568.035645,1.515438,0
569.616821,1.515333,0
571.197937,1.515229,0
572.778992,1.515126,0
574.359924,1.515023,0
575.940796,1.514921,0
577.521606,1.51482,0
579.102234,1.51472,0
580.682861,1.51462,0
582.263428,1.514522,0
583.843872,1.514423,0
585.424194,1.514326,0
587.004517,1.51423,0
588.584656,1.514134,0
590.164795,1.514039,0
591.744751,1.513944,0
593.324707,1.513851,0
594.904602,1.513758,0
596.484314,1.513665,0
598.064026,1.513574,0
599.643555,1.513483,0
601.223022,1.513392,0
602.80249,1.513303,0
604.381775,1.513214,0
605.960999,1.513125,0
607.540161,1.513038,0
609.119202,1.512951,0
610.69812,1.512864,0
612.276978,1.512778,0
613.855774,1.512693,0
615.434448,1.512609,0
617.013062,1.512525,0
618.591553,1.512441,0
620.169922,1.512359,0
621.74823,1.512277,0
623.326477,1.512195,0
624.904602,1.512114,0
626.482605,1.512033,0
628.060547,1.511954,0
629.638367,1.511874,0
631.216125,1.511796,0
632.793762,1.511718,0
634.371277,1.51164,0
635.94873,1.511563,0
637.526123,1.511486,0
639.103394,1.51141,0
640.680542,1.511335,0
642.257568,1.51126,0
643.834595,1.511186,0
645.411438,1.511112,0
646.988159,1.511038,0
648.564819,1.510965,0
650.141418,1.510893,0
651.717896,1.510821,0
653.29425,1.51075,0
654.870483,1.510679,0
656.446655,1.510608,0
658.022766,1.510538,0
659.598694,1.510469,0
661.174561,1.5104,0
662.750305,1.510331,0
664.325989,1.510263,0
665.901489,1.510196,0
667.476929,1.510128,0
669.052307,1.510062,0
670.627563,1.509996,0
672.202637,1.50993,0
673.77771,1.509864,0
675.3526,1.509799,0
676.927368,1.509735,0
678.502075,1.509671,0
680.076721,1.509607,0
681.651184,1.509544,0
683.225586,1.509481,0
684.799866,1.509419,0
686.374023,1.509357,0
687.94812,1.509295,0
689.522034,1.509234,0
691.095825,1.509173,0
692.669556,1.509113,0
694.243225,1.509053,0
695.816772,1.508993,0
697.390137,1.508934,0
698.96344,1.508875,0
700.53656,1.508817,0
702.10968,1.508759,0
703.682617,1.508701,0
705.255493,1.508644,0
706.828186,1.508587,0
708.400757,1.50853,0
709.973267,1.508474,0
711.545654,1.508418,0
713.11792,1.508362,0
714.690063,1.508307,0
716.262146,1.508252,0
717.834106,1.508198,0
719.405884,1.508144,0
720.977539,1.50809,0
722.549133,1.508036,0
724.120605,1.507983,0
725.691956,1.507931,0
727.263123,1.507878,0
728.83429,1.507826,0
730.405212,1.507774,0
