nm,n_top,k_top,n_bottom,k_bottom
381.203583,2.202147,0.051547,2.27923,0.054272
382.375854,2.199339,0.049448,2.276273,0.052064
383.555359,2.196542,0.047413,2.273326,0.049922
384.742188,2.193756,0.04544,2.270392,0.047846
385.936371,2.190981,0.043528,2.26747,0.045833
387.138,2.188219,0.041674,2.26456,0.043882
388.347107,2.18547,0.039878,2.261665,0.041992
389.563812,2.182735,0.038138,2.258785,0.040161
390.788177,2.180014,0.036453,2.255918,0.038388
392.020233,2.177307,0.034822,2.253067,0.036671
393.260071,2.174615,0.033243,2.250233,0.035008
394.507813,2.171939,0.031715,2.247414,0.0334
395.763489,2.169279,0.030237,2.244612,0.031844
397.027161,2.166634,0.028807,2.241826,0.030339
398.298981,2.164006,0.027425,2.239058,0.028883
399.578918,2.161395,0.026089,2.236307,0.027477
400.867126,2.1588,0.024798,2.233574,0.026118
402.163696,2.156222,0.023551,2.230859,0.024805
403.468658,2.153662,0.022347,2.228162,0.023538
404.782135,2.151119,0.021185,2.225483,0.022315
406.104156,2.148594,0.020065,2.222823,0.021135
407.434875,2.146086,0.018984,2.220181,0.019997
408.774323,2.143596,0.017942,2.217559,0.0189
410.12262,2.141124,0.016939,2.214954,0.017844
411.479828,2.13867,0.015973,2.212369,0.016826
412.846039,2.136234,0.015044,2.209803,0.015848
414.221375,2.133817,0.01415,2.207256,0.014906
415.605896,2.131417,0.013291,2.204728,0.014002
416.999695,2.129036,0.012466,2.202219,0.013133
418.402893,2.126673,0.011674,2.19973,0.012299
419.815521,2.124328,0.010915,2.197259,0.011499
421.237732,2.122002,0.010187,2.194808,0.010733
422.669617,2.119694,0.009491,2.192376,0.01
424.111328,2.117404,0.008825,2.189964,0.009299
425.562836,2.115132,0.008189,2.18757,0.008629
427.024353,2.112879,0.007582,2.185196,0.007989
428.495941,2.110644,0.007004,2.182842,0.00738
429.977722,2.108428,0.006454,2.180506,0.0068
431.469788,2.106229,0.005931,2.17819,0.006249
432.972229,2.10405,0.005435,2.175893,0.005727
434.485168,2.101888,0.004965,2.173615,0.005232
436.008698,2.099745,0.00452,2.171357,0.004764
437.542969,2.09762,0.004101,2.169117,0.004322
439.088043,2.095514,0.003707,2.166898,0.003907
440.644104,2.093426,0.003337,2.164698,0.003517
442.211243,2.091357,0.002991,2.162517,0.003152
443.789551,2.089306,0.002668,2.160355,0.002812
445.37915,2.087274,0.002369,2.158214,0.002496
446.980225,2.08526,0.002091,2.156091,0.002204
448.592834,2.083265,0.001836,2.153989,0.001935
450.217102,2.08129,0.001602,2.151907,0.001689
451.85318,2.079333,0.00139,2.149845,0.001465
453.501129,2.077396,0.001199,2.147803,0.001264
455.161224,2.075478,0.001029,2.145782,0.001084
456.833496,2.07358,0.000879,2.143781,0.000926
458.518127,2.071703,0.000748,2.141802,0.000789
460.215179,2.069846,0.000638,2.139845,0.000672
461.924896,2.068011,0.000547,2.13791,0.000576
463.647308,2.066197,0.000475,2.135999,0.0005
465.38266,2.064407,0.000421,2.134112,0.000444
467.131042,2.062641,0.000387,2.132251,0.000407
468.892578,2.060903,0.00037,2.130418,0.00039
470.66748,2.059197,0.000371,2.128619,0.000391
472.455872,2.057527,0.000375,2.126859,0.000396
474.257904,2.055883,0.00038,2.125126,0.0004
476.07373,2.054263,0.000384,2.123418,0.000405
477.903503,2.052664,0.000389,2.121732,0.00041
479.747406,2.051083,0.000394,2.120066,0.000415
481.605621,2.04952,0.000399,2.118418,0.000421
483.47821,2.047973,0.000404,2.116787,0.000426
485.36554,2.046441,0.000409,2.115172,0.000431
487.267517,2.044923,0.000414,2.113571,0.000437
489.18457,2.043419,0.000419,2.111985,0.000442
491.116699,2.041927,0.000425,2.110412,0.000448
493.064148,2.040446,0.00043,2.108851,0.000453
495.027161,2.038977,0.000435,2.107302,0.000459
497.005859,2.037518,0.000441,2.105764,0.000465
499.000397,2.036069,0.000447,2.104236,0.000471
501.011047,2.034629,0.000452,2.102717,0.000477
503.037933,2.033198,0.000458,2.101208,0.000483
505.081299,2.031775,0.000464,2.099707,0.000489
507.141357,2.030359,0.00047,2.098215,0.000496
509.218262,2.02895,0.000476,2.09673,0.000502
511.312256,2.027549,0.000483,2.095251,0.000509
513.423523,2.026153,0.000489,2.09378,0.000516
515.552368,2.024763,0.000495,2.092314,0.000522
517.698853,2.023379,0.000502,2.090854,0.000529
519.863342,2.022,0.000509,2.0894,0.000536
522.046021,2.020625,0.000515,2.08795,0.000544
524.247009,2.019254,0.000522,2.086505,0.000551
526.466736,2.017888,0.000529,2.085063,0.000558
528.705322,2.016524,0.000536,2.083626,0.000566
530.963013,2.015164,0.000544,2.082191,0.000573
533.240051,2.013807,0.000551,2.080759,0.000581
535.536621,2.012452,0.000559,2.07933,0.000589
537.853149,2.011099,0.000566,2.077903,0.000597
540.189819,2.009747,0.000574,2.076478,0.000606
542.546875,2.008397,0.000582,2.075054,0.000614
544.924622,2.007048,0.00059,2.073631,0.000622
547.323242,2.0057,0.000598,2.072209,0.000631
549.743103,2.004352,0.000607,2.070787,0.00064
552.184448,2.003004,0.000615,2.069365,0.000649
554.647583,2.001656,0.000624,2.067943,0.000658
557.132751,2.000307,0.000633,2.06652,0.000668
559.64032,1.998957,0.000642,2.065097,0.000677
562.170593,1.997606,0.000651,2.063672,0.000687
564.723816,1.996253,0.00066,2.062245,0.000697
567.300354,1.994899,0.00067,2.060816,0.000707
569.900513,1.993542,0.00068,2.059385,0.000717
572.524536,1.992183,0.00069,2.057951,0.000727
575.172974,1.990821,0.0007,2.056514,0.000738
577.845947,1.989455,0.00071,2.055073,0.000749
580.543823,1.988086,0.00072,2.05363,0.00076
583.267151,1.986714,0.000731,2.052181,0.000771
586.016052,1.985337,0.000742,2.050729,0.000783
588.790894,1.983956,0.000753,2.049272,0.000795
591.592285,1.98257,0.000764,2.04781,0.000806
594.420471,1.981178,0.000776,2.046342,0.000819
597.275757,1.979782,0.000788,2.044868,0.000831
600.15863,1.978379,0.0008,2.043388,0.000844
603.069458,1.97697,0.000812,2.041902,0.000857
606.008667,1.975555,0.000825,2.040409,0.00087
608.976685,1.974133,0.000837,2.038908,0.000884
611.973938,1.972704,0.00085,2.0374,0.000897
615.000793,1.971267,0.000864,2.035884,0.000911
618.057739,1.969822,0.000877,2.03436,0.000926
621.145264,1.968369,0.000891,2.032826,0.00094
624.263794,1.966907,0.000905,2.031284,0.000955
627.413757,1.965436,0.00092,2.029732,0.000971
630.595703,1.963956,0.000935,2.02817,0.000986
633.810059,1.962465,0.00095,2.026597,0.001002
637.057312,1.960965,0.000965,2.025014,0.001018
640.338074,1.959454,0.000981,2.023419,0.001035
643.652771,1.957931,0.000997,2.021812,0.001052
647.002014,1.956398,0.001013,2.020194,0.001069
650.386292,1.954852,0.00103,2.018563,0.001087
653.806091,1.953294,0.001047,2.016918,0.001105
657.262085,1.951723,0.001065,2.01526,0.001124
660.754822,1.950138,0.001083,2.013588,0.001143
664.284851,1.94854,0.001101,2.011902,0.001162
667.852844,1.946928,0.00112,2.0102,0.001182
671.45929,1.945301,0.001139,2.008483,0.001202
675.104919,1.943659,0.001159,2.006749,0.001223
678.790405,1.942001,0.001179,2.004999,0.001244
682.516357,1.940326,0.001199,2.003232,0.001266
686.283386,1.938635,0.00122,2.001447,0.001288
690.092285,1.936926,0.001242,1.999643,0.001311
693.943665,1.9352,0.001264,1.997821,0.001334
697.838257,1.933455,0.001287,1.995979,0.001358
701.776855,1.931691,0.00131,1.994117,0.001382
705.760132,1.929907,0.001333,1.992234,0.001407
