n_top,n_bot,k_top,k_bot
2.127732,2.201157,0.614924,0.646812
2.130522,2.204042,0.605205,0.63659
2.132865,2.206461,0.59591,0.626814
2.134796,2.20845,0.587061,0.617509
2.136349,2.210044,0.57868,0.608697
2.137562,2.211284,0.570787,0.600399
2.138473,2.212208,0.563403,0.592636
2.139121,2.212859,0.556546,0.585428
2.139549,2.213282,0.550235,0.578795
2.139801,2.213523,0.544487,0.572754
2.139927,2.213633,0.539318,0.567321
2.139976,2.213665,0.534741,0.562512
2.140002,2.213677,0.53077,0.558339
2.140066,2.21373,0.527413,0.55481
2.14023,2.213891,0.524676,0.551933
2.140562,2.214231,0.522559,0.549707
2.141134,2.214826,0.521059,0.548129
2.142024,2.215758,0.520164,0.547184
2.143314,2.217112,0.519855,0.546854
2.145091,2.21898,0.5201,0.547104
2.147443,2.221455,0.520859,0.547892
2.150461,2.224632,0.522075,0.549158
2.154237,2.228606,0.523676,0.550825
2.158858,2.233469,0.525573,0.5528
2.164405,2.239307,0.527656,0.554967
2.170949,2.246191,0.529798,0.557191
2.178544,2.254179,0.53185,0.559317
2.187223,2.263305,0.533644,0.561168
2.196993,2.273574,0.535,0.562554
2.207829,2.28496,0.535725,0.563274
2.219667,2.297395,0.535621,0.56312
2.232406,2.310771,0.534497,0.561891
2.245902,2.324939,0.532173,0.559401
2.259976,2.339706,0.528496,0.555488
2.27441,2.354848,0.523344,0.550028
2.288966,2.370111,0.516641,0.542938
2.303387,2.385227,0.508357,0.534192
2.317415,2.399925,0.498516,0.523813
2.330801,2.413947,0.487195,0.511884
2.343322,2.427055,0.474515,0.498532
2.354783,2.43905,0.46064,0.48393
2.365033,2.449772,0.44576,0.468278
2.373966,2.459109,0.430086,0.451797
2.381518,2.466997,0.413835,0.434714
2.38767,2.473417,0.39722,0.417253
2.392441,2.478387,0.38044,0.399622
2.39588,2.481961,0.363678,0.382013
2.398062,2.484218,0.347092,0.364592
2.39908,2.485254,0.330815,0.347497
2.399037,2.485177,0.314956,0.330842
2.39804,2.484102,0.299598,0.314715
2.396199,2.482142,0.284802,0.299179
2.393622,2.479411,0.270612,0.284279
2.390408,2.476014,0.257051,0.270041
2.386652,2.472049,0.244131,0.256476
2.382441,2.467607,0.231854,0.243585
2.377852,2.46277,0.220208,0.231359
2.372955,2.45761,0.209181,0.219781
2.36781,2.452192,0.198751,0.20883
2.362472,2.446571,0.188894,0.198481
2.356988,2.440797,0.179586,0.188707
2.351397,2.434912,0.170798,0.17948
2.345733,2.428952,0.162504,0.170772
2.340027,2.422948,0.154677,0.162552
2.334303,2.416925,0.147288,0.154794
2.328582,2.410907,0.140313,0.147469
2.322882,2.40491,0.133726,0.140551
2.317217,2.39895,0.127503,0.134016
2.311599,2.39304,0.121622,0.12784
2.306038,2.38719,0.116062,0.122
2.300542,2.381409,0.110801,0.116475
2.295118,2.375703,0.105822,0.111245
2.289769,2.370077,0.101107,0.106292
2.284501,2.364536,0.096639,0.101599
2.279316,2.359082,0.092403,0.097149
2.274216,2.353717,0.088385,0.092928
2.269203,2.348444,0.084571,0.088921
2.264277,2.343262,0.080948,0.085115
2.259438,2.338172,0.077507,0.081499
2.254687,2.333174,0.074234,0.078061
2.250023,2.328268,0.071122,0.074791
2.245445,2.323453,0.068159,0.071678
2.240953,2.318727,0.065339,0.068714
2.236545,2.31409,0.062651,0.06589
2.23222,2.309541,0.06009,0.063198
2.227977,2.305077,0.057648,0.060632
2.223814,2.300697,0.055318,0.058183
